Team,Interceptions,Sacks,Fumbles forced,Fumbles recovered,Fumbles recovered to touchdown
San Francisco 49ers,19,43,10,6,0
Chicago Bears,18,25,12,5,0
Cincinnati Bengals,15,38,9,8,0
Buffalo Bills,13,45,13,10,0
Denver Broncos,11,36,17,13,1
Cleveland Browns,14,41,11,9,1
Tampa Bay Buccaneers,11,40,14,8,0
Arizona Cardinals,9,32,6,6,1
Los Angeles Chargers,7,44,11,10,0
Kansas City Chiefs,8,46,13,8,1
Indianapolis Colts,15,46,17,9,1
Washington Commanders,6,38,10,9,0
Dallas Cowboys,13,40,13,7,1
Miami Dolphins,13,48,13,9,0
Philadelphia Eagles,6,39,14,8,1
Atlanta Falcons,7,30,15,8,0
New York Giants,13,24,13,9,0
Jacksonville Jaguars,14,30,12,11,0
New York Jets,12,39,12,7,1
Detroit Lions,9,30,9,6,0
Green Bay Packers,6,34,8,10,1
Carolina Panthers,8,20,3,3,0
New England Patriots,9,29,8,5,0
Las Vegas Raiders,11,36,12,8,1
Los Angeles Rams,8,30,6,4,0
Baltimore Ravens,11,50,12,10,0
New Orleans Saints,14,30,7,8,1
Seattle Seahawks,11,39,11,8,0
Pittsburgh Steelers,13,39,15,8,1
Houston Texans,12,38,13,8,0
Tennessee Titans,4,41,11,8,0
Minnesota Vikings,11,41,20,9,2
