Team,Field goal percentage,Xtra point percentage,Passing attempts,Completions,Complition percentage,Yards per passing attempts,Passing Yards,Passing touchdowns,Interceptions thrown,Passer rating,Number of first downs,Passing first downs percentage,Passes over 20 yards,Passes over 40 yards,Longest pass,Total sacks,Yards lost due to sacks,2-point conversion,Rush attemps,Rush Yards,Yards per rush,Rushing touchdowns,Rushes over 20 yards,Rushes over 40 yards,Longest rush,Number of rush first downs,Rush first down percentage,Rush fumbles
San Francisco 49ers,85.7,100,391,272,69.6,9.8,3822,29,7,118,169,43.2,65,13,76,26,145,0,413,1959,4.7,23,10,3,72,121,29.3,4
Chicago Bears,93.1,92.3,438,275,62.8,6.5,2835,17,14,81,141,32.2,36,4,58,41,266,1,433,1882,4.4,11,9,0,34,110,25.4,5
Cincinnati Bengals,82.1,100,512,352,68.8,6.9,3549,22,10,94.4,174,34,38,9,76,38,267,0,305,1181,3.9,10,5,0,31,70,23,1
Buffalo Bills,80.8,97.6,490,325,66.3,7.2,3541,26,14,93.2,166,33.9,40,6,81,19,116,3,409,1852,4.5,18,9,1,42,132,32.3,6
Denver Broncos,93.1,92.6,410,272,66.3,6.9,2832,24,8,97.5,125,30.5,34,9,60,40,213,2,375,1578,4.2,6,9,0,38,94,25.1,4
Cleveland Browns,91.7,91.7,525,295,56.2,6,3162,16,18,69.9,137,26.1,38,11,59,40,274,4,436,1732,4,12,8,3,69,103,23.6,7
Tampa Bay Buccaneers,92,100,468,296,63.2,7.1,3315,24,8,94.3,155,33.1,51,10,75,33,175,2,359,1269,3.5,7,4,0,38,66,18.4,3
Arizona Cardinals,88.5,94.1,456,284,62.3,5.9,2706,12,11,77.4,136,29.8,27,3,69,38,263,3,373,1845,5,15,17,5,49,95,25.5,7
Los Angeles Chargers,95,100,514,334,65,7,3619,24,8,94.6,172,33.5,48,7,79,34,287,1,350,1340,3.8,10,8,3,55,69,19.7,3
Kansas City Chiefs,96.2,100,531,357,67.2,7,3738,26,15,92,189,35.6,43,5,54,21,159,0,342,1444,4.2,8,7,1,48,91,26.6,1
Indianapolis Colts,78.8,97,490,307,62.6,6.8,3316,17,9,86.4,151,30.8,40,9,75,33,168,3,388,1606,4.1,16,10,3,56,90,23.2,3
Washington Commanders,77.3,89.7,545,354,65,6.8,3692,21,15,85.8,168,30.8,43,4,51,59,403,3,306,1378,4.5,11,8,0,29,84,27.4,5
Dallas Cowboys,100,93,504,348,69,7.4,3753,28,8,102.6,185,36.7,53,4,60,33,230,4,393,1631,4.2,13,10,1,46,96,24.4,3
Miami Dolphins,81,98.2,464,330,71.1,8.6,3995,26,11,106,185,39.9,51,11,78,26,153,0,385,1955,5.1,26,15,7,76,98,25.4,12
Philadelphia Eagles,92.3,97.4,465,306,65.8,7.3,3379,19,12,90.1,161,34.6,44,7,63,33,190,1,428,1796,4.2,20,9,1,43,123,28.7,8
Atlanta Falcons,89.3,95.4,430,266,61.9,7.1,3048,13,11,82.6,151,35.1,39,7,60,36,237,2,443,1770,4,12,6,0,38,102,23,10
New York Giants,70.8,100,411,270,65.7,6.2,2533,12,9,83.1,113,27.5,35,4,58,76,423,0,378,1554,4.1,6,10,0,36,75,19.8,6
Jacksonville Jaguars,80,100,509,338,66.4,7.1,3614,18,10,90.6,161,31.6,45,8,65,34,198,3,382,1372,3.6,15,8,0,35,83,21.7,4
New York Jets,96.6,91.7,487,289,59.3,5.8,2825,9,13,70.7,131,26.9,31,3,68,61,445,2,289,1191,4.1,4,6,3,83,51,17.6,10
Detroit Lions,88.2,95.4,499,335,67.1,7.5,3727,26,10,98.2,185,37.1,59,6,48,28,178,3,410,1973,4.8,21,14,3,75,103,25.1,6
Green Bay Packers,81.5,89.7,487,305,62.6,6.9,3382,25,11,90.9,168,34.5,44,6,77,28,222,2,341,1442,4.2,7,11,1,40,72,21.1,5
Carolina Panthers,85.7,94.1,500,297,59.4,5.4,2727,11,9,74.1,129,25.8,26,4,48,54,419,2,376,1485,4,5,7,1,48,93,24.7,4
New England Patriots,65,100,468,298,63.7,6.1,2839,14,16,76.2,131,28,26,2,58,36,222,0,349,1377,4,7,3,1,64,82,23.5,3
Las Vegas Raiders,83.3,100,457,289,63.2,6.7,3061,16,18,78,148,32.4,29,4,50,33,245,1,328,1172,3.6,10,5,2,63,61,18.6,5
Los Angeles Rams,74.4,92.9,491,296,60.3,7.1,3492,21,10,87.7,163,33.2,56,6,70,27,189,3,386,1698,4.4,13,10,1,56,92,23.8,2
Baltimore Ravens,84.4,97.5,409,271,66.3,7.7,3143,18,7,96.9,142,34.7,42,8,80,34,198,2,458,2293,5,23,18,3,60,128,28,4
New Orleans Saints,78.1,100,504,332,65.9,6.8,3434,19,10,89.7,157,31.2,40,10,58,29,196,3,394,1445,3.7,11,3,0,29,92,23.4,5
Seattle Seahawks,80,100,478,307,64.2,7.2,3461,18,12,87.9,154,32.2,45,6,73,34,236,1,322,1296,4,10,10,1,45,77,23.9,1
