Team,Win,Loss,Tie,PCT,Points for,Points against,Diff,Streak
Baltimore Ravens,11,3,0,0.786,384,225,159,W4
San Francisco 49ers,11,3,0,0.786,425,234,191,W6
Dallas Cowboys,10,4,0,0.714,431,264,167,L1
Detroit Lions,10,4,0,0.714,382,331,51,W1
Miami Dolphins,10,4,0,0.714,441,294,147,W1
Philadelphia Eagles,10,4,0,0.714,359,341,18,L3
Cleveland Browns,9,5,0,0.643,309,289,20,W2
Kansas City Chiefs,9,5,0,0.643,319,245,74,W1
Buffalo Bills,8,6,0,0.571,379,254,125,W2
Cincinnati Bengals,8,6,0,0.571,307,311,-4,W3
Houston Texans,8,6,0,0.571,306,295,11,W1
Indianapolis Colts,8,6,0,0.571,344,343,1,W1
Jacksonville Jaguars,8,6,0,0.571,319,313,6,L3
LA Rams,8,7,0,0.533,357,332,25,W2
Denver Broncos,7,7,0,0.5,304,351,-47,L1
Minnesota Vikings,7,7,0,0.5,290,269,21,L1
New Orleans Saints,7,8,0,0.467,331,297,34,L1
Pittsburgh Steelers,7,7,0,0.5,223,280,-57,L3
Seattle Seahawks,7,7,0,0.5,300,335,-35,W1
Tampa Bay Buccaneers,7,7,0,0.5,296,290,6,W3
Atlanta Falcons,6,8,0,0.429,258,278,-20,L2
Green Bay Packers,6,8,0,0.429,300,301,-1,L2
Las Vegas Raiders,6,8,0,0.429,265,280,-15,W1
Chicago Bears,5,9,0,0.357,287,329,-42,L1
LA Chargers,5,9,0,0.357,303,345,-42,L2
NY Giants,5,9,0,0.357,189,338,-149,L1
NY Jets,5,9,0,0.357,201,287,-86,L1
Tennessee Titans,5,9,0,0.357,257,301,-44,L1
Washington Commanders,4,10,0,0.286,281,423,-142,L5
Arizona Cardinals,3,11,0,0.214,259,376,-117,L1
New England Patriots,3,11,0,0.214,186,299,-113,L1
Carolina Panthers,2,12,0,0.143,206,348,-142,W1
