date,Unique Address Total Count,Unique Address Receive Count,Unique Address Sent Count
8/7/2015,1087,784,609
8/8/2015,827,605,477
8/9/2015,733,462,500
8/10/2015,1002,821,763
8/11/2015,2343,2132,2112
8/12/2015,907,581,685
8/13/2015,1275,872,993
8/14/2015,1595,1115,1188
8/15/2015,1314,857,1064
8/16/2015,1203,765,989
8/17/2015,1250,816,1000
8/18/2015,1295,834,1048
8/19/2015,1351,823,1148
8/20/2015,1168,658,992
8/21/2015,1426,913,1231
8/22/2015,1415,840,1242
8/23/2015,1571,885,1417
8/24/2015,1437,873,1290
8/25/2015,1581,951,1406
8/26/2015,1528,883,1393
8/27/2015,1592,929,1427
8/28/2015,1532,919,1376
8/29/2015,1376,839,1248
8/30/2015,1625,931,1495
8/31/2015,1516,947,1386
9/1/2015,1556,916,1432
9/2/2015,1515,875,1400
9/3/2015,1449,778,1343
9/4/2015,1451,761,1355
9/5/2015,1487,830,1388
9/6/2015,1588,965,1406
9/7/2015,1633,969,1511
9/8/2015,1546,1003,1408
9/9/2015,1544,980,1428
9/10/2015,1540,989,1406
9/11/2015,1702,1088,1578
9/12/2015,1545,942,1443
9/13/2015,1599,954,1482
9/14/2015,1623,1013,1523
9/15/2015,1487,906,1380
9/16/2015,1511,920,1388
9/17/2015,1518,982,1389
9/18/2015,1463,891,1349
9/19/2015,1368,840,1270
9/20/2015,1467,904,1368
9/21/2015,1522,988,1406
9/22/2015,1536,1001,1401
9/23/2015,1738,969,1657
9/24/2015,1570,1004,1474
9/25/2015,1537,974,1436
9/26/2015,1421,890,1342
9/27/2015,1418,907,1335
9/28/2015,1546,1003,1442
9/29/2015,1533,962,1384
9/30/2015,1491,924,1376
10/1/2015,1474,947,1329
10/2/2015,1376,857,1286
10/3/2015,1390,890,1291
10/4/2015,1394,872,1295
10/5/2015,1410,871,1336
10/6/2015,1416,907,1315
10/7/2015,1374,881,1297
10/8/2015,1331,865,1243
10/9/2015,1367,868,1290
10/10/2015,1267,793,1205
10/11/2015,1301,840,1212
10/12/2015,1336,832,1257
10/13/2015,1476,846,1400
10/14/2015,1567,956,1447
10/15/2015,1497,876,1391
10/16/2015,1367,882,1275
