Year,Month,MEI,CO2,CH4,N2O,CFC-11,CFC-12,TSI,Aerosols,Temp
1983,5,2.556,345.96,1638.59,303.677,191.324,350.113,1366.1024,0.0863,0.109
1983,6,2.167,345.52,1633.71,303.746,192.057,351.848,1366.1208,0.0794,0.118
1983,7,1.741,344.15,1633.22,303.795,192.818,353.725,1366.285,0.0731,0.137
1983,8,1.13,342.25,1631.35,303.839,193.602,355.633,1366.4202,0.0673,0.176
1983,9,0.428,340.17,1648.4,303.901,194.392,357.465,1366.2335,0.0619,0.149
1983,10,0.002,340.3,1663.79,303.97,195.171,359.174,1366.0589,0.0569,0.093
1983,11,-0.176,341.53,1658.23,304.032,195.921,360.758,1366.1072,0.0524,0.232
1983,12,-0.176,343.07,1654.31,304.082,196.609,362.174,1366.0607,0.0486,0.078
1984,1,-0.339,344.05,1658.98,304.13,197.219,363.359,1365.4261,0.0451,0.089
1984,2,-0.565,344.77,1656.48,304.194,197.759,364.296,1365.6618,0.0416,0.013
1984,3,0.131,345.46,1655.77,304.285,198.249,365.044,1366.1697,0.0383,0.049
1984,4,0.331,346.77,1657.68,304.389,198.723,365.692,1365.566,0.0352,-0.019
1984,5,0.121,347.55,1649.33,304.489,199.233,366.317,1365.7783,0.0324,0.065
1984,6,-0.142,346.98,1634.13,304.593,199.858,367.029,1366.0956,0.0302,-0.016
1984,7,-0.138,345.55,1629.89,304.722,200.671,367.893,1366.1145,0.0282,-0.024
1984,8,-0.179,343.2,1643.67,304.871,201.71,368.843,1365.9781,0.026,0.034
1984,9,-0.082,341.35,1663.6,305.021,202.972,369.8,1365.8669,0.0239,0.025
1984,10,0.016,341.68,1674.65,305.158,204.407,370.782,1365.7869,0.022,-0.035
1984,11,-0.351,343.06,1677.1,305.263,205.893,371.77,1365.6802,0.0202,-0.123
1984,12,-0.611,344.54,1672.15,305.313,207.308,372.701,1365.7617,0.0188,-0.282
1985,1,-0.561,345.25,1663.42,305.301,208.537,373.623,1365.6082,0.0164,-0.001
1985,2,-0.602,346.06,1666.21,305.243,209.543,374.681,1365.7085,0.016,-0.155
1985,3,-0.737,347.66,1678.34,305.165,210.368,376.004,1365.657,0.0141,-0.032
1985,4,-0.484,348.2,1675.24,305.093,211.111,377.635,1365.512,0.0138,-0.042
1985,5,-0.731,348.92,1666.83,305.045,211.823,379.539,1365.6366,0.0128,0.001
1985,6,-0.086,348.4,1659.4,305.027,212.512,381.642,1365.6964,0.0126,-0.049
1985,7,-0.156,346.66,1654.25,305.049,213.165,383.905,1365.6509,0.0121,-0.042
1985,8,-0.392,344.85,1654.41,305.126,213.803,386.223,1365.7499,0.0116,0.013
1985,9,-0.541,343.2,1668.31,305.25,214.501,388.5,1365.6653,0.0102,-0.035
1985,10,-0.14,343.08,1681.56,305.395,215.327,390.676,1365.5269,0.0101,-0.008
1985,11,-0.05,344.4,1680.68,305.53,216.282,392.714,1365.6289,0.0097,-0.093
1985,12,-0.293,345.82,1677.99,305.653,217.326,394.539,1365.6794,0.0122,-0.002
1986,1,-0.307,346.54,1675.82,305.775,218.382,396.082,1365.6746,0.0146,0.121
1986,2,-0.191,347.13,1666.83,305.911,219.379,397.345,1365.5475,0.0158,0.065
1986,3,0.033,348.05,1672.87,306.055,220.315,398.41,1365.6797,0.0144,0.049
1986,4,-0.169,349.77,1688.51,306.201,221.245,399.398,1365.6531,0.0147,0.045
1986,5,0.305,350.53,1686.02,306.351,222.197,400.393,1365.7275,0.014,0.023
1986,6,0.311,349.9,1685.06,306.512,223.189,401.487,1365.6615,0.013,0.055
1986,7,0.384,348.11,1682.79,306.672,224.236,402.711,1365.6509,0.0128,0.004
1986,8,0.804,346.09,1670.57,306.8,225.302,404.06,1365.5989,0.014,-0.001
1986,9,1.166,345.01,1680.44,306.867,226.343,405.584,1365.6034,0.0126,0.016
1986,10,0.996,344.47,1691.19,306.86,227.325,407.328,1365.6465,0.0126,0.043
1986,11,0.872,345.86,1692.49,306.779,228.224,409.211,1365.7097,0.0123,-0.033
1986,12,1.183,347.15,1698.08,306.612,229.058,411.112,1365.6717,0.012,0.022
1987,1,1.237,348.38,1692.74,306.368,229.846,412.92,1365.6674,0.0118,0.116
1987,2,1.185,348.7,1690.41,306.083,230.592,414.572,1365.659,0.0111,0.266
1987,3,1.724,349.72,1695.08,305.812,231.325,416.063,1365.6693,0.0109,0.021
1987,4,1.865,351.32,1696.18,305.433,232.098,417.549,1365.6385,0.0104,0.084
1987,5,2.122,352.14,1694.75,305.542,232.939,418.723,1365.7561,0.0101,0.145
1987,6,1.904,351.61,1687.78,305.865,233.798,420.222,1365.8307,0.0105,0.121
1987,7,1.847,349.91,1681.24,306.138,234.778,422.707,1365.8223,0.0108,0.238
1987,8,1.951,347.84,1678.77,306.095,235.789,426.191,1365.786,0.0108,0.219
1987,9,1.835,346.52,1681.62,306.178,237.075,428.871,1365.857,0.0104,0.25
1987,10,1.61,346.65,1701.48,306.252,238.697,431.542,1365.8508,0.0094,0.174
1987,11,1.253,347.96,1716.57,306.393,239.588,433.915,1365.9837,0.0089,0.186
1987,12,1.251,349.18,1708.14,306.503,240.058,436,1366.035,0.0089,0.314
1988,1,1.092,350.38,1698.29,306.636,241.155,438.296,1366.0546,0.0085,0.334
1988,2,0.665,351.68,1701.18,306.699,242.064,440.937,1366.1079,0.0088,0.189
1988,3,0.456,352.24,1706.09,306.638,243.44,442.755,1365.9519,0.0078,0.248
1988,4,0.307,353.66,1708.18,306.581,244.954,443.846,1366.0642,0.0074,0.224
1988,5,0.085,354.18,1705.69,306.472,246.043,444.729,1366.3008,0.0071,0.175
1988,6,-0.71,353.68,1699.06,306.379,246.338,445.352,1366.0132,0.0071,0.2
