"STATION","NAME","DATE","PRCP","SNOW","SNWD"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-01","0.00","0.0","0.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-02","0.00","0.0","0.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-03","0.00","0.0","0.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-04","0.70","0.0","0.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-05","0.00","0.0","0.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-06","0.00","0.0","0.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-07","0.00","0.0","0.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-08","0.00","0.0","0.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-09","0.02","0.0","0.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-10","0.84","0.0","0.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-11","0.00","0.0","0.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-12","0.00","0.0","0.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-13","0.05","0.0","0.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-14","0.00","0.0","0.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-15","0.00","0.0","0.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-16","0.00","0.0","0.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-17","0.00","0.0","0.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-18","0.00","0.0","0.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-19","0.00","0.0","0.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-20","0.12","2.5","0.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-21","0.00","0.0","2.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-22","0.00","0.0","0.0"
