Report Type,Program,Activity,Latitude,Longitude,Activity Date,Submission Date,Start Time,End Time,Length hours,Length minutes,Journal Entry,Medical Consults,Nurse Practitioner Consults,Nursing/Paramedic Consults,Conversations about health education,Allied Health,Referrals (Formal and informal),Patient Conversations,Service provider conversations,Mental health,Suicide prevention/planning,Substance use,Medication education,Patients turned away,Telehealth consults that happened at Clinic,Patient Feedback Received ,Service Provider Feedback Received ,Complete debrief,Complete all progress notes,Enter all doctor and nurse practitioner appointments,Wipe down clinic area,Shift Safety
Default,Brisbane,Beddown Event Brisbane CBD,-27.468969,153.023499,10/1/2019,10/1/2019,8:20 PM,10:15 PM,1:55,115,First shift at Beddown!! Great space. Feedback from a patient saying he knew about Sunny Street from LinkedIn - homeless! Setting up near the dentist is better and in the thoroughfare near toilets. Brilliant!! ,0,0,5,0,0,0,15,0,0,0,0,0,0,0,,,Yes,Yes,No,Yes,5
Default,Brisbane,Beddown Event Brisbane CBD,-27.468969,153.023499,10/2/2019,10/3/2019,8:30 PM,10:50 PM,2:20,140,Quiet night...2nd of Beddown. Starting to establish trust. Linking one chap into methodone program before jail. ,2,0,4,0,0,7,9,0,0,0,0,0,0,0,,,Yes,Yes,Yes,Yes,5
Default,Brisbane,Beddown Event Brisbane CBD,-27.468969,153.023499,10/5/2019,10/6/2019,8:00 PM,10:15 PM,2:15,135,Very quiet Saturday night. Difficult to engage people in the transition from registering to showers and then bed. Had 2 Doctors on shift - Orthopaedic Surgeon and a Hematologist and a Nursing Director. New Doctors are wonderful and invested. Discussions with Norm re future presence. Left a Nursing kit there. ,0,0,2,0,0,0,5,0,0,0,0,0,0,0,,,Yes,Yes,No,Yes,5
Default,Brisbane,Beddown Event Brisbane CBD,-27.468969,153.023499,10/8/2019,10/8/2019,9:00 PM,10:15 PM,1:15,75,"Better night tonight with food vans and tables out for people to sit around. Played a game of Connect 4, listened to a fellow play and sing on an out of tune guitar, liaised with the dental surgeons amongst the bathroom lockers. Had referred a lad here at Beddown from the Red Cross Night Cafe. Good chats. ",0,0,2,0,0,0,11,0,0,0,0,0,0,0,,,Yes,Yes,No,Yes,5
Default,Brisbane,Beddown Event Brisbane CBD,-27.468969,153.023499,10/9/2019,10/10/2019,9:20 PM,10:15 PM,0:55,55,Played uno with patrons - great wY for people to settle before sleeping. CEO and QLD Manager of Secure Parking and National Seven news present. Interviewed Sonia and will air Thurs 10th Oct. ,0,0,2,0,0,0,12,0,0,0,0,0,0,0,,,Yes,Yes,No,Yes,5
Covid Clinic,COVID19 Respiratory Clinics,Covid Respiratory Clinic,-26.3974264,153.0414757,1/10/2021,1/10/2021,8:30 AM,5:00 PM,8:30,510,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Covid Clinic,COVID19 Respiratory Clinics,Covid Respiratory Clinic,-26.3974264,153.0414757,1/10/2021,1/14/2021,8:30 AM,5:00 PM,8:30,510,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Covid Clinic,COVID19 Respiratory Clinics,Covid Respiratory Clinic,-26.3974264,153.0414757,1/11/2021,1/14/2021,9:00 AM,5:00 PM,8:00,480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Covid Clinic,COVID19 Respiratory Clinics,Covid Respiratory Clinic,-26.3974264,153.0414757,1/11/2021,1/11/2021,9:00 AM,5:00 PM,8:00,480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Covid Clinic,COVID19 Respiratory Clinics,Covid Respiratory Clinic,-26.3974264,153.0414757,1/12/2021,1/12/2021,9:00 AM,4:00 PM,7:00,420,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Covid Clinic,COVID19 Respiratory Clinics,Covid Respiratory Clinic,-26.3974264,153.0414757,1/12/2021,1/14/2021,9:00 AM,4:00 PM,7:00,420,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Covid Clinic,COVID19 Respiratory Clinics,Covid Respiratory Clinic,-26.3974264,153.0414757,1/16/2021,1/17/2021,9:00 AM,5:00 PM,8:00,480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Covid Clinic,COVID19 Respiratory Clinics,Covid Respiratory Clinic,-26.3974264,153.0414757,2/16/2021,2/16/2021,8:30 AM,5:00 PM,8:30,510,Patients were happy with care. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Default,Sunshine Coast,Gympie ,-26.1834951,152.6464156,8/16/2019,8/16/2019,7:30 AM,10:25 AM,2:55,175,,10,0,3,0,0,3,1,0,0,0,0,0,0,0,,,No,Yes,Yes,Yes,5
Default,Sunshine Coast,Gympie ,-26.1834951,152.6464156,8/23/2019,8/23/2019,7:30 AM,10:08 AM,2:38,158,Left nursing kit and laptop in place. Rearranged consult area nurses station to enhance privacy and added musical ambience. Diagnosed a skin cancer. Received positive feedback re music ,7,0,8,0,0,2,25,0,0,0,0,0,0,0,,,Yes,No,Yes,Yes,5
Default,Sunshine Coast,Gympie ,-26.1834951,152.6464156,8/30/2019,8/30/2019,7:30 AM,10:39 AM,3:09,189,Informed patients nova away for 1 month. Very positive clinic! Patients getting on top of some issues and kicking goals! One patient said 'Thank you for listening!' also had another doctor and a support on crew,9,0,9,0,0,14,21,0,0,0,0,0,0,0,,,No,Yes,Yes,Yes,5
Default,Sunshine Coast,Gympie ,-26.1834951,152.6464156,9/13/2019,9/14/2019,7:30 AM,9:15 AM,1:45,105,,5,0,0,0,0,1,4,0,0,0,0,0,0,0,,,Yes,Yes,No,Yes,5
Default,Sunshine Coast,Gympie ,-26.1834951,152.6464156,10/11/2019,10/14/2019,7:30 AM,9:00 AM,1:30,90,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,Yes,Yes,No,Yes,5
Default,Sunshine Coast,Gympie ,-26.1834951,152.6464156,10/18/2019,10/18/2019,7:30 AM,9:00 AM,1:30,90,"No dongle for WiFi used hotspot
Kelly white shirt Med please.
Baby gifts given to Dee(mum)",0,0,3,0,0,0,5,0,0,0,0,0,0,0,,,Yes,No,Yes,No,0
Default,Sunshine Coast,Gympie ,-26.1834951,152.6464156,10/25/2019,10/27/2019,7:30 AM,9:00 AM,1:30,90,Very quiet morning. No one really at the Salvos breakfast either. ,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,,Yes,Yes,Yes,Yes,5
Default,Sunshine Coast,Gympie ,-26.1834951,152.6464156,11/1/2019,11/1/2019,7:30 AM,8:30 AM,1:00,60,Unable to access BP account disabled ,0,0,2,0,0,0,2,0,0,2,0,0,0,0,,,Yes,Yes,Yes,Yes,5
Default,Sunshine Coast,Gympie ,-26.1834951,152.6464156,11/29/2019,11/29/2019,7:30 AM,9:00 AM,1:30,90,Quiet for the entire hub today. Internet sorted!,0,0,1,0,0,0,4,2,1,0,1,0,0,0,,,Yes,Yes,Yes,No,5
Default,Sunshine Coast,Gympie ,-26.1834951,152.6464156,5/22/2020,5/25/2020,8:00 AM,1:00 PM,5:00,300,"Clair and Brian from the salvation army are retiring in 7 weeks. 
Nova and I walked through parks and areas randomly walking up to people and asking them if they wanted free flu jabs! We took Queenie. 
Incredible, incredible day hearing people's stories.",10,0,15,15,0,3,100,10,10,0,2,20,0,0,Many patients (around 5) stated they REALLY appreciated the outreach approach with the flu vaxs. One man walked up to us and gave us the thumbs up and told us as was an amazing idea because giving care to people who were homeless was a wonderful thing to do since no one wants to do it. Another woman congratulated us on starting up the service.,One person from the salvation army was thankful to see ss. ,Yes,Yes,Yes,Yes,5
Default,Sunshine Coast,Gympie ,-26.1834951,152.6464156,5/29/2020,6/1/2020,7:29 AM,2:01 PM,6:32,392,"The team set up outside of public toilets for greater community impact and engagement. This was a winning strategy!
The signs out, only brought 5 people out of the 2 road trip days to the clinics. The rest were opportunistic. 
St Vinnies was disorganised St an operational level. 
Flu vax surveys completed.
Well worth our time! ",0,0,35,50,0,5,200,15,10,0,5,28,0,0,"Patients stating the outreach to do flu vaxs was so helpful and practical. Also that the approach allowed people who normally would not get a vaccination, to receive one. ",Salvation army and St Vinnies stated grateful for the outreach service ,Yes,Yes,Yes,Yes,5
Default,Fraser Coast ,Hervey Bay Neighbourhood/ Community Centre ,-25.2818438,152.8350298,11/11/2020,12/2/2020,4:00 PM,5:37 PM,1:37,97,Great day! Need to smooth out our process but we will get there :) ,3,0,3,5,0,0,4,1,1,0,1,0,0,0,Great that we are back each week. ,One personfrom APM would like to link in with us.,Yes,Yes,Yes,Yes,5
Default,Fraser Coast ,Hervey Bay Neighbourhood/ Community Centre ,-25.2818438,152.8350298,11/18/2020,11/19/2020,4:00 PM,6:00 PM,2:00,120,"Lynda had trouble with the computer, pt notes in notebook. Lynda needs to be shown how to do a shift report.",0,0,3,3,0,1,12,2,3,0,0,1,0,0,0,0,Yes,No,No,No,5
Default,Fraser Coast ,Hervey Bay Neighbourhood/ Community Centre ,-25.2818438,152.8350298,11/25/2020,1/25/2021,4:00 PM,6:00 PM,2:00,120,,3,0,5,9,0,3,3,2,6,0,4,7,0,0,0,,Yes,Yes,Yes,Yes,5
Default,Fraser Coast ,Hervey Bay Neighbourhood/ Community Centre ,-25.2818438,152.8350298,12/2/2020,1/25/2021,4:00 PM,6:00 PM,2:00,120,,3,0,6,8,0,2,4,2,6,0,4,8,0,0,0,0,Yes,Yes,Yes,No,5
