unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1.68558E+12,6/1/2023,ETH/USD,1873.93,1887.86,1841,1861.59,2341.328093,4358592.965
1.68549E+12,5/31/2023,ETH/USD,1900.96,1907.1,1847.58,1873.93,1804.23206,3381004.584
1.6854E+12,5/30/2023,ETH/USD,1892.89,1916.85,1884.45,1900.96,2970.587814,5646968.611
1.68532E+12,5/29/2023,ETH/USD,1909.5,1928.16,1874.77,1892.89,1636.399215,3097523.71
1.68523E+12,5/28/2023,ETH/USD,1830.95,1918,1825.19,1909.5,3461.300026,6609352.4
1.68515E+12,5/27/2023,ETH/USD,1829.06,1836.29,1814.61,1830.95,535.064549,979676.436
1.68506E+12,5/26/2023,ETH/USD,1806.09,1838.09,1797.36,1829.06,2183.449546,3993660.227
1.68497E+12,5/25/2023,ETH/USD,1800.23,1817.95,1761.72,1806.09,3138.061649,5667621.764
1.68489E+12,5/24/2023,ETH/USD,1854.2,1854.2,1777.46,1800.23,1872.664459,3371226.739
1.6848E+12,5/23/2023,ETH/USD,1817.49,1870,1815.61,1854.2,3081.652073,5713999.274
1.68471E+12,5/22/2023,ETH/USD,1804,1827.59,1792.48,1817.49,1572.910279,2858748.703
1.68463E+12,5/21/2023,ETH/USD,1820.64,1828.7,1798.44,1804,1177.966974,2125052.421
1.68454E+12,5/20/2023,ETH/USD,1811.78,1828.75,1808.47,1820.64,552.2757,1005495.23
1.68445E+12,5/19/2023,ETH/USD,1801.83,1829.3,1797.16,1811.78,1658.248974,3004382.326
1.68437E+12,5/18/2023,ETH/USD,1822.24,1830,1772.96,1801.83,2310.406401,4162959.566
1.68428E+12,5/17/2023,ETH/USD,1825.56,1840,1785.68,1822.24,1882.702961,3430736.644
1.6842E+12,5/16/2023,ETH/USD,1817.89,1833,1797.77,1825.56,2752.727104,5025268.492
1.68411E+12,5/15/2023,ETH/USD,1799.87,1846.75,1786.48,1817.89,2647.797875,4813405.279
1.68402E+12,5/14/2023,ETH/USD,1795.03,1823.99,1790.97,1799.87,627.28635,1129033.883
1.68394E+12,5/13/2023,ETH/USD,1808.05,1817.47,1787.15,1795.03,1333.271346,2393262.064
