Years,Girls Kindergarten,Boys Kindergarten,Girls Grade School,Boys Grade School,Girls Middle School,Boys Middle School,Girls High School,Boys High School
1971,9509,11728,1069331,1734310,97464,161754,390881,797565
1972,10025,11748,1137189,1825407,210381,361084,330668,668600
1973,18587,22400,1180938,1957533,330293,576045,269295,547629
1974,40574,42280,1348350,2173074,411746,739710,273383,524235
1975,79978,95446,1491431,2321089,459419,824242,297107,558411
1976,97434,114435,1619235,2459239,493394,875516,332835,608754
1977,108298,126838,1732580,2581835,528769,917571,354566,634712
1978,119662,139835,1769630,2625342,563126,972137,393750,693809
1979,109123,127363,1941547,3067778,626443,1063448,438830,674398
1980,81163,90840,1899506,2899086,599705,975359,416536,626861
1981,92554,103435,2113369,3170008,671334,1078543,414349,572081
1982,85329,92196,2284600,3308208,661631,1055466,399662,576781
1983,100960,101939,2525480,3468923,703546,1114107,424139,591049
1984,36135,41639,2720028,3615988,782213,1236523,450354,628377
1985,50376,56610,2960218,3828105,854653,1355589,488771,700784
1986,58451,64986,3173967,4058853,893392,1406118,509599,768422
1987,69064,77345,3450374,4307333,968082,1498834,550813,825448
1988,85223,92756,3724812,4537629,1086056,1638550,628342,944675
1989,103345,114151,4026895,4790250,1213665,1782133,671812,1000835
1990,108151,119341,4328327,5041319,1340172,1892510,752813,1066653
1991,119959,132554,4563250,5224343,1490871,2050707,838616,1192370
1992,81307,87557,4666836,5270533,1724847,2274665,1003113,1385197
1993,63534,69119,4652405,5210412,1943259,2496712,1108108,1476237
1994,97782,43946,4594053,5151547,2090393,2621635,1304133,1615458
1995,71299,75765,4448983,4996934,2225215,2729990,1477244,1701525
1996,95339,99842,4352718,4885675,2343720,2845092,1662824,1816811
1997,100308,104014,4217915,4720322,2401989,2880892,1800716,1903939
1998,109723,110711,4106422,4560725,2404875,2889797,1896793,2022833
1999,125856,125700,3938766,4348771,2343746,2828770,1957867,2050709
2000,144365,142538,3792588,4175849,2278350,2748874,1998449,2065265
2001,168240,160822,3588016,3924999,2255566,2698328,1964854,2020296
2002,208167,195487,3366417,3662507,2228875,2636728,1887600,1940924
2003,226503,212276,3190358,3457559,2163621,2514943,1873515,1944256
2004,254035,238387,2991211,3215507,2025926,2345168,1854697,1917888
2005,278060,262333,2897693,3108860,1931383,2214730,1845854,1917183
2006,284583,268349,2818290,3009561,1837767,2100894,1805380,1890567
2007,263246,247983,2773554,2952075,1740364,1967906,1731272,1838567
2008,236191,219653,2742705,2912264,1644404,1833240,1677775,1832405
2009,230414,221844,2713462,2878290,1558304,1733942,1546074,1713585
2010,239148,225305,2734026,2898799,1539569,1705332,1437252,1601595
2011,242765,232630,2769239,2932282,1535135,1693270,1389637,1567691
2012,226989,232028,3328079,3522913,1002417,1110458,1594689,1683347
2013,260266,271658,3407385,3610900,985951,1085222,1591595,1696561
2014,323824,337615,3492795,3701398,979158,1068474,1555271,1643680
2015,338704,349748,3603017,3819488,1463060,1591299,1099526,1130697
