Type,Sales per customer,Delivery Status,Category Name,Customer Segment,Customer State,Customer Zipcode,Department Name,Latitude,Longitude,Order Country,Order Customer Id,order date (DateOrders),Order Item Quantity,Sales,Order Item Total,Order Region,Order Status,Product Card Id,Product Name,Product Price,shipping date (DateOrders),Shipping Mode
CASH,309.7200012,Shipping on time,Sporting Goods,Consumer,CA,95125,Fitness,37.29223251,-121.881279,India,19491,1/13/2018 12:06,1,327.75,309.7200012,South Asia,CLOSED,1360,Smart watch ,327.75,1/17/2018 12:06,Standard Class
DEBIT,304.8099976,Advance shipping,Sporting Goods,Home Office,CA,90027,Fitness,34.12594605,-118.2910156,Australia,19490,1/13/2018 11:45,1,327.75,304.8099976,Oceania,COMPLETE,1360,Smart watch ,327.75,1/16/2018 11:45,Standard Class
TRANSFER,294.980011,Shipping canceled,Sporting Goods,Consumer,NY,14150,Fitness,43.01396942,-78.87906647,Australia,19488,1/13/2018 11:03,1,327.75,294.980011,Oceania,CANCELED,1360,Smart watch ,327.75,1/19/2018 11:03,Standard Class
TRANSFER,285.1400146,Late delivery,Sporting Goods,Corporate,FL,33162,Fitness,25.92886925,-80.16287231,China,19486,1/13/2018 10:21,1,327.75,285.1400146,Eastern Asia,PROCESSING,1360,Smart watch ,327.75,1/15/2018 10:21,First Class
CASH,275.3099976,Late delivery,Sporting Goods,Corporate,CA,94583,Fitness,37.77399063,-121.966629,China,19484,1/13/2018 9:39,1,327.75,275.3099976,Eastern Asia,CLOSED,1360,Smart watch ,327.75,1/15/2018 9:39,First Class
TRANSFER,268.7600098,Late delivery,Sporting Goods,Consumer,NY,11520,Fitness,40.65486527,-73.58707428,Indonesia,19482,1/13/2018 8:57,1,327.75,268.7600098,Southeast Asia,PENDING,1360,Smart watch ,327.75,1/18/2018 8:57,Second Class
TRANSFER,262.2000122,Late delivery,Sporting Goods,Corporate,CA,93905,Fitness,36.6763382,-121.656517,Indonesia,19481,1/13/2018 8:36,1,327.75,262.2000122,Southeast Asia,PENDING,1360,Smart watch ,327.75,1/17/2018 8:36,Second Class
TRANSFER,327.75,Late delivery,Sporting Goods,Corporate,MA,1960,Fitness,42.52627564,-70.92703247,India,19479,1/13/2018 7:54,1,327.75,327.75,South Asia,PROCESSING,1360,Smart watch ,327.75,1/15/2018 7:54,First Class
CASH,317.9200134,Late delivery,Sporting Goods,Corporate,CA,90723,Fitness,33.89869309,-118.1745605,India,19476,1/13/2018 6:51,1,327.75,317.9200134,South Asia,CLOSED,1360,Smart watch ,327.75,1/15/2018 6:51,First Class
PAYMENT,311.3599854,Shipping on time,Sporting Goods,Consumer,IL,60056,Fitness,42.04830551,-87.96134186,India,19474,1/13/2018 6:09,1,327.75,311.3599854,South Asia,PENDING_PAYMENT,1360,Smart watch ,327.75,1/13/2018 18:09,Same Day
TRANSFER,309.7200012,Shipping on time,Sporting Goods,Corporate,CA,90813,Fitness,33.78245163,-118.1922455,India,19473,1/13/2018 5:48,1,327.75,309.7200012,South Asia,PROCESSING,1360,Smart watch ,327.75,1/13/2018 17:48,Same Day
TRANSFER,298.25,Late delivery,Sporting Goods,Corporate,CA,95670,Fitness,38.61177445,-121.2828674,Australia,19471,1/13/2018 5:06,1,327.75,298.25,Oceania,PENDING,1360,Smart watch ,327.75,1/17/2018 5:06,Second Class
TRANSFER,288.4200134,Shipping canceled,Sporting Goods,Corporate,MT,59102,Fitness,45.78831101,-108.5594101,Australia,19469,1/13/2018 4:24,1,327.75,288.4200134,Oceania,SUSPECTED_FRAUD,1360,Smart watch ,327.75,1/15/2018 4:24,Second Class
TRANSFER,278.5899963,Late delivery,Sporting Goods,Consumer,PA,18702,Fitness,41.23545456,-75.86985779,Australia,19467,1/13/2018 3:42,1,327.75,278.5899963,Oceania,PENDING,1360,Smart watch ,327.75,1/18/2018 3:42,Second Class
DEBIT,272.0299988,Advance shipping,Sporting Goods,Corporate,MI,48066,Fitness,41.86886215,-84.57365418,China,19465,1/13/2018 3:00,1,327.75,272.0299988,Eastern Asia,COMPLETE,1360,Smart watch ,327.75,1/16/2018 3:00,Standard Class
TRANSFER,268.7600098,Advance shipping,Sporting Goods,Consumer,CA,90706,Fitness,33.90942383,-118.1253586,China,19464,1/13/2018 2:39,1,327.75,268.7600098,Eastern Asia,PROCESSING,1360,Smart watch ,327.75,1/15/2018 2:39,Standard Class
DEBIT,245.8099976,Late delivery,Sporting Goods,Consumer,IL,60187,Fitness,41.86544037,-88.10990143,India,19462,1/13/2018 1:57,1,327.75,245.8099976,South Asia,COMPLETE,1360,Smart watch ,327.75,1/18/2018 1:57,Standard Class
