Sales per customer,Delivery Status,Customer Zipcode,Order Country
309.7200012,Shipping on time,95125,India
275.3099976,Late delivery,94583,China
317.9200134,Late delivery,90723,India
314.6400146,Late delivery,17013,India
288.4200134,Shipping on time,30318,Indonesia
304.8099976,Shipping on time,49423,Australia
245.8099976,Late delivery,48197,Filipinas
327.75,Shipping on time,11218,Filipinas
314.6400146,Late delivery,92843,India
288.4200134,Advance shipping,84118,Tailandia
278.5899963,Late delivery,93304,Bangladés
268.7600098,Late delivery,92504,Australia
314.6400146,Shipping on time,33624,Australia
275.3099976,Late delivery,95351,China
294.980011,Late delivery,14580,Indonesia
272.0299988,Late delivery,85713,Australia
285.1400146,Late delivery,92126,Australia
324.4700012,Advance shipping,33624,Indonesia
278.5899963,Shipping on time,7111,Myanmar (Birmania)
268.7600098,Late delivery,90247,Myanmar (Birmania)
314.6400146,Advance shipping,91764,Filipinas
298.25,Advance shipping,78521,India
275.3099976,Advance shipping,10040,China
245.8099976,Late delivery,45140,Vietnam
288.4200134,Late delivery,10466,Indonesia
245.8099976,Advance shipping,91977,Australia
278.5899963,Shipping on time,97405,Australia
245.8099976,Late delivery,75243,Filipinas
43.11999893,Late delivery,60647,Senegal
56.09999847,Late delivery,14221,Estados Unidos
36.08000183,Late delivery,60123,Estados Unidos
79.19999695,Late delivery,78852,Singapur
40.04000092,Late delivery,91402,India
19.79999924,Late delivery,94536,Australia
66,Late delivery,90023,Reino Unido
35.20000076,Advance shipping,44102,Países Bajos
108.9000015,Shipping on time,78228,Reino Unido
16.5,Advance shipping,45840,Reino Unido
43.56000137,Advance shipping,45840,Reino Unido
49.5,Advance shipping,11226,España
64.68000031,Late delivery,97470,Alemania
33,Shipping on time,22193,República Dominicana
66,Advance shipping,92071,República Dominicana
98,Shipping on time,30062,Brasil
47.25,Late delivery,11213,República Dominicana
24,Advance shipping,11206,Nigeria
69.75,Late delivery,77083,Turquía
40,Late delivery,60624,Estados Unidos
23.75,Late delivery,60619,Estados Unidos
94.5,Shipping on time,60050,Estados Unidos
18.75,Late delivery,91405,Estados Unidos
74.25,Advance shipping,60630,Estados Unidos
23.25,Advance shipping,28205,Filipinas
110,Late delivery,91767,Australia
45,Late delivery,92780,India
18.75,Shipping on time,43229,Indonesia
113.75,Late delivery,33055,Alemania
24,Late delivery,10312,Suecia
41,Advance shipping,85713,Nicaragua
73.5,Late delivery,92833,Chile
40,Advance shipping,77083,México
320.0899963,Advance shipping,92057,Francia
147.5700073,Late delivery,11435,México
92.98999786,Late delivery,92507,República Democrática del Congo
90.98999786,Late delivery,7052,Nigeria
128.6900024,Late delivery,78240,Kenia
122.8399963,Late delivery,63033,SudAfrica
122.8399963,Late delivery,89119,Níger
54.59000015,Late delivery,22003,Angola
114.3899994,Late delivery,22003,Angola
113.0899963,Late delivery,22003,Angola
109.1900024,Late delivery,21740,Egipto
107.8899994,Late delivery,21740,Egipto
106.5899963,Late delivery,92507,Zimbabue
45,Late delivery,63033,SudAfrica
18.25,Late delivery,93306,SudAfrica
296.980011,Late delivery,92507,Zimbabue
263.980011,Late delivery,7052,Nigeria
260.980011,Late delivery,22003,Angola
245.9799957,Late delivery,63033,SudAfrica
252.8800049,Late delivery,30331,Reino Unido
438.480011,Late delivery,45424,España
433.9599915,Late delivery,94112,Francia
420.3999939,Late delivery,95376,Francia
411.3599854,Late delivery,95125,Reino Unido
406.8399963,Late delivery,53704,Francia
1305,Late delivery,75227,Francia
339.0299988,Late delivery,1841,Alemania
269.9899902,Late delivery,85301,Alemania
131.1900024,Late delivery,60453,Italia
98.98999786,Late delivery,92802,Francia
97.98999786,Late delivery,53704,Reino Unido
95.98999786,Late delivery,32225,Portugal
92.98999786,Late delivery,91770,Francia
