State,County,% adults graduated high school,% in fair or poor health,% without health insurance,bubble_size,Unemployment rate,Prime-age male labor force participation,Median household income,Poverty rate,% with debt in collection,% with housing costs > 35% of income,"% children in family receiving public assistance, SNAP, SSI",% poor in block group of ave. poor person,% rich in block group of ave. rich person,Ratio of 80th to 20th percentile of hh income,Gini coefficient,Top 5% share of hh income,Relative immobility,% adults with BA,On-time high school graduation rate,Premature mortality rate,% disabled,% diabetic,% obese,% who smoke,% births low birth weight,Median age,% under 18 years old,% 65+,% non-Hispanic white,% black,% Hispanic,% American Indian/AK native,% Asian,% Hawaiian/Pacific Islander,% other,% multiracial,Black-white segregation,% foreign born,Population,Density,% rural,Mean commute time,% of housing owner-occupied,median age housing,Net migration,Average temperature
Alabama,Autauga,87.6,17.9,8.9,30,3.4,86.8,53099,12.3,0.3,22.8,24.3,0.28,0.24,4.39,0.43,19.2,0.44,24.6,90,468.4,16.5,13,34.1,17.4,8.8,37.8,25.5,13.9,75.7,18.4,2.6,0.4,0.8,0,0.2,1.9,0.38,1.8,55049,92.6,42,5.3,73.2,27,0.0093,77.7
Alabama,Baldwin,90,16.4,11.8,30,3.7,89.3,51365,13,0.3,22.9,23.9,0.3,0.28,4.6,0.46,21.5,0.34,29.5,85,361.3,10.9,10.4,27.4,17.9,8.6,42.3,22.4,18.6,83.2,9.2,4.4,0.6,0.7,0,0.2,1.8,0.32,3.3,199510,125.5,42.3,8.3,71.7,24,0.0183,78.2
Alabama,Barbour,73.8,25,13,30,6.2,83.6,33956,26.4,0.4,22.6,,0.44,0.16,5.86,0.46,17.7,0.4,12.9,86.2,439.5,18,18.4,44.4,22.8,11.7,38.7,24.2,17.8,45.9,47.9,4.3,0.2,0.4,0,0.7,0.6,0.27,2.9,26614,30.1,67.8,7.3,63.9,37,-0.0162,79
Alabama,Bibb,80.7,19.5,9,30,3.5,84.3,39776,16.5,0.5,19,,0.32,0.16,4.23,0.45,21.8,0.43,12,85,521,13.8,14.8,40.3,19.9,12,40.2,22.9,15.7,74.8,21.2,2.2,0.4,0.1,0,0,1.4,0.47,1.4,22572,36.3,68.4,7.5,72.6,35,-0.0053,76.8
Alabama,Blount,80,18.9,11.2,30,3,78.1,46212,16.5,0.4,15.3,26.1,0.3,0.2,4.07,0.42,17.7,0.32,13,91.2,445.4,13.2,14.1,34.6,21,7.3,40.8,23.7,16.9,87.7,1.6,8.7,0.3,0.2,0,0.2,1.4,0.46,4.3,57704,89.5,90,17.1,78.8,31,-0.0047,73.8
Alabama,Bullock,66.6,28.3,16.7,30,7.5,78.6,29335,26.9,0.5,22.1,,0.41,0.08,6.05,0.47,20,0.36,10.3,87.5,546.6,15.9,19.6,43,22.8,13.4,39.2,22.4,14.9,21.7,75.5,0.1,0.8,0.8,0,0,1.1,0.33,1.5,10552,16.9,51.4,14.4,73.1,35,-0.0068,78.3
Alabama,Butler,81.1,26.6,11.8,30,5.3,82.7,34315,25.7,0.4,22.5,,0.44,0.13,5.05,0.46,19,0.49,16.1,83,560.2,17.6,17.7,36.3,21.8,11.1,40.6,23.7,17.6,52.8,43.5,1.2,0.1,1,0,0.1,1.3,0.41,1.4,20280,26.1,71.2,7.2,70.3,37,-0.0137,78.8
Alabama,Calhoun,82.3,22,10.9,30,6.7,85,41954,19.6,0.4,21.7,35.3,0.4,0.2,4.86,0.45,20.4,0.4,17.7,92.2,550.4,18.9,14.9,32.2,20.3,8.9,39.1,22.3,15.7,73,20.3,3.4,0.2,0.9,0,0,2.1,0.49,2.4,115883,191.3,33.7,6.6,69,41,-0.0074,74.3
Alabama,Chambers,80.3,24.5,11.8,30,4.1,80.3,36027,20.3,0.5,23.9,43.8,0.4,0.13,4.7,0.47,23.7,0.39,12.5,85,532.7,15.4,16.4,39.7,20.9,11.4,43.1,21.6,18,56.7,40.5,0.4,0.2,0.9,0,0,1.1,0.4,1,34018,57,49.1,5.1,67.6,44,-0.0045,76
Alabama,Cherokee,81.3,19.3,9.5,30,3,85.7,38925,16.4,0.4,21.2,,0.38,0.15,4.64,0.45,19.8,0.4,14,88,522.7,18.9,13.3,33.6,18.4,8.4,45.7,20.8,19.8,91.9,4.6,1.6,0.6,0.3,0,0,1,0.28,0.7,25897,46.8,85.7,9.3,79.2,33,0.0042,73.5
