LICENSE_NBR,LIC_STATUS,BUSINESS_NAME,BUSINESS_NAME2,BUILDING,STREET,CITY,STATE,ZIP,SWC_TYPE,SWC_SQ_FT,SWC_TABLES,SWC_CHAIRS,DOHMH,LATITUDE,LONGITUDE,COMMUNITY_DISTRICT,CITY_COUNCIL_DISTRICT,CD_URL,APP_ID,APP_SWC_TYPE,APP_SQ_FT,APP_TABLES,APP_CHAIRS,APP_STATUS,APP_STATUS_DATE,EXPIRATION_DATE,APP_TOO_DATE,SUBMIT_DATE,INTAKE,INTAKE_DD,DPQA,SEND_PACKAGE_DD,CP,CP_DD,CB,CB_DD,HEARING,HEARING_DD,HEARING_PUBLIC,HEARING_PUBLIC_DD,CC,CC_DD,MOO,MOO_DD,ISSUANCE,ISSUANCE_DD
2070818-DCA,Active,TAP NYC LLC,,267,COLUMBUS AVE,NEW YORK,NY,10023,Unenclosed,106,6,12,50064218,40.77755280643208,-73.97847329130418,107,6,http://www.nyc.gov/mcb7,5038-2018-ASWC,Unenclosed,106,6,12,Application Review Completed,07/24/2018,12/15/2020,,03/14/2018,Ready For Review,03/14/2018,Approved,03/15/2018,,,Review Period Expired,05/05/2018,Recommendation Issued,05/10/2018,SWC Public Hearing,05/02/2018,Review Period Expired,05/31/2018,Approved,07/24/2018,Issued,07/24/2018
2071756-DCA,Active,"SWEETGREEN NEW YORK, LLC",SWEETGREEN 91ST & BROADWAY,2460,BROADWAY,NEW YORK,NY,10025,Unenclosed,307,12,28,50065575,40.79144018203379,-73.97375952813162,107,6,http://www.nyc.gov/mcb7,5941-2018-ASWC,Unenclosed,307,12,28,Application Review Completed,12/03/2018,09/15/2020,,03/27/2018,Ready For Review,03/27/2018,Approved,03/28/2018,,,Review Period Expired,05/18/2018,Recommendation Issued,05/24/2018,SWC Public Hearing,05/16/2018,Review Period Expired,06/14/2018,Approved,11/30/2018,Issued,12/03/2018
2038100-DCA,Active,CLOUET LLC,,113,FRANKLIN ST,BROOKLYN,NY,11222,Unenclosed,214,8,16,50040518,40.729983314144945,-73.95762316076535,301,33,http://www.nyc.gov/brooklyncb1,31494-2018-RSWC,Unenclosed,214,8,16,Application Review Completed,05/17/2019,12/15/2020,,12/11/2018,Ready For Review,01/09/2019,Approved,01/16/2019,,,Review Period Expired,03/06/2019,Waived,03/06/2019,,,Review Period Expired,03/27/2019,Approved,05/17/2019,Issued,05/17/2019
1401947-DCA,Inactive,"768 MAD RESTAURANT, LLC",BAR ITALIA,768,MADISON AVE,NEW YORK,NY,10065,Small Unenclosed,53,2,8,41525379,40.767932933991105,-73.96845106737692,108,4,http://www.cb8m.com/,17858-2019-RSWC,Small Unenclosed,53,2,8,Pending Review,03/10/2020,04/10/2020,04/10/2020,04/15/2019,Ready For Review,04/15/2019,Issued Temp Op Letter,04/15/2019,Pending Review,04/15/2019,Recommend Approval,05/30/2019,Waived,05/30/2019,,,Review Period Expired,06/20/2019,Pending Review,,Pending Review,
1135863-DCA,Active,NARITA JAPANESE RESTAURANT INC.,,10708,70TH RD,FOREST HILLS,NY,11375,Unenclosed,220,11,21,40378190,40.7206568910484,-73.84554542599462,406,29,http://queenscb6.org/,12931-2018-RSWC,Unenclosed,220,11,21,Application Review Completed,12/27/2018,09/15/2020,,09/13/2018,Ready For Review,09/13/2018,Approved,09/14/2018,,,Recommend Approval,10/18/2018,Waived,10/18/2018,,,Review Period Expired,11/08/2018,Approved,12/27/2018,Issued,12/27/2018
1385339-DCA,Active,RED ROOSTER HARLEM LLC,RED ROOSTER HARLEM,310,MALCOLM X BLVD,NEW YORK,NY,10027,Unenclosed,493,20,40,41543410,40.8080960212873,-73.94497730406799,110,9,http://www.nyc.gov/html/mancb10/html/home/home.shtml,26424-2019-RSWC,Unenclosed,493,20,40,Pending Review,05/28/2020,08/29/2020,08/29/2020,09/11/2019,Ready For Review,09/11/2019,Issued Temp Op Letter,09/11/2019,Pending Review,09/11/2019,Pending Review,09/11/2019,Pending Review,,SWC Public Hearing,10/30/2019,Pending Review,,Pending Review,,Pending Review,
1282359-DCA,Active,"TIRAMISU RESTAURANT, LLC",TIRAMISU RESTAURANT,1410,3RD AVE,NEW YORK,NY,10028,Unenclosed,287,13,26,40520857,40.775169794517495,-73.95684702733364,108,5,http://www.cb8m.com/,14288-2018-RSWC,Unenclosed,287,13,26,Application Review Completed,06/03/2019,09/15/2020,,09/20/2018,Ready For Review,09/20/2018,Approved,09/27/2018,,,Recommend Approval,10/24/2018,Recommendation Issued,11/01/2018,SWC Public Hearing,11/14/2018,Review Period Expired,11/22/2018,Approved,06/03/2019,Issued,06/03/2019
2090170-DCA,Active,HOST 213 LLC,JACKDAW,213,2ND AVE,NEW YORK,NY,10003,Unenclosed,262,11,22,50092650,40.73187858974942,-73.9854951270192,103,2,http://www.nyc.gov/manhattancb3,8132-2019-ASWC,Unenclosed,262,11,22,Application Review Completed,11/12/2019,12/15/2021,,07/10/2019,Ready For Review,07/10/2019,Approved,07/11/2019,,,Review Period Expired,09/04/2019,Recommendation Issued,09/04/2019,SWC Public Hearing,08/28/2019,Review Period Expired,09/26/2019,Approved,11/12/2019,Issued,11/12/2019
2058330-DCA,Inactive,"BROOKLYN TACOS, LTD",ROCCO'S TACOS & TEQUILLA BAR,339,ADAMS ST,BROOKLYN,NY,11201,Unenclosed,454,7,26,50019209,40.6932107410383,-73.98866607551192,302,33,http://www.nyc.gov/html/bkncb2/html/home/home.shtml,7945-2017-ASWC,Unenclosed,454,7,26,Application Review Completed,03/23/2018,12/15/2019,,06/01/2017,Ready For Review,06/02/2017,Approved,06/02/2017,,,Review Period Expired,07/23/2017,Recommendation Issued,07/27/2017,SWC Public Hearing,07/19/2017,Review Period Expired,10/09/2017,,,Issued,03/23/2018
1420358-DCA,Active,1431 FIRST AVENUE CORP.,NUMERO 28,1431,1ST AVE,NEW YORK,NY,10021,Unenclosed,180,6,16,41642694,40.76939688998423,-73.95496984831233,108,5,http://www.cb8m.com/,32059-2018-RSWC,Unenclosed,180,6,16,Application Review Completed,12/26/2019,12/15/2020,,12/14/2018,Ready For Review,12/14/2018,Approved,12/18/2018,,,Review Period Expired,01/31/2019,Waived,01/31/2019,,,Review Period Expired,02/21/2019,Approved,12/26/2019,Issued,12/26/2019
2033301-DCA,Inactive,MADISON PARK ACQUISITIONS LLC,SD26,19,E 26TH ST,NEW YORK,NY,10010,Unenclosed,217,7,16,50034379,40.74334361385171,-73.98711659017769,105,2,http://www.cb5.org,5166-2018-RSWC,Unenclosed,217,7,16,Pending Review,01/02/2020,03/19/2020,02/08/2020,03/22/2018,Ready For Review,04/09/2018,Issued Temp Op Letter,04/10/2018,Pending Review,04/10/2018,Review Period Expired,05/31/2018,Waived,09/26/2018,,,Review Period Expired,10/17/2018,Pending Review,,Pending Review,
1177240-DCA,Active,"GIGINO, INC.",GIGINO TRATTORIA,323,GREENWICH ST,NEW YORK,NY,10013,Unenclosed,115,4,10,40399174,40.7172384826657,-74.01056242267718,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,27324-2018-RSWC,Unenclosed,115,4,10,Application Review Completed,03/22/2019,12/15/2020,,11/13/2018,Ready For Review,11/13/2018,Approved,11/13/2018,,,Review Period Expired,01/10/2019,Waived,01/10/2019,,,Review Period Expired,01/31/2019,Approved,03/22/2019,Issued,03/22/2019
2059443-DCA,Inactive,53 WEST 72ND STREET CAFE LLC,THE DAKOTA BAR,53,W 72ND ST,NEW YORK,NY,10023,Enclosed,344,13,26,41709840,40.77755275893923,-73.97822054565727,107,6,http://www.nyc.gov/mcb7,14524-2017-ASWC,Enclosed,344,13,26,Pending Review,10/23/2019,01/31/2020,01/31/2020,10/23/2019,Ready For Review,10/16/2017,Issued Temp Op Letter,12/01/2017,Pending Review,12/01/2017,Pending Review,12/01/2017,Pending Review,,,,Pending Review,,Pending Review,,Pending Review,
2088886-DCA,Active,"PLANT SHED PRINCE, INC.",,1,PRINCE ST,NEW YORK,NY,10012,Unenclosed,301,18,36,,40.72254714684867,-73.9934809364466,102,1,http://www.nyc.gov/manhattancb2,4737-2019-ASWC,Unenclosed,301,18,36,Application Review Completed,01/08/2020,09/15/2021,,04/30/2019,Ready For Review,04/30/2019,Approved,05/01/2019,,,Recommend Approval,06/24/2019,Recommendation Issued,06/26/2019,SWC Public Hearing,06/19/2019,Review Period Expired,08/20/2019,Approved,01/07/2020,Issued,01/08/2020
0949447-DCA,Active,164 MULBERRY ST. CORP.,DA NICO RESTAURANT,164,MULBERRY ST,NEW YORK,NY,10013,Unenclosed,113,4,8,40396264,40.71962961413981,-73.99701297823542,102,1,http://www.nyc.gov/manhattancb2,14067-2019-RSWC,Unenclosed,113,4,8,Application Review Completed,08/29/2019,04/15/2021,,03/14/2019,Ready For Review,03/14/2019,Approved,03/15/2019,,,Review Period Expired,05/07/2019,Waived,05/07/2019,,,Review Period Expired,05/28/2019,Approved,08/29/2019,Issued,08/29/2019
2089507-DCA,Active,TIKI CHICKI LLC,,517,AMSTERDAM AVE,NEW YORK,NY,10024,Unenclosed,270,16,32,50093277,40.78674980900641,-73.97545500656912,107,6,http://www.nyc.gov/mcb7,6363-2019-ASWC,Unenclosed,270,16,32,Application Review Completed,10/23/2019,04/15/2021,,05/30/2019,Ready For Review,05/31/2019,Approved,05/31/2019,,,Recommend Approval,07/12/2019,Recommendation On Hold,07/24/2019,SWC Public Hearing,07/17/2019,Review Period Expired,09/16/2019,Approved,10/23/2019,Issued,10/23/2019
1391086-DCA,Active,"419 MYRTLE REST, CORP.",PUTNAM'S,419,MYRTLE AVE,BROOKLYN,NY,11205,Unenclosed,677,31,70,41584296,40.69331967169923,-73.96904531705084,302,35,http://www.nyc.gov/html/bkncb2/html/home/home.shtml,26023-2019-RSWC,Unenclosed,677,31,70,Application Review Completed,01/30/2020,09/15/2021,,08/27/2019,Ready For Review,08/27/2019,Approved,08/27/2019,,,Review Period Expired,10/15/2019,Waived,10/15/2019,,,Review Period Expired,11/05/2019,Approved,01/30/2020,Issued,01/30/2020
2087605-DCA,Active,CABRERA ARGUDO CORP,RANCHO TAQUILERIA,718,AMSTERDAM AVE,NEW YORK,NY,10025,Unenclosed,402,24,48,50091755,40.793396533349124,-73.97107901535074,107,6,http://www.nyc.gov/mcb7,4823-2019-ASWC,Unenclosed,402,24,48,Application Review Completed,10/21/2019,04/15/2021,,04/25/2019,Ready For Review,04/26/2019,Approved,04/26/2019,,,Recommend Approval,06/19/2019,Recommendation Issued,06/19/2019,SWC Public Hearing,06/12/2019,Review Period Expired,07/18/2019,Approved,10/21/2019,Issued,10/21/2019
1444657-DCA,Inactive,"GUEROS RESTAURANT, INC.",,605,PROSPECT PL,BROOKLYN,NY,11238,Unenclosed,184,8,14,41615430,40.6752111447813,-73.95662690133969,308,35,http://www.brooklyncb8.org/,6217-2018-RSWC,Unenclosed,184,8,14,Application Review Completed,07/12/2018,04/15/2020,09/24/2018,04/06/2018,Ready For Review,04/06/2018,Approved,04/09/2018,,,Review Period Expired,05/30/2018,Waived,05/31/2018,,,Review Period Expired,06/21/2018,Approved,07/12/2018,Issued,07/12/2018
2075390-DCA,Active,JOE & THE JUICE NEW YORK LLC,JOE & THE JUICE,549,HUDSON ST,NEW YORK,NY,10014,Unenclosed,177,4,8,50073862,40.73498639493271,-74.00625687132948,102,3,http://www.nyc.gov/manhattancb2,5118-2018-ASWC,Unenclosed,177,4,8,Application Review Completed,11/07/2018,12/15/2020,,03/15/2018,Ready For Review,03/22/2018,Approved,03/22/2018,,,Review Period Expired,05/12/2018,Recommendation Issued,07/18/2018,SWC Public Hearing,05/09/2018,Review Period Expired,08/08/2018,,,Issued,11/07/2018
2075385-DCA,Inactive,GRAMERCY FARMER & THE FISH LLC,,245,PARK AVE S,NEW YORK,NY,10003,Unenclosed,135,5,14,50055386,40.737996901867284,-73.9876985939158,105,2,http://www.cb5.org,10465-2018-ASWC,Unenclosed,135,5,14,Application Review Completed,10/15/2018,04/15/2020,,05/21/2018,Ready For Review,05/21/2018,Approved,05/22/2018,,,Review Period Expired,07/11/2018,Recommendation Issued,07/11/2018,SWC Public Hearing,07/11/2018,Review Period Expired,08/01/2018,Approved,10/15/2018,Issued,10/15/2018
1238509-DCA,Active,MANGIA RESTAURANT CORP.,OVELIA RESTAURANT,3401,30TH AVE,ASTORIA,NY,11103,Unenclosed,480,20,40,41213051,40.765899483547464,-73.91879257838448,401,22,http://www.nyc.gov/html/qnscb1/html/home/home.shtml,11629-2018-RSWC,Unenclosed,480,20,40,Application Review Completed,04/24/2019,09/15/2020,06/30/2019,08/23/2018,Ready For Review,08/23/2018,Approved,08/28/2018,,,Review Period Expired,10/18/2018,Waived,10/18/2018,,,Review Period Expired,11/08/2018,Approved,04/24/2019,Issued,04/24/2019
1219900-DCA,Active,"M AND G TOGETHER 4 EVER, LLC",,307,FLATBUSH AVE,BROOKLYN,NY,11217,Unenclosed,390,20,42,41127647,40.678411129288385,-73.97325599900674,308,35,http://www.brooklyncb8.org/,33879-2018-RSWC,Unenclosed,390,20,42,Application Review Completed,06/20/2019,12/15/2020,,12/27/2018,Ready For Review,12/27/2018,Approved,12/28/2018,,,Review Period Expired,02/21/2019,Waived,02/21/2019,,,Review Period Expired,03/14/2019,Approved,06/20/2019,Issued,06/20/2019
2010250-DCA,Active,SEVEN A CAFE INC.,MISS LILY'S 7A,109,AVENUE A,NEW YORK,NY,10009,Unenclosed,229,10,20,40381720,40.72607319817032,-73.98375018486696,103,2,http://www.nyc.gov/manhattancb3,348-2020-RSWC,Unenclosed,229,10,20,Pending Review,01/10/2020,04/09/2020,04/09/2020,01/09/2020,Ready For Review,01/09/2020,Under Review,01/10/2020,Pending Review,01/10/2020,Review Period Expired,03/06/2020,Waived,03/06/2020,,,Review Period Expired,03/27/2020,Pending Review,,Pending Review,
1312041-DCA,Active,CAFE CASANO LLC,,38,WEST ST,NEW YORK,NY,10004,Unenclosed,204,9,23,41380933,40.70622853887717,-74.01653352079003,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,18515-2019-RSWC,Unenclosed,204,9,23,Application Review Completed,10/31/2019,04/15/2021,,04/24/2019,Ready For Review,04/24/2019,Approved,05/01/2019,,,Review Period Expired,06/27/2019,Waived,06/27/2019,,,Review Period Expired,07/18/2019,Approved,10/31/2019,Issued,10/31/2019
1356304-DCA,Active,OSTERIA LAGUNA L.L.C.,OSTERIA LAGUNA,209,E 42ND ST,NEW YORK,NY,10017,Small Unenclosed,155,3,12,40578252,40.75080980495498,-73.97375026821977,106,4,http://cbsix.org,30735-2018-RSWC,Small Unenclosed,155,3,12,Application Review Completed,03/20/2019,12/15/2020,,12/05/2018,Ready For Review,12/05/2018,Approved,12/05/2018,,,Review Period Expired,01/24/2019,Waived,01/24/2019,,,Review Period Expired,02/14/2019,Approved,03/20/2019,Issued,03/20/2019
1383044-DCA,Inactive,PSSP NY INC.,,143,MULBERRY ST,NEW YORK,NY,10013,Unenclosed,61,5,10,41564000,40.71889403414908,-73.99768760891399,102,1,http://www.nyc.gov/manhattancb2,33225-2019-RSWC,Unenclosed,61,5,10,Pending Review,11/26/2019,02/15/2020,02/15/2020,11/21/2019,Ready For Review,11/21/2019,Under Review,11/26/2019,Pending Review,11/26/2019,Recommend Approval,12/31/2019,Waived,01/06/2020,,,Review Period Expired,01/27/2020,Pending Review,,Pending Review,
