Date,Open,High,Low,Close,Volume
3/8/2022,124.66,126.84,124.35,126.41,483832
3/7/2022,121.33,130.5,115.54,119.4,493875
3/4/2022,107.96,116.02,107.25,115.68,493875
3/3/2022,111.33,116.57,106.43,107.67,592031
3/2/2022,107.12,112.51,105.18,110.6,651853
3/1/2022,96.09,106.78,95.32,103.41,698814
2/28/2022,94.99,99.1,94.43,95.72,490796
2/25/2022,93.32,95.64,90.06,91.59,523793
2/24/2022,92.52,100.54,91.45,92.81,872244
2/23/2022,91.74,93.9,90.64,92.1,440574
2/22/2022,91.75,96,90.35,92.35,789041
2/18/2022,91.63,92.66,89.03,91.07,150382
2/17/2022,90.9,93.36,90.62,91.76,212552
2/16/2022,92.21,95.01,90,93.66,401453
2/15/2022,94.83,95.17,90.66,92.07,442641
2/14/2022,93.91,95.82,92.09,95.46,467071
2/11/2022,90,94.66,89.19,93.1,554423
2/10/2022,90.01,91.74,89.03,89.88,492091
2/9/2022,89.86,90.58,88.41,89.66,445618
2/8/2022,91.64,91.68,88.51,89.36,467386
2/7/2022,91.82,92.73,90.73,91.32,497754
2/4/2022,90.19,93.17,90.07,92.31,410926
2/3/2022,87.98,90.45,86.75,90.27,465771
2/2/2022,88.35,89.72,87.1,88.26,456863
2/1/2022,88.15,88.87,86.55,88.2,376841
1/31/2022,87.45,88.39,86.34,88.15,359080
1/28/2022,87.5,88.84,86.44,86.82,436172
1/27/2022,87.15,88.54,86.2,86.61,427804
1/26/2022,85.26,87.95,85.01,87.35,459642
1/25/2022,84.15,85.71,82.99,85.6,507219
1/24/2022,84.91,86.09,81.9,83.31,511695
1/21/2022,84.57,85.56,82.78,85.14,509103
1/20/2022,86.23,87.82,86,86.9,532202
1/19/2022,86.61,87.91,85.77,86.96,113153
1/18/2022,84.32,86.63,83.5,85.43,163643
1/14/2022,81.73,84.45,81.58,83.82,364442
1/13/2022,82.82,82.94,81.39,82.12,364769
1/12/2022,81.38,83.1,81.17,82.64,420619
1/11/2022,78.42,81.59,78.36,81.22,481815
1/10/2022,78.88,79.45,77.83,78.23,389956
1/7/2022,79.62,80.47,78.52,78.9,414434
1/6/2022,77.24,80.24,76.73,79.46,476665
1/5/2022,77.18,78.58,76.51,77.85,397898
1/4/2022,76.02,77.64,75.7,76.99,372848
1/3/2022,75.69,76.46,74.27,76.08,317628
12/31/2021,76.66,77.08,74.95,75.21,237118
12/30/2021,76.58,77.44,75.78,76.99,231163
12/29/2021,76.04,77.37,75.36,76.56,283557
12/28/2021,75.97,76.92,75.53,75.98,249728
12/27/2021,73.38,76.09,72.57,75.57,268490
12/23/2021,73.03,73.95,72.27,73.79,270223
12/22/2021,71.27,73.16,70.8,72.76,306709
12/21/2021,69.21,71.55,68.56,71.12,358779
12/20/2021,70.07,70.07,66.04,68.23,492217
12/17/2021,71.92,72.26,69.89,70.86,78125
12/16/2021,71.48,72.99,71.03,72.38,142541
12/15/2021,70.35,71.66,69.39,70.87,294337
12/14/2021,71.12,72.03,69.51,70.73,359454
12/13/2021,72.04,73,70.71,71.29,406604
12/10/2021,70.68,72.33,70.32,71.67,397883
12/9/2021,72.52,73.34,70.39,70.94,393205
12/8/2021,71.86,73,70.91,72.36,464846
12/7/2021,69.72,73.03,69.52,72.05,496528
12/6/2021,67.02,70.15,66.72,69.49,401060
12/3/2021,67.5,69.22,65.6,66.26,449974
12/2/2021,65.63,67.49,62.43,66.5,668293
12/1/2021,67.01,69.49,64.84,65.57,602447
11/30/2021,70.04,71.22,64.43,66.18,722475
11/29/2021,69.23,72.93,68.86,69.95,675090
11/26/2021,78.34,78.65,67.4,68.15,844630
11/25/2021,78.34,78.65,77.76,78.03,328848
11/24/2021,78.48,79.23,77.98,78.39,328848
11/23/2021,76.46,78.86,75.3,78.5,506987
11/22/2021,75.75,77.16,74.76,76.75,465768
11/19/2021,78.76,79.92,75.37,76.1,623448
11/18/2021,78.34,79.36,77.08,79.01,83984
11/17/2021,80.54,80.69,77.69,78.36,174471
11/16/2021,80.93,81.81,80.03,80.76,325668
11/15/2021,80.66,81.2,79.3,80.88,343484
11/12/2021,81.21,81.62,79.78,80.79,390304
11/11/2021,81.41,82.33,80.2,81.59,475436
11/10/2021,84.53,84.97,80.81,81.34,555215
11/9/2021,82.16,84.63,81.78,84.15,504832
11/8/2021,81.13,82.67,81.05,81.93,393953
11/4/2021,79.37,81.8,78.96,81.27,531054
11/3/2021,80.18,83.42,78.25,78.81,701119
11/2/2021,83.07,83.08,79.69,80.86,546577
11/1/2021,83.87,84.41,82.92,83.91,429608
10/31/2021,83.36,84.88,82.74,84.05,412309
10/28/2021,83.09,83.74,81.41,83.57,507309
10/27/2021,82.25,83.21,80.58,82.81,491585
10/26/2021,84.39,84.51,82.01,82.66,529952
10/25/2021,83.72,84.88,82.97,84.65,467716
10/24/2021,83.98,85.41,83.39,83.76,568725
10/21/2021,82.61,84.22,81.76,83.76,465355
10/20/2021,83.58,83.96,80.79,82.5,567503
10/19/2021,83.34,84.25,81.3,83.87,530693
10/18/2021,82.37,83.74,81.8,82.96,82607
10/17/2021,82.6,83.87,81.84,82.44,134098
10/14/2021,81.48,82.66,81.39,82.28,277953
10/13/2021,80.59,81.68,80.38,81.31,399813
10/12/2021,80.58,81.04,79.42,80.44,487220
10/11/2021,80.5,81.62,79.47,80.64,598181
10/10/2021,79.59,82.18,79.55,80.52,653756
10/7/2021,78.86,80.11,78.63,79.35,662010
10/6/2021,77,78.89,74.96,78.3,545008
10/5/2021,79.04,79.78,76.83,77.43,459055
10/4/2021,77.58,79.48,77.47,78.93,449617
10/3/2021,75.9,78.38,75.32,77.62,458006
9/30/2021,75.12,75.99,74.23,75.88,388996
9/29/2021,74.78,76.07,73.14,75.03,583189
9/28/2021,74.38,75.79,73.74,74.83,424193
9/27/2021,75.43,76.67,74.24,75.29,476143
9/26/2021,74.19,75.75,74.16,75.45,417829
9/23/2021,73.24,74.27,72.81,73.98,350382
9/22/2021,71.97,73.5,71.61,73.3,403405
9/21/2021,70.85,72.3,70.64,72.23,381061
9/20/2021,70.59,71.63,69.67,70.56,393403
9/19/2021,71.92,72.08,69.86,70.29,75837
9/16/2021,72.62,72.72,71.21,71.97,119933
9/15/2021,72.65,72.99,71.53,72.61,298412
9/14/2021,70.76,73.14,70.65,72.61,418665
9/13/2021,70.64,71.22,69.98,70.46,414231
9/12/2021,69.74,70.97,69.51,70.45,390939
9/9/2021,67.97,69.96,67.68,69.72,411079
