FIPS Code,Alt FIPS Code,State,State Abbreviation,population,% births to unmarried women,% women currently married,% children with single parent,% children read to every day past week,% children 4+ hours television past week,% children 4+ hours on electronic device past week,"% get emotional support sometimes, rarely, or never",Average number of close friends,% neighbors who do favors at least once/mo,% who trust all/most neighbors,"Membership Organizations p 1,000","Non-religious non-profits plus religious congregations p 1,000",% attended meeting where politics discussed last year,% participated in demonstration,% who volunteered for a group,% attended public meeting,% worked with neighbors to improve/fix something,% served on committee or as group officer,"Presidential election voting rate, 2012 & 2016",Mail-back census response rate,% have some/great confidence in corporations to do right,% have some/great confidence in media,% have some/great confidence in public schools,"Violent Crimes p 100,000",% made $25+ contribution to charitable cause
1,1,Alabama,AL,4841164,42.5,56.2,36.6,35.4,9.2,12.5,21.4,5.8,37.2,61.3,2.4,5.5,7.3,0.8,21.6,7.2,6.3,10.6,58.5,70,71.9,54.6,83.6,427.4,44.9
2,2,Alaska,AK,736855,32,61.7,29.5,43.8,7,10.9,17.8,7,39.9,64.2,2.5,7.4,22.4,4.3,31.4,15.1,12.3,17.7,60,62,69.4,55.6,90.5,635.8,52.5
4,4,Arizona,AZ,6728577,38.3,56.4,34.7,34.9,10.7,13.2,20.1,5.8,34.3,54.5,1.1,3.4,9.6,3.4,23.2,5.3,5.6,5.9,56.6,67,62.9,49.5,73.5,399.9,47.7
5,5,Arkansas,AR,2968472,38.1,59.6,34.7,29.9,10.1,16.1,20.8,5.9,43,47.2,2.4,5.9,5.5,1.2,21,6.8,6.4,7.3,49.3,67,66.1,58.3,86,480.1,44.7
6,6,California,CA,38654206,32.9,58.9,30.5,30.9,7.7,9.4,25.2,5.5,36,49.7,1.2,3.9,9.6,4.6,23.4,7.2,6.7,7.7,57.9,71,59.2,55.3,83.4,396.1,45.9
8,8,Colorado,CO,5359295,26.4,64.3,27.1,46.9,6,10.3,15.8,6.3,44.7,68.2,1.9,5.3,14.6,6.3,28.4,9.9,8.9,12.6,73.9,70,69.8,57.2,86.5,309.1,59.7
9,9,Connecticut,CT,3588570,32.4,60.7,30.7,47.3,7.4,10.3,19.1,5.8,41.2,61.9,1.9,5.7,11.8,2,29.6,11.5,10.8,11.3,63,74,63.9,59.2,88.1,236.9,58.1
10,10,Delaware,DE,934695,36.7,54.5,36.7,41,9.8,12.6,15.7,5.1,41.7,54.1,2,6.7,7,1.6,26,10,8.8,11.8,63.9,69,66.1,60.4,82.9,489.1,51
11,11,District of Columbia,DC,659009,46.2,36.4,52.3,52.8,7.1,12.3,22.7,6.5,40,44.6,9.3,19.1,25.8,10.8,31.6,14.4,15.1,19.7,63.2,69,58.3,66,85.9,1244.4,53.3
12,12,Florida,FL,19934451,41.2,53.1,37.2,34.2,9.3,12.1,20.6,5.3,38.3,46.6,1.6,3.8,7.6,2.2,18.4,5.5,5.5,6.9,66.1,72,65.8,52.8,84.5,540.5,39
