Country,Admin1 Level,Location,1km,2km,5km,Best,Total Events,Map
Palestine,Gaza Strip,Abasan al Jadidah,6608,11044,12659,12659,36,"https://www.google.com/maps/place/31%C2%B020'29.7%22N+34%C2%B020'45.3%22E/@31.3415824,34.3433473,745m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d31.3415778!4d34.3459222?entry=ttu&g_ep=EgoyMDI0MTAwMi4xIKXMDSoASAFQAw%3D%3D"
Palestine,Gaza Strip,Abasan al Kabirah,12862,9093,9582,9582,155,"https://www.google.com/maps/place/Abasan+al-Kabira/@31.3226128,34.3394063,2980m/data=!3m1!1e3!4m6!3m5!1s0x14fd8e32c5a429f5:0x91d6100976701d29!8m2!3d31.323126!4d34.344025!16s%2Fm%2F02x9v09?hl=en-US&entry=ttu&g_ep=EgoyMDI0MTAwMi4xIKXMDSoASAFQAw%3D%3D"
Palestine,Gaza Strip,Al Bayuk,3941,10286,11200,11200,7,"https://www.google.com/maps/place/Al+Bayuk/@31.263434,34.2789631,1491m/data=!3m1!1e3!4m6!3m5!1s0x14fd93aa187f9507:0xb2cf9aa78d544f27!8m2!3d31.263444!4d34.281581!16s%2Fm%2F0k2fvm3?entry=ttu&g_ep=EgoyMDI0MTAwMi4xIKXMDSoASAFQAw%3D%3D"
Palestine,Gaza Strip,Al Brawk,4233,4465,6149,6149,157,"https://www.google.com/maps/place/31%C2%B025'13.5%22N+34%C2%B020'20.5%22E/@31.4204157,34.3364445,744m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d31.4204111!4d34.3390194?entry=ttu&g_ep=EgoyMDI0MTAwMi4xIKXMDSoASAFQAw%3D%3D"
Palestine,Gaza Strip,Al Burayj,21609,34606,35339,35339,454,
Palestine,Gaza Strip,Al Farahin,1262,3921,3572,3572,12,
Palestine,Gaza Strip,Al Fukhari,3743,5695,6275,6275,106,
Palestine,Gaza Strip,Al Junainah,14370,19794,19794,19794,25,
Palestine,Gaza Strip,Al Maghazi,12542,17923,18186,18186,277,
Palestine,Gaza Strip,Al Mawasi (Khan Yunis),704,887,964,964,63,
Palestine,Gaza Strip,Al Mawasi (Rafah),3110,3419,3419,3419,142,
Palestine,Gaza Strip,Al Mintar Crossing,1089,2251,2032,2032,5,
Palestine,Gaza Strip,Al Mughraqa,2159,4435,5435,5435,207,
Palestine,Gaza Strip,Al Musaddar,4086,5554,5554,5554,61,"https://www.google.com/maps/place/Al+Mughraqa/@31.4689888,34.4168354,744m/data=!3m1!1e3!4m6!3m5!1s0x14fd82299bad6723:0x3247b820fd0bbdbc!8m2!3d31.468303!4d34.417565!16s%2Fm%2F04crxgg?entry=ttu&g_ep=EgoyMDI0MTAwMi4xIKXMDSoASAFQAw%3D%3D"
Palestine,Gaza Strip,Al Qararah,6461,19017,15261,15261,194,
Palestine,Gaza Strip,Al Qarya as Suwydiya,160,461,558,558,5,
Palestine,Gaza Strip,Al Qurein,5127,11055,11055,11055,8,
Palestine,Gaza Strip,Al Zahra,3406,5922,8681,8681,86,
Palestine,Gaza Strip,An Nasr,5856,10030,10940,10940,38,
Palestine,Gaza Strip,An Nusayrat,22744,22744,22744,22744,357,
Palestine,Gaza Strip,An Nusayrat - North,7828,11190,11240,11240,284,
Palestine,Gaza Strip,An Nusayrat - South,26463,25788,25788,25788,18,
Palestine,Gaza Strip,An Nusayrat - West,10674,15641,15939,15939,152,
Palestine,Gaza Strip,As Salam,8229,27704,28852,28852,60,
Palestine,Gaza Strip,As Surayij,29,38,36,36,1,
Palestine,Gaza Strip,Az Zawayda,12448,18914,19943,19943,139,
Palestine,Gaza Strip,Bani Suheila,21480,39728,25181,25181,608,
Palestine,Gaza Strip,Beit Hanoun,4352,4352,4762,4762,215,
Palestine,Gaza Strip,Beit Hanoun - Al Soltan Abedl Hamaid,553,963,1148,1148,1,
Palestine,Gaza Strip,Beit Hanoun - Al-Sekka,1753,1753,1706,1706,317,
Palestine,Gaza Strip,Beit Lahiya,1700,1720,1720,1720,285,
Palestine,Gaza Strip,Beit Lahiya - Al Mashroo,14760,14760,14760,14760,64,
Palestine,Gaza Strip,Beit Lahiya - Al Salateen,7901,13736,13903,13903,32,
Palestine,Gaza Strip,Beit Lahiya - As Siafa,5,33,34,34,152,
Palestine,Gaza Strip,Beit Lahiya - Atatra,8040,5586,5492,5492,22,
Palestine,Gaza Strip,Beit Lahiya - Ezbet Beit Hanoun,6369,4550,4550,4550,12,
Palestine,Gaza Strip,Beit Lahiya - Fados,252,248,248,248,1,
Palestine,Gaza Strip,Brazil Camp,28192,28941,32778,32778,56,
Palestine,Gaza Strip,Coast of An Nusayrat,#NUM!,552,789,789,4,
Palestine,Gaza Strip,Coast of Deir al Balah,#NUM!,0,820,820,4,
Palestine,Gaza Strip,Coast of Gaza City,#NUM!,#NUM!,#NUM!,#NUM!,5,
Palestine,Gaza Strip,Coast of Gaza Strip,#NUM!,#NUM!,#NUM!,#NUM!,3,
Palestine,Gaza Strip,Coast of Khan Yunis,310,783,#NUM!,#NUM!,7,
Palestine,Gaza Strip,Coast of North Gaza,#NUM!,241,60,60,2,
Palestine,Gaza Strip,Coast of Rafah,#NUM!,533,#NUM!,#NUM!,86,
Palestine,Gaza Strip,Deir al Balah,34933,36627,36627,36627,284,"https://www.google.com/maps/place/Deir+al+Balah/@31.4166382,34.3500924,744m/data=!3m1!1e3!4m6!3m5!1s0x14fd84c2293da045:0x8c3c868834340e87!8m2!3d31.417139!4d34.350931!16zL20vMDU0MjMx?hl=en-US&entry=ttu&g_ep=EgoyMDI0MTAwMi4xIKXMDSoASAFQAw%3D%3D"
Palestine,Gaza Strip,Deir al Balah Camp,35064,44708,33565,33565,365,
