Year,Days with Minimum Temperature Below 32°F,Range,5-years Mean,RCP,Modeled Min,Modeled Max,Modeled Mean
1950,139.3529,1946-1950,,8.5,120.02086,165.7147,147.53535
1951,130.88887,1947-1951,,8.5,113.721436,170.21295,148.19193
1952,136.28044,1948-1952,,8.5,125.56785,171.99236,153.75569
1953,118.29565,1949-1953,,8.5,124.03355,172.99832,153.41418
1954,136.60405,1950-1954,,8.5,123.99696,174.84924,150.81505
1955,137.38571,1951-1955,,8.5,126.1852,167.10005,149.77336
1956,154.92513,1952-1956,136.2,8.5,129.30861,168.82278,151.86462
1957,138.92433,1953-1957,136.6,8.5,131.5805,176.247,153.9948
1958,138.52026,1954-1958,136.8,8.5,127.96697,168.04227,149.70784
1959,144.30653,1955-1959,137.5,8.5,131.9397,174.97885,150.58675
1960,145.37175,1956-1960,138.3,8.5,104.68551,171.79057,151.00319
1961,147.14734,1957-1961,139,8.5,127.19222,167.14246,147.96478
1962,156.64056,1958-1962,140.4,8.5,134.48811,170.35893,151.58475
1963,149.22586,1959-1963,141,8.5,131.93806,179.29034,151.88934
1964,151.83542,1960-1964,141.7,8.5,118.05626,175.70871,153.36296
1965,162.01775,1961-1965,143,8.5,131.73395,174.11958,152.65845
1966,152.67094,1962-1966,143.6,8.5,131.84703,172.61226,151.81601
1967,157.47058,1963-1967,144.3,8.5,125.617516,169.33441,149.42387
1968,137.84343,1964-1968,144,8.5,121.32868,180.83229,153.5227
1969,148.168,1965-1969,144.2,8.5,114.846756,171.85233,149.05461
1970,150.52228,1966-1970,144.5,8.5,131.97598,173.38904,152.05405
1971,155.5002,1967-1971,145,8.5,127.019554,172.71532,151.27715
1972,163.98764,1968-1972,145.8,8.5,121.02168,170.97176,150.05275
1973,130.82515,1969-1973,145.2,8.5,123.76568,167.79802,148.14874
1974,156.10799,1970-1974,145.6,8.5,129.98544,169.08688,148.09995
1975,147.42001,1971-1975,145.7,8.5,125.46235,170.52846,147.51695
1976,158.87506,1972-1976,146.2,8.5,121.50293,175.87067,148.63597
1977,141.72281,1973-1977,146,8.5,118.938576,175.55548,151.48341
1978,162.68175,1974-1978,146.6,8.5,131.4263,169.3139,148.54858
1979,134.43,1975-1979,146.2,8.5,127.95955,163.31442,147.94093
1980,155.81612,1976-1980,146.5,8.5,126.24955,168.97261,148.73035
1981,146.12833,1977-1981,146.5,8.5,112.95033,166.10631,146.15042
1982,148.03673,1978-1982,146.5,8.5,125.76713,164.35168,144.7957
