Year,Average Temperature °F,Range,5-years Mean,RCP,Modeled Min °F,Modeled Max °F,Modeled Mean °F
1950,44.898758,1946-1950,,8.5,43.09773,46.90055,44.7146
1951,45.63305,1947-1951,,8.5,42.701714,47.489555,45.215115
1952,46.444553,1948-1952,,8.5,42.593586,46.683395,44.604103
1953,47.726883,1949-1953,,8.5,42.832745,47.09075,44.598343
1954,45.697285,1950-1954,,8.5,42.196545,48.225735,44.59636
1955,46.10733,1951-1955,,8.5,43.024387,46.242813,44.536674
1956,44.493996,1952-1956,45.9,8.5,42.801548,46.916653,44.865894
1957,46.051365,1953-1957,45.9,8.5,41.920403,46.952156,44.40965
1958,43.7761,1954-1958,45.6,8.5,42.693497,46.726368,44.82085
1959,46.121918,1955-1959,45.7,8.5,42.53556,46.904434,44.470085
1960,44.8264,1956-1960,45.6,8.5,42.52887,48.720974,44.905582
1961,45.378193,1957-1961,45.6,8.5,42.81952,47.96567,44.90102
1962,44.122116,1958-1962,45.5,8.5,42.68832,46.480495,44.540115
1963,43.95108,1959-1963,45.4,8.5,41.940826,46.617977,44.496464
1964,45.533607,1960-1964,45.4,8.5,41.23206,46.759933,44.104736
1965,44.296883,1961-1965,45.3,8.5,41.532566,46.126938,44.1766
1966,44.709595,1962-1966,45.3,8.5,42.2373,46.963585,44.79616
1967,44.403748,1963-1967,45.2,8.5,43.112,46.664974,44.85698
1968,44.42166,1964-1968,45.2,8.5,41.420902,47.15938,44.70891
1969,44.66793,1965-1969,45.2,8.5,42.689655,48.938526,44.74447
1970,44.624252,1966-1970,45.1,8.5,41.796684,46.702667,44.51536
1971,44.892555,1967-1971,45.1,8.5,42.36796,46.93635,44.639984
1972,43.60954,1968-1972,45.1,8.5,43.29544,46.776657,44.92984
1973,46.902554,1969-1973,45.1,8.5,43.730858,46.725212,44.92665
1974,44.663788,1970-1974,45.1,8.5,41.79771,47.850456,44.85199
1975,45.86851,1971-1975,45.1,8.5,42.62997,47.33282,44.960155
1976,43.4632,1972-1976,45.1,8.5,41.97884,48.518925,44.68762
1977,44.854023,1973-1977,45.1,8.5,42.58623,47.16125,44.550854
1978,43.276592,1974-1978,45,8.5,42.912403,47.15056,45.13271
1979,45.015038,1975-1979,45,8.5,43.126152,47.33265,45.265114
1980,43.838943,1976-1980,45,8.5,43.553616,47.452568,45.18369
1981,44.828415,1977-1981,45,8.5,43.90149,48.10734,45.428387
1982,44.553574,1978-1982,45,8.5,43.342495,47.530365,45.394073
1983,45.704365,1979-1983,45,8.5,42.539165,46.665356,44.634624
1984,45.25539,1980-1984,45,8.5,43.160137,46.66995,44.927486
1985,44.894398,1981-1985,45,8.5,42.641445,48.710327,45.232834
1986,45.256187,1982-1986,45,8.5,43.105255,47.85256,45.253525
1987,45.770435,1983-1987,45,8.5,43.513744,47.193398,45.54763
1988,44.907448,1984-1988,45,8.5,41.479862,47.21392,45.295662
1989,43.918713,1985-1989,45,8.5,43.302647,48.111847,45.777073
1990,47.39781,1986-1990,45,8.5,43.68745,47.608635,45.494495
1991,47.18875,1987-1991,45.1,8.5,43.869133,47.93179,45.955273
1992,43.79014,1988-1992,45.1,8.5,42.831093,46.808243,44.91658
1993,44.33868,1989-1993,45,8.5,41.743267,46.87839,45.122505
1994,44.447,1990-1994,45,8.5,43.493343,48.450138,45.74707
1995,45.410187,1991-1995,45,8.5,43.966976,47.875843,45.81154
1996,44.576046,1992-1996,45,8.5,43.42992,47.541122,45.65492
1997,44.35314,1993-1997,45,8.5,44.05814,47.866383,46.06228
1998,48.28588,1994-1998,45.1,8.5,44.143684,47.75973,45.687252
1999,46.827267,1995-1999,45.1,8.5,44.325188,47.969337,46.32937
2000,44.706497,1996-2000,45.1,8.5,44.6424,49.63958,46.387165
2001,46.835735,1997-2001,45.1,8.5,44.078125,48.62653,46.31866
2002,46.691406,1998-2002,45.2,8.5,44.14383,48.698486,46.900265
2003,44.401367,1999-2003,45.2,8.5,44.612022,48.206413,46.36946
2004,44.946686,2000-2004,45.2,8.5,44.00485,48.402122,46.14424
2005,46.060707,2001-2005,45.2,8.5,44.45334,48.534576,46.503788
2006,47.532642,2002-2006,45.2,8.5,42.897858,48.459564,46.425823
2007,45.46308,2003-2007,45.2,8.5,44.68631,49.11209,46.542202
2008,45.48384,2004-2008,45.2,8.5,44.677803,51.58713,47.06874
2009,44.749294,2005-2009,45.2,8.5,44.409496,49.896706,46.58693
