country,iso_alpha3,year,internet daily,did online course,internet at least once/week
Austria,AUT,2010,53,2,70
Belgium,BEL,2010,59,4,75
Bosnia and Herzegovina,BIH,2010,,,
Bulgaria,BGR,2010,33,2,42
Croatia,HRV,2010,40,1,51
Cyprus,CYP,2010,40,1,50
Czechia,CZE,2010,38,1,58
Denmark,DNK,2010,76,5,86
Estonia,EST,2010,57,6,71
Finland,FIN,2010,72,14,83
France,FRA,2010,60,5,72
Germany,DEU,2010,60,3,75
Greece,GRC,2010,31,2,41
Hungary,HUN,2010,48,3,60
Iceland,ISL,2010,85,9,92
Ireland,IRL,2010,47,5,63
Italy,ITA,2010,46,3,48
Kosovo,XKX,2010,,,
Latvia,LVA,2010,49,5,62
Lithuania,LTU,2010,45,8,58
Luxembourg,LUX,2010,74,5,86
Malta,MLT,2010,49,5,60
Montenegro,MNE,2010,,,
Netherlands,NLD,2010,76,5,88
North Macedonia,MKD,2010,39,4,50
Norway,NOR,2010,81,5,90
Poland,POL,2010,42,2,55
Portugal,PRT,2010,38,2,47
Romania,ROU,2010,21,4,34
Serbia,SRB,2010,,,
Slovakia,SVK,2010,58,1,73
Slovenia,SVN,2010,54,4,65
Spain,ESP,2010,44,8,58
Sweden,SWE,2010,76,7,88
Switzerland,CHE,2010,,,
Turkey,TUR,2010,22,2,33
United Kingdom,GBR,2010,66,7,80
Austria,AUT,2011,59,3,76
Belgium,BEL,2011,65,3,78
Bosnia and Herzegovina,BIH,2011,,,
Bulgaria,BGR,2011,37,2,46
Croatia,HRV,2011,44,2,55
Cyprus,CYP,2011,45,2,54
Czechia,CZE,2011,41,3,63
Denmark,DNK,2011,78,7,87
Estonia,EST,2011,59,6,73
Finland,FIN,2011,76,14,86
France,FRA,2011,62,5,74
Germany,DEU,2011,63,4,77
Greece,GRC,2011,37,4,47
Hungary,HUN,2011,55,5,66
Iceland,ISL,2011,88,10,94
Ireland,IRL,2011,55,5,71
Italy,ITA,2011,49,4,51
Kosovo,XKX,2011,,,
Latvia,LVA,2011,53,5,66
Lithuania,LTU,2011,47,10,60
Luxembourg,LUX,2011,76,6,86
Malta,MLT,2011,55,6,66
Montenegro,MNE,2011,,,
Netherlands,NLD,2011,79,5,90
North Macedonia,MKD,2011,,,
Norway,NOR,2011,82,7,91
Poland,POL,2011,45,2,58
Portugal,PRT,2011,42,3,51
Romania,ROU,2011,24,5,37
Serbia,SRB,2011,,,
Slovakia,SVK,2011,56,1,72
Slovenia,SVN,2011,54,5,64
Spain,ESP,2011,47,9,61
Sweden,SWE,2011,80,5,91
Switzerland,CHE,2011,,,
Turkey,TUR,2011,,,
United Kingdom,GBR,2011,70,6,81
Austria,AUT,2012,60,,76
Belgium,BEL,2012,65,,78
Bosnia and Herzegovina,BIH,2012,,,
Bulgaria,BGR,2012,40,,50
Croatia,HRV,2012,48,,58
Cyprus,CYP,2012,47,,58
Czechia,CZE,2012,44,,67
Denmark,DNK,2012,81,,89
Estonia,EST,2012,59,,74
Finland,FIN,2012,78,,88
France,FRA,2012,65,,78
Germany,DEU,2012,65,,78
Greece,GRC,2012,41,,50
Hungary,HUN,2012,58,,69
Iceland,ISL,2012,88,,95
Ireland,IRL,2012,58,,74
Italy,ITA,2012,51,,53
Kosovo,XKX,2012,,,
Latvia,LVA,2012,57,,70
Lithuania,LTU,2012,49,,64
Luxembourg,LUX,2012,81,,90
Malta,MLT,2012,57,,66
Montenegro,MNE,2012,46,,55
Netherlands,NLD,2012,81,,91
North Macedonia,MKD,2012,44,,54
Norway,NOR,2012,86,,93
Poland,POL,2012,46,,59
Portugal,PRT,2012,45,,56
Romania,ROU,2012,29,,43
Serbia,SRB,2012,,,
Slovakia,SVK,2012,60,,74
Slovenia,SVN,2012,53,,65
Spain,ESP,2012,50,,65
Sweden,SWE,2012,80,,91
Switzerland,CHE,2012,,,
Turkey,TUR,2012,27,,38
United Kingdom,GBR,2012,73,,84
Austria,AUT,2013,63,3,77
Belgium,BEL,2013,68,4,80
Bosnia and Herzegovina,BIH,2013,,,
Bulgaria,BGR,2013,43,2,51
Croatia,HRV,2013,53,5,63
Cyprus,CYP,2013,53,3,62
Czechia,CZE,2013,54,3,70
Denmark,DNK,2013,84,6,91
Estonia,EST,2013,63,6,77
Finland,FIN,2013,80,15,89
France,FRA,2013,66,6,78
Germany,DEU,2013,69,4,80
Greece,GRC,2013,47,4,56
Hungary,HUN,2013,62,4,71
Iceland,ISL,2013,91,12,95
Ireland,IRL,2013,61,5,75
Italy,ITA,2013,54,4,56
Kosovo,XKX,2013,,,
Latvia,LVA,2013,60,3,71
Lithuania,LTU,2013,53,11,65
Luxembourg,LUX,2013,82,8,93
Malta,MLT,2013,59,5,67
Montenegro,MNE,2013,,,
Netherlands,NLD,2013,83,7,92
North Macedonia,MKD,2013,52,5,62
Norway,NOR,2013,85,10,93
Poland,POL,2013,47,,60
Portugal,PRT,2013,48,3,58
Romania,ROU,2013,32,4,45
Serbia,SRB,2013,,,
Slovakia,SVK,2013,61,4,74
Slovenia,SVN,2013,58,4,69
Spain,ESP,2013,54,9,66
Sweden,SWE,2013,81,6,92
Switzerland,CHE,2013,,,
Turkey,TUR,2013,30,4,40
United Kingdom,GBR,2013,78,10,87
Austria,AUT,2014,64,,77
Belgium,BEL,2014,71,,83
Bosnia and Herzegovina,BIH,2014,,,
Bulgaria,BGR,2014,46,,54
Croatia,HRV,2014,56,,65
Cyprus,CYP,2014,56,,65
Czechia,CZE,2014,60,,76
Denmark,DNK,2014,85,,92
Estonia,EST,2014,73,,82
Finland,FIN,2014,81,,90
France,FRA,2014,68,,80
Germany,DEU,2014,72,,82
Greece,GRC,2014,49,,59
Hungary,HUN,2014,66,,74
Iceland,ISL,2014,94,,97
Ireland,IRL,2014,65,,76
Italy,ITA,2014,58,,59
Kosovo,XKX,2014,,,
Latvia,LVA,2014,61,,72
Lithuania,LTU,2014,57,,69
Luxembourg,LUX,2014,87,,93
Malta,MLT,2014,63,,71
Montenegro,MNE,2014,,,
Netherlands,NLD,2014,84,,91
North Macedonia,MKD,2014,53,,65
Norway,NOR,2014,89,,95
Poland,POL,2014,51,,63
Portugal,PRT,2014,51,,61
Romania,ROU,2014,32,,48
Serbia,SRB,2014,,,
