Date,Symbols,Close,High,Low,Open,Volume
2020-12-31,AMZN,3256.93,3282.9219,3241.2,3275.0,2957206
2020-12-31,GOOGL,1752.64,1757.5,1736.09,1737.27,1053479
2020-12-31,FB,273.16,277.09,269.81,272.0,12900408
2020-12-31,PFE,35.735,35.842,35.23,35.589,31723035
2020-12-31,BNTX,81.52,85.5,80.55,83.38,2607147
2020-12-31,MRNA,104.47,113.55,102.66,110.55,23369872
2020-12-30,AMZN,3285.85,3342.1,3282.47,3341.0,3209310
2020-12-30,GOOGL,1736.25,1767.76,1728.0,1765.0,1051308
2020-12-30,FB,271.87,278.08,271.71,277.95,11803795
2020-12-30,PFE,35.667,36.153,35.628,35.948,25638663
2020-12-30,BNTX,83.94,90.89,83.0268,90.0,2941083
2020-12-30,MRNA,111.13,118.9408,108.8,118.4,23965535
2020-12-29,AMZN,3322.0,3350.65,3281.223,3309.94,4872933
2020-12-29,GOOGL,1757.76,1788.47,1755.11,1787.23,986287
2020-12-29,FB,276.78,280.51,276.28,276.95,16382995
2020-12-29,PFE,35.967,36.114,35.716,35.823,23848605
2020-12-29,BNTX,88.28,89.39,83.8525,84.45,3300440
2020-12-29,MRNA,114.39,116.25,106.88,107.7957,23718799
2020-12-28,AMZN,3283.96,3304.0,3172.69,3194.0,5686787
2020-12-28,GOOGL,1773.96,1787.0,1741.82,1744.91,1382537
2020-12-28,FB,277.0,277.3,265.66,268.74,23299707
2020-12-28,PFE,35.745,36.483,35.608,36.269,27805795
2020-12-28,BNTX,88.11,95.4,87.07,95.0,4698872
2020-12-28,MRNA,111.4,122.88,111.05,120.04,31088166
2020-12-24,AMZN,3172.69,3202.0,3169.0,3193.9,1451917
2020-12-24,GOOGL,1734.16,1742.41,1724.35,1729.0,465638
2020-12-24,FB,267.4,270.4,266.2,268.875,6702033
2020-12-24,PFE,36.181,36.473,36.094,36.308,15235100
2020-12-24,BNTX,96.96,99.89,96.64,98.5,1039109
2020-12-24,MRNA,123.39,129.7,122.7201,125.94,12720588
2020-12-23,AMZN,3185.27,3210.13,3184.17,3205.0,2093787
2020-12-23,GOOGL,1728.23,1744.11,1721.2,1723.93,1148684
2020-12-23,FB,268.11,272.1699,266.23,266.89,14329038
2020-12-23,PFE,36.347,36.551,35.803,35.93,37270531
2020-12-23,BNTX,100.06,100.5,95.0,97.12,3413982
2020-12-23,MRNA,130.34,132.0,115.0,120.05,41905043
2020-12-22,AMZN,3206.52,3222.0,3180.08,3202.8434,2381781
2020-12-22,GOOGL,1720.22,1732.6123,1705.78,1729.33,1018829
2020-12-22,FB,267.09,271.5,264.63,271.5,17334999
2020-12-22,PFE,35.667,36.24,35.536,36.124,35129925
