dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018
3/29/2020,29,3,2020,15,1,Afghanistan,AF,AFG,37172386
3/28/2020,28,3,2020,16,1,Afghanistan,AF,AFG,37172386
3/27/2020,27,3,2020,0,0,Afghanistan,AF,AFG,37172386
3/26/2020,26,3,2020,33,0,Afghanistan,AF,AFG,37172386
3/25/2020,25,3,2020,2,0,Afghanistan,AF,AFG,37172386
3/24/2020,24,3,2020,6,1,Afghanistan,AF,AFG,37172386
3/23/2020,23,3,2020,10,0,Afghanistan,AF,AFG,37172386
3/22/2020,22,3,2020,0,0,Afghanistan,AF,AFG,37172386
3/21/2020,21,3,2020,2,0,Afghanistan,AF,AFG,37172386
3/20/2020,20,3,2020,0,0,Afghanistan,AF,AFG,37172386
3/19/2020,19,3,2020,0,0,Afghanistan,AF,AFG,37172386
3/18/2020,18,3,2020,1,0,Afghanistan,AF,AFG,37172386
3/17/2020,17,3,2020,5,0,Afghanistan,AF,AFG,37172386
3/16/2020,16,3,2020,6,0,Afghanistan,AF,AFG,37172386
3/15/2020,15,3,2020,3,0,Afghanistan,AF,AFG,37172386
3/11/2020,11,3,2020,3,0,Afghanistan,AF,AFG,37172386
3/8/2020,8,3,2020,3,0,Afghanistan,AF,AFG,37172386
3/2/2020,2,3,2020,0,0,Afghanistan,AF,AFG,37172386
3/1/2020,1,3,2020,0,0,Afghanistan,AF,AFG,37172386
2/29/2020,29,2,2020,0,0,Afghanistan,AF,AFG,37172386
2/28/2020,28,2,2020,0,0,Afghanistan,AF,AFG,37172386
2/27/2020,27,2,2020,0,0,Afghanistan,AF,AFG,37172386
2/26/2020,26,2,2020,0,0,Afghanistan,AF,AFG,37172386
2/25/2020,25,2,2020,1,0,Afghanistan,AF,AFG,37172386
2/24/2020,24,2,2020,0,0,Afghanistan,AF,AFG,37172386
2/23/2020,23,2,2020,0,0,Afghanistan,AF,AFG,37172386
2/22/2020,22,2,2020,0,0,Afghanistan,AF,AFG,37172386
2/21/2020,21,2,2020,0,0,Afghanistan,AF,AFG,37172386
2/20/2020,20,2,2020,0,0,Afghanistan,AF,AFG,37172386
2/19/2020,19,2,2020,0,0,Afghanistan,AF,AFG,37172386
2/18/2020,18,2,2020,0,0,Afghanistan,AF,AFG,37172386
2/17/2020,17,2,2020,0,0,Afghanistan,AF,AFG,37172386
2/16/2020,16,2,2020,0,0,Afghanistan,AF,AFG,37172386
2/15/2020,15,2,2020,0,0,Afghanistan,AF,AFG,37172386
2/14/2020,14,2,2020,0,0,Afghanistan,AF,AFG,37172386
2/13/2020,13,2,2020,0,0,Afghanistan,AF,AFG,37172386
2/12/2020,12,2,2020,0,0,Afghanistan,AF,AFG,37172386
2/11/2020,11,2,2020,0,0,Afghanistan,AF,AFG,37172386
2/10/2020,10,2,2020,0,0,Afghanistan,AF,AFG,37172386
2/9/2020,9,2,2020,0,0,Afghanistan,AF,AFG,37172386
2/8/2020,8,2,2020,0,0,Afghanistan,AF,AFG,37172386
2/7/2020,7,2,2020,0,0,Afghanistan,AF,AFG,37172386
2/6/2020,6,2,2020,0,0,Afghanistan,AF,AFG,37172386
2/5/2020,5,2,2020,0,0,Afghanistan,AF,AFG,37172386
2/4/2020,4,2,2020,0,0,Afghanistan,AF,AFG,37172386
2/3/2020,3,2,2020,0,0,Afghanistan,AF,AFG,37172386
2/2/2020,2,2,2020,0,0,Afghanistan,AF,AFG,37172386
2/1/2020,1,2,2020,0,0,Afghanistan,AF,AFG,37172386
1/31/2020,31,1,2020,0,0,Afghanistan,AF,AFG,37172386
1/30/2020,30,1,2020,0,0,Afghanistan,AF,AFG,37172386
1/29/2020,29,1,2020,0,0,Afghanistan,AF,AFG,37172386
1/28/2020,28,1,2020,0,0,Afghanistan,AF,AFG,37172386
1/27/2020,27,1,2020,0,0,Afghanistan,AF,AFG,37172386
1/26/2020,26,1,2020,0,0,Afghanistan,AF,AFG,37172386
1/25/2020,25,1,2020,0,0,Afghanistan,AF,AFG,37172386
1/24/2020,24,1,2020,0,0,Afghanistan,AF,AFG,37172386
1/23/2020,23,1,2020,0,0,Afghanistan,AF,AFG,37172386
1/22/2020,22,1,2020,0,0,Afghanistan,AF,AFG,37172386
1/21/2020,21,1,2020,0,0,Afghanistan,AF,AFG,37172386
1/20/2020,20,1,2020,0,0,Afghanistan,AF,AFG,37172386
1/19/2020,19,1,2020,0,0,Afghanistan,AF,AFG,37172386
1/18/2020,18,1,2020,0,0,Afghanistan,AF,AFG,37172386
1/17/2020,17,1,2020,0,0,Afghanistan,AF,AFG,37172386
1/16/2020,16,1,2020,0,0,Afghanistan,AF,AFG,37172386
1/15/2020,15,1,2020,0,0,Afghanistan,AF,AFG,37172386
1/14/2020,14,1,2020,0,0,Afghanistan,AF,AFG,37172386
1/13/2020,13,1,2020,0,0,Afghanistan,AF,AFG,37172386
1/12/2020,12,1,2020,0,0,Afghanistan,AF,AFG,37172386
1/11/2020,11,1,2020,0,0,Afghanistan,AF,AFG,37172386
1/10/2020,10,1,2020,0,0,Afghanistan,AF,AFG,37172386
1/9/2020,9,1,2020,0,0,Afghanistan,AF,AFG,37172386
1/8/2020,8,1,2020,0,0,Afghanistan,AF,AFG,37172386
1/7/2020,7,1,2020,0,0,Afghanistan,AF,AFG,37172386
1/6/2020,6,1,2020,0,0,Afghanistan,AF,AFG,37172386
1/5/2020,5,1,2020,0,0,Afghanistan,AF,AFG,37172386
1/4/2020,4,1,2020,0,0,Afghanistan,AF,AFG,37172386
1/3/2020,3,1,2020,0,0,Afghanistan,AF,AFG,37172386
1/2/2020,2,1,2020,0,0,Afghanistan,AF,AFG,37172386
1/1/2020,1,1,2020,0,0,Afghanistan,AF,AFG,37172386
12/31/2019,31,12,2019,0,0,Afghanistan,AF,AFG,37172386
3/29/2020,29,3,2020,0,0,Angola,AO,AGO,30809762
3/28/2020,28,3,2020,1,0,Angola,AO,AGO,30809762
3/27/2020,27,3,2020,1,0,Angola,AO,AGO,30809762
3/26/2020,26,3,2020,0,0,Angola,AO,AGO,30809762
3/25/2020,25,3,2020,0,0,Angola,AO,AGO,30809762
3/24/2020,24,3,2020,0,0,Angola,AO,AGO,30809762
3/23/2020,23,3,2020,0,0,Angola,AO,AGO,30809762
3/22/2020,22,3,2020,2,0,Angola,AO,AGO,30809762
3/29/2020,29,3,2020,11,1,Albania,AL,ALB,2866376
3/28/2020,28,3,2020,12,3,Albania,AL,ALB,2866376
3/27/2020,27,3,2020,28,1,Albania,AL,ALB,2866376
3/26/2020,26,3,2020,23,0,Albania,AL,ALB,2866376
3/25/2020,25,3,2020,23,1,Albania,AL,ALB,2866376
3/24/2020,24,3,2020,11,2,Albania,AL,ALB,2866376
3/23/2020,23,3,2020,13,0,Albania,AL,ALB,2866376
3/22/2020,22,3,2020,6,0,Albania,AL,ALB,2866376
3/21/2020,21,3,2020,0,0,Albania,AL,ALB,2866376
3/20/2020,20,3,2020,11,0,Albania,AL,ALB,2866376
3/19/2020,19,3,2020,4,1,Albania,AL,ALB,2866376
3/18/2020,18,3,2020,4,0,Albania,AL,ALB,2866376
3/17/2020,17,3,2020,9,0,Albania,AL,ALB,2866376
3/16/2020,16,3,2020,4,0,Albania,AL,ALB,2866376
3/15/2020,15,3,2020,5,0,Albania,AL,ALB,2866376
3/14/2020,14,3,2020,10,0,Albania,AL,ALB,2866376
3/13/2020,13,3,2020,12,0,Albania,AL,ALB,2866376
3/12/2020,12,3,2020,1,1,Albania,AL,ALB,2866376
3/11/2020,11,3,2020,4,0,Albania,AL,ALB,2866376
3/10/2020,10,3,2020,4,0,Albania,AL,ALB,2866376
3/9/2020,9,3,2020,2,0,Albania,AL,ALB,2866376
3/29/2020,29,3,2020,41,1,Andorra,AD,AND,77006
3/28/2020,28,3,2020,43,0,Andorra,AD,AND,77006
3/27/2020,27,3,2020,36,3,Andorra,AD,AND,77006
3/26/2020,26,3,2020,24,0,Andorra,AD,AND,77006
3/25/2020,25,3,2020,31,0,Andorra,AD,AND,77006
3/24/2020,24,3,2020,20,0,Andorra,AD,AND,77006
3/23/2020,23,3,2020,25,0,Andorra,AD,AND,77006
3/22/2020,22,3,2020,13,0,Andorra,AD,AND,77006
3/21/2020,21,3,2020,0,0,Andorra,AD,AND,77006
3/20/2020,20,3,2020,22,0,Andorra,AD,AND,77006
3/19/2020,19,3,2020,39,0,Andorra,AD,AND,77006
3/18/2020,18,3,2020,0,0,Andorra,AD,AND,77006
3/17/2020,17,3,2020,9,0,Andorra,AD,AND,77006
3/16/2020,16,3,2020,3,0,Andorra,AD,AND,77006
3/14/2020,14,3,2020,1,0,Andorra,AD,AND,77006
3/3/2020,3,3,2020,1,0,Andorra,AD,AND,77006
3/29/2020,29,3,2020,0,0,Antigua_and_Barbuda,AG,ATG,96286
3/28/2020,28,3,2020,0,0,Antigua_and_Barbuda,AG,ATG,96286
3/27/2020,27,3,2020,4,0,Antigua_and_Barbuda,AG,ATG,96286
3/26/2020,26,3,2020,0,0,Antigua_and_Barbuda,AG,ATG,96286
3/25/2020,25,3,2020,2,0,Antigua_and_Barbuda,AG,ATG,96286
3/24/2020,24,3,2020,0,0,Antigua_and_Barbuda,AG,ATG,96286
3/23/2020,23,3,2020,0,0,Antigua_and_Barbuda,AG,ATG,96286
3/22/2020,22,3,2020,0,0,Antigua_and_Barbuda,AG,ATG,96286
3/21/2020,21,3,2020,0,0,Antigua_and_Barbuda,AG,ATG,96286
3/15/2020,15,3,2020,1,0,Antigua_and_Barbuda,AG,ATG,96286
3/29/2020,29,3,2020,104,5,Algeria,DZ,DZA,42228429
3/28/2020,28,3,2020,0,0,Algeria,DZ,DZA,42228429
3/27/2020,27,3,2020,41,4,Algeria,DZ,DZA,42228429
3/26/2020,26,3,2020,33,0,Algeria,DZ,DZA,42228429
3/25/2020,25,3,2020,42,0,Algeria,DZ,DZA,42228429
3/24/2020,24,3,2020,87,2,Algeria,DZ,DZA,42228429
3/23/2020,23,3,2020,8,5,Algeria,DZ,DZA,42228429
3/22/2020,22,3,2020,0,0,Algeria,DZ,DZA,42228429
3/21/2020,21,3,2020,12,3,Algeria,DZ,DZA,42228429
3/20/2020,20,3,2020,9,1,Algeria,DZ,DZA,42228429
3/19/2020,19,3,2020,13,1,Algeria,DZ,DZA,42228429
3/18/2020,18,3,2020,0,1,Algeria,DZ,DZA,42228429
3/17/2020,17,3,2020,12,0,Algeria,DZ,DZA,42228429
3/16/2020,16,3,2020,11,2,Algeria,DZ,DZA,42228429
3/15/2020,15,3,2020,11,0,Algeria,DZ,DZA,42228429
3/14/2020,14,3,2020,2,1,Algeria,DZ,DZA,42228429
3/13/2020,13,3,2020,4,1,Algeria,DZ,DZA,42228429
3/12/2020,12,3,2020,0,0,Algeria,DZ,DZA,42228429
3/9/2020,9,3,2020,3,0,Algeria,DZ,DZA,42228429
3/6/2020,6,3,2020,5,0,Algeria,DZ,DZA,42228429
3/5/2020,5,3,2020,7,0,Algeria,DZ,DZA,42228429
3/4/2020,4,3,2020,2,0,Algeria,DZ,DZA,42228429
3/2/2020,2,3,2020,2,0,Algeria,DZ,DZA,42228429
3/1/2020,1,3,2020,0,0,Algeria,DZ,DZA,42228429
2/29/2020,29,2,2020,0,0,Algeria,DZ,DZA,42228429
2/28/2020,28,2,2020,0,0,Algeria,DZ,DZA,42228429
2/27/2020,27,2,2020,0,0,Algeria,DZ,DZA,42228429
2/26/2020,26,2,2020,1,0,Algeria,DZ,DZA,42228429
2/25/2020,25,2,2020,0,0,Algeria,DZ,DZA,42228429
2/24/2020,24,2,2020,0,0,Algeria,DZ,DZA,42228429
2/23/2020,23,2,2020,0,0,Algeria,DZ,DZA,42228429
2/22/2020,22,2,2020,0,0,Algeria,DZ,DZA,42228429
2/21/2020,21,2,2020,0,0,Algeria,DZ,DZA,42228429
2/20/2020,20,2,2020,0,0,Algeria,DZ,DZA,42228429
