objectid,globalid,Seating Interest (Sidewalk/Roadway/Both),Restaurant Name,Legal Business Name,Doing Business As (DBA),Building Number,Street,Borough,Postcode,Business Address,Food Service Establishment Permit #,Sidewalk Dimensions (Length),Sidewalk Dimensions (Width),Sidewalk Dimensions (Area),Roadway Dimensions (Length),Roadway Dimensions (Width),Roadway Dimensions (Area),Approved for Sidewalk Seating,Approved for Roadway Seating,Qualify Alcohol,SLA Serial Number,SLA License Type,Landmark District or Building,landmarkDistrict_terms,healthCompliance_terms,Time of Submission,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
5900,{3B07E4C0-07B7-4079-8333-64446CC3EE03},sidewalk,Seasoned Vegan,"Seasoned Vegan, LLC","Seasoned Vegan, LLC",55,St. Nicholas Avenue,Manhattan,10026,"55 St. Nicholas Avenue, Manhattan, NY",50003337,47,3,141,,,,yes,no,yes,1289526,RW,no,,yes,06/26/2020 08:38:00 PM,40.8005,-73.952507,10,9,216,1054995,1018220052,Central Harlem South
13018,{137C575D-DC14-4F9D-83D9-A3FFE513B3B8},sidewalk,AMERICAS CAFE &amp; GRILL,68TH GRILL INC,AMERICAS CAFE &amp; GRILL,,1159 3 AVENUE,Manhattan,10065,"1159 3 AVENUE, Manhattan, NY",40797684,8,8,64,,,,yes,no,no,,,no,,yes,10/22/2021 11:01:00 AM,40.766845,-73.962708,8,4,118,1043896,1014220048,Lenox Hill-Roosevelt Island
11630,{15270732-2A78-4C24-89DD-BE8DD916F115},roadway,SUSHI SEKI,SEKI INC,SUSHI SEKI,undefined,208 WEST   23 STREET,Manhattan,10011,"208 WEST   23 STREET, Manhattan, NY",50005983,,,,44,8,352,no,yes,yes,Aug-82,OP,no,,yes,12/14/2020 07:54:00 PM,40.744338,-73.99624,4,3,91,1014129,1007720056,Hudson Yards-Chelsea-Flatiron-Union Square
7753,{AE2F76BE-D0EC-4D10-890F-B7AFBDB87188},both,Lucky Seven Restaurant & Bar LLC,Lucky Seven Restaurant & Bar LLC,Lucky Seven Tapas Bar,1455,St Nicholas Avenue,Manhattan,10033,"1455  St Nicholas Avenue, Manhattan, NY",41603214,115,12,1380,115,8,920,yes,yes,yes,Apr-17,OP,no,,yes,07/08/2020 03:58:00 PM,40.850323,-73.933011,12,10,271,1063948,1021650038,Washington Heights North
5010,{07AE4461-6BB3-499D-8332-4F2966E0514F},sidewalk,El Nuevo Carribeno,El Nuevo Carribeno Inc.,El Nuevo Carribeno Inc.,1675,Lexington Avenue,Manhattan,10029,"1675 Lexington Avenue , Manhattan, NY",50073215,36,11,396,,,,yes,no,yes,1308794,OP,yes,yes,yes,06/24/2020 04:02:00 PM,40.79167,-73.946688,11,8,172,1051992,1016330019,East Harlem South
10859,{1E0BA213-F8D5-43C5-8666-ABE1B2C6B8B8},roadway,LA BRUSCHETTA RESTAURANT,LA BRUSCHETTA RESTAURANT OF NY INC,LA BRUSCHETTA RESTAURANT,undefined,256 7 AVENUE,Brooklyn,11215,"256 7 AVENUE, Brooklyn, NY",40601006,,,,19,7,133,no,yes,no,,,no,,yes,09/04/2020 06:47:00 PM,40.669179,-73.979687,6,39,153,3021506,3009890042,Park Slope-Gowanus
9003,{F3816B9A-B215-49AE-88CC-CA5241815D36},roadway,Shabu Garden,20 west 33rd street corp.,Shabu Garden,24 w,33rd street,Manhattan,10001,"24 w 33rd street, Manhattan, NY",50092090,,,,22,8,176,no,yes,yes,Mar-35,OP,no,,yes,07/20/2020 06:12:00 PM,40.748213,-73.98612,5,4,76,1083633,1008347501,Midtown-Midtown South
11728,{3F492ECB-4A1C-4E15-814F-D1E8B541E6FC},roadway,QUALITY BISTRO,"FRENCH ONION SOUP, LLC",QUALITY BISTRO,undefined,1345 AVENUE OF THE AMERICAS,Manhattan,10105,"1345 AVENUE OF THE AMERICAS, Manhattan, NY",50092790,,,,100,8,800,no,yes,yes,Oct-05,OP,no,,yes,01/12/2021 09:33:00 AM,40.762605,-73.97846,5,4,137,1083719,1010070029,Midtown-Midtown South
4123,{DD3A12D6-2AFF-412F-866F-4F43151D1ED3},sidewalk,Talia's Restaurant Group LLC,Talia's Restaurant Group LLC,Talia's Steakhouse & Bar,668,Amsterdam Avenue,Manhattan,10025,"668 Amsterdam Avenue, Manhattan, NY",40978252,42,9,378,,,,yes,no,yes,1130867,OP,no,,yes,06/23/2020 01:10:00 AM,40.79186,-73.971979,7,6,179,1033614,1012400036,Upper West Side
10265,{55E1297F-3A71-4902-822C-69FB043C0B58},both,Asian Kabab and Curry,Asian Kabab and Curry Inc,Asian Kabab and Curry Inc,496,Crescent,Brooklyn,11208,"496 Crescent, Brooklyn, NY",50056793,20,3,60,20,3,60,yes,yes,no,,,no,,yes,08/14/2020 06:10:00 PM,,,,,,,,
3943,{53adaf70-4774-4db1-8d28-ef5d8167afca},both,KARIZMA LOUNGE CORP,KARIZMA LOUNGE CORP,KARIZMA LOUNGE CORP,244,EAST 51 STREET,Manhattan,10002,"244 EAST 51 STREET, Manhattan, NY",41636886,9,8,72,15,8,120,yes,yes,yes,1262705,OP,no,,yes,06/22/2020 05:55:00 PM,40.756005,-73.969276,6,4,98,1038462,1013240131,Turtle Bay-East Midtown
2128,{16497661-d42d-47ab-8f53-142b42631344},sidewalk,hudson bagel,narae food inc,hudson bagel,691,9 ave,Manhattan,10036,"691 9 ave , Manhattan, NY",50086520,20,15,300,,,,yes,no,no,,,no,,yes,06/20/2020 10:45:00 AM,40.761926,-73.990098,4,3,127,1026570,1010570033,Clinton
11305,{F31BFE5F-1E18-4705-86AE-4BF12358E3CF},roadway,KANA TAPAS BAR &amp; RESTAURANT,RIOMAR CORP.,KANA TAPAS BAR &amp; RESTAURANT,undefined,324 SPRING STREET,Manhattan,10013,"324 SPRING STREET, Manhattan, NY",40608746,,,,15,8,120,no,yes,yes,May-07,OP,no,,yes,10/11/2020 06:02:00 PM,40.726,-74.009301,2,3,37,1010345,1005950072,SoHo-TriBeCa-Civic Center-Little Italy
2124,{ab4011a3-9af6-4eca-8e91-6c7eee414af4},both,Olympia Wine Bar,54 Jay Street Partners LLC,Olympia Wine Bar,54,Jay Street,Brooklyn,11201,"54 Jay Street, Brooklyn, NY",41711468,10,5,50,15,8,120,yes,yes,yes,1266296,OP,yes,yes,yes,06/20/2020 10:36:00 AM,40.703265,-73.986648,2,33,21,3000032,3000300019,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
3483,{deec7c02-3488-4cd8-8018-55bda75282f1},both,Taszo,Taszo Coffee LLC,Taszo,5,Edward M Morgan Place,Manhattan,10032,"5 Edward M Morgan Place, Manhattan, NY",50000150,26,15,390,26,12,312,yes,yes,yes,1317571,OP,no,,yes,06/22/2020 12:27:00 PM,40.834534,-73.9454,12,7,241,1076745,1021340180,Washington Heights South
364,81ebafa7-26aa-49a6-87ca-e7e4bf285f4c,roadway,W's Bar and Restaurant LLC,W's Bar and Reataurant LLC,W's Bar and Reataurant LLC,7001 C,Amboy Road,Staten Island,10307,"7001 C  Amboy Road, Staten Island, NY",50080247,,,,70,24,1680,no,yes,yes,1043168,OP,no,,yes,06/19/2020 12:10:00 PM,40.51585,-74.233504,3,51,248,5088658,5080080014,Charleston-Richmond Valley-Tottenville
11377,{1C90E24D-1240-44EA-879C-3D726FAF8594},both,TACO MIX,EAT REAL TACOS LLC,TACO MIX,undefined,234 EAST  116 STREET,Manhattan,10029,"234 EAST  116 STREET, Manhattan, NY",50078527,25,16,400,25,8,200,yes,yes,no,,,no,,yes,10/22/2020 10:41:00 AM,40.79757,-73.939146,11,8,188,1052541,1016650034,East Harlem North
