mission,company,location,date,time,rocket,price,successful
CRS SpX-25,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",7/15/2022,0:44:00,Falcon 9 Block 5,12480000,TRUE
LARES 2 & Cubesats,ESA,"ELV-1, Guiana Space Centre, French Guiana, France",7/13/2022,13:13:00,Vega C,4470000,TRUE
Wise One Looks Ahead (NROL-162),Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",7/13/2022,6:30:00,Electron/Curie,9750000,TRUE
TROPICS Flight 1,Astra,"SLC-46, Cape Canaveral SFS, Florida, USA",7/12/2022,17:43:00,Rocket 3,3670000,FALSE
Starlink Group 3-1,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",7/11/2022,1:39:00,Falcon 9 Block 5,11590000,TRUE
Starlink Group 4-21,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",7/7/2022,13:11:00,Falcon 9 Block 5,2330000,FALSE
"DS-EO, NeuSAR, SCOOB-I & POEM",ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",6/30/2022,12:32:00,PSLV-CA,21050000,TRUE
SES-22,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",6/29/2022,21:04:00,Falcon 9 Block 5,16350000,TRUE
CAPSTONE,Rocket Lab,"Rocket Lab LC-1B, Māhia Peninsula, New Zealand",6/28/2022,9:55:00,Electron/Photon,3630000,TRUE
Measat-3d & GSAT-24,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",6/22/2022,21:50:00,Ariane 5 ECA,1020000,TRUE
Globalstar FM15 & USA 328 to 331,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",6/19/2022,4:27:00,Falcon 9 Block 5,24900000,TRUE
SARah 1,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",6/18/2022,14:19:00,Falcon 9 Block 5,19560000,TRUE
Starlink Group 4-19,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",6/17/2022,16:09:00,Falcon 9 Block 5,23140000,TRUE
Nilesat-301,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",6/8/2022,21:04:00,Falcon 9 Block 5,19220000,TRUE
Progress MS-20,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",6/3/2022,9:32:00,Soyuz 2.1a,12620000,TRUE
Transporter 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",5/25/2022,18:35:00,Falcon 9 Block 5,16680000,TRUE
Starlink Group 4-18,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",5/18/2022,10:59:00,Falcon 9 Block 5,2250000,TRUE
Starlink Group 4-15,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",5/14/2022,20:40:00,Falcon 9 Block 5,24470000,TRUE
Starlink Group 4-13,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",5/13/2022,22:07:00,Falcon 9 Block 5,20390000,TRUE
Starlink Group 4-17,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",5/6/2022,9:42:00,Falcon 9 Block 5,20100000,TRUE
There and Back Again,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",5/2/2022,22:49:00,Electron/Curie,1670000,TRUE
Starlink Group 4-16,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",4/29/2022,21:27:00,Falcon 9 Block 5,19830000,TRUE
SpaceX Crew-4,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",4/27/2022,7:52:00,Falcon 9 Block 5,5970000,TRUE
Starlink Group 4-14,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",4/21/2022,17:51:00,Falcon 9 Block 5,24270000,TRUE
NROL-85,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",4/17/2022,13:13:00,Falcon 9 Block 5,17380000,TRUE
Axiom Mission 1 (Ax-1),SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",4/8/2022,15:17:00,Falcon 9 Block 5,4600000,TRUE
Without Mission a Beat,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",4/2/2022,12:41:00,Electron/Curie,7880000,TRUE
Transporter 4,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",4/1/2022,16:24:00,Falcon 9 Block 5,15460000,TRUE
Starlink Group 4-12,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",3/19/2022,4:42:00,Falcon 9 Block 5,6980000,TRUE
Soyuz MS-21,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",3/18/2022,15:55:00,Soyuz 2.1a,18800000,TRUE
Spaceflight Astra-1,Astra,"LP-3B, Pacific Spaceport Complex, Kodiak, Alaska, USA",3/15/2022,4:22:00,Rocket 3,3260000,TRUE
Starlink Group 4-10,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",3/9/2022,13:45:00,Falcon 9 Block 5,22350000,TRUE
Starlink Group 4-9,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",3/3/2022,14:25:00,Falcon 9 Block 5,19790000,TRUE
The Owl’s Night Continues,Rocket Lab,"Rocket Lab LC-1B, Māhia Peninsula, New Zealand",2/28/2022,20:37:00,Electron/Curie,12100000,TRUE
Starlink Group 4-11,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2/25/2022,17:12:00,Falcon 9 Block 5,14730000,TRUE
Starlink Group 4-8,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2/21/2022,14:44:00,Falcon 9 Block 5,19300000,TRUE
CRS NG-17,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2/19/2022,17:40:00,Antares 230+,6660000,TRUE
Progress MS-19,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2/15/2022,4:25:00,Soyuz 2.1a,23190000,TRUE
EOS-04 & Others,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2/14/2022,0:29:00,PSLV-XL,20230000,TRUE
VCLS Demo-2A,Astra,"SLC-46, Cape Canaveral SFS, Florida, USA",2/10/2022,20:00:00,Rocket 3,4610000,FALSE
OneWeb #13,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2/10/2022,18:09:00,Soyuz ST-B/Fregat-MT,23790000,TRUE
Starlink Group 4-7,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2/3/2022,18:13:00,Falcon 9 Block 5,6780000,TRUE
NROL-87,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2/2/2022,20:27:00,Falcon 9 Block 5,2690000,TRUE
CSG-2,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",1/31/2022,23:11:00,Falcon 9 Block 5,4300000,TRUE
Starlink Group 4-6,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",1/19/2022,2:02:00,Falcon 9 Block 5,11260000,TRUE
Transporter 3,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",1/13/2022,15:25:00,Falcon 9 Block 5,23170000,TRUE
Starlink Group 4-5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",1/6/2022,21:49:00,Falcon 9 Block 5,12980000,TRUE
James Webb Space Telescope (JWST),Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",12/25/2021,12:20:00,Ariane 5 ECA,12120000,TRUE
CRS SpX-24,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",12/21/2021,10:07:00,Falcon 9 Block 5,18680000,TRUE
Türksat 5B,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",12/19/2021,3:58:00,Falcon 9 Block 5,11810000,TRUE
Starlink Group 4-4,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",12/18/2021,12:41:00,Falcon 9 Block 5,3050000,TRUE
Ekspress-AMU3 & AMU7,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",12/13/2021,12:07:00,Proton-M/Briz-M,7240000,FALSE
IXPE,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",12/9/2021,6:00:00,Falcon 9 Block 5,18290000,TRUE
A Data With Destiny,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",12/9/2021,0:02:00,Electron/Curie,9560000,TRUE
Soyuz MS-20 / Space Adventures,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",12/8/2021,7:38:00,Soyuz 2.1a,4900000,TRUE
Galileo FOC FM23-FM24,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",12/5/2021,0:19:00,Soyuz ST-B/Fregat-MT,17810000,TRUE
Starlink Group 4-3 & BlackSky,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",12/2/2021,23:12:00,Falcon 9 Block 5,2760000,TRUE
Progress M-UM Prichal,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",11/24/2021,13:06:00,Soyuz 2.1b,3430000,TRUE
DART,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",11/24/2021,6:21:00,Falcon 9 Block 5,5890000,TRUE
STP-27AD2,Astra,"LP-3B, Pacific Spaceport Complex, Kodiak, Alaska, USA",11/20/2021,6:16:00,Rocket 3,8540000,TRUE
Love At First Insight,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",11/18/2021,1:38:00,Electron/Curie,10550000,TRUE
"CERES 1, 2 & 3",Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France",11/16/2021,9:27:00,Vega,1480000,TRUE
Starlink Group 4-1,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",11/13/2021,12:19:00,Falcon 9 Block 5,1790000,TRUE
SpaceX Crew-3,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",11/11/2021,2:03:00,Falcon 9 Block 5,7360000,TRUE
Progress MS-18,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",10/28/2021,0:00:00,Soyuz 2.1a,18170000,TRUE
SES-17 & Syracuse-4A,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",10/24/2021,2:10:00,Ariane 5 ECA,15460000,TRUE
Soyuz MS-19,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",10/5/2021,8:55:00,Soyuz 2.1a,22510000,TRUE
Inspiration4,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",9/16/2021,0:02:00,Falcon 9 Block 5,20220000,TRUE
Starlink Group 2-1,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",9/14/2021,3:55:00,Falcon 9 Block 5,8730000,TRUE
CRS SpX-23,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",8/29/2021,7:14:00,Falcon 9 Block 5,15900000,TRUE
STP-27AD1,Astra,"LP-3B, Pacific Spaceport Complex, Kodiak, Alaska, USA",8/28/2021,22:35:00,Rocket 3,15510000,FALSE
"Pléiades-Néo 4, BRO-4 & Others",Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France",8/17/2021,1:47:00,Vega,17120000,TRUE
EOS-03,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",8/12/2021,0:13:00,GSLV Mk II,1930000,FALSE
CRS NG-16,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",8/10/2021,22:01:00,Antares 230+,10110000,TRUE
Eutelsat Quantum & Star One D2,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",7/30/2021,21:00:00,Ariane 5 ECA,23760000,TRUE
It’s a Little Chile Up Here,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",7/29/2021,6:00:00,Electron/Curie,4000000,TRUE
MLM-U Nauka,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",7/21/2021,14:58:00,Proton-M,5330000,TRUE
Transporter 2,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",6/30/2021,19:31:00,Falcon 9 Block 5,12950000,TRUE
Progress MS-17,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",6/29/2021,23:27:00,Soyuz 2.1a,12560000,TRUE
GPS III-5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",6/17/2021,16:09:00,Falcon 9 Block 5,13770000,TRUE
NROL-111,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",6/15/2021,13:35:00,Minotaur I,14560000,TRUE
Odyssey (TacRL-2),Northrop,"Stargazer, Vandenberg SFB, California, USA",6/13/2021,8:11:00,Pegasus XL,14680000,TRUE
SXM-8,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",6/6/2021,4:26:00,Falcon 9 Block 5,1540000,TRUE
CRS SpX-22,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",6/3/2021,17:29:00,Falcon 9 Block 5,20880000,TRUE
Starlink V1 L28,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",5/26/2021,18:59:00,Falcon 9 Block 5,3420000,TRUE
Starlink V1 L26 & Rideshares,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",5/15/2021,22:56:00,Falcon 9 Block 5,19340000,TRUE
Running Out of Toes,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",5/15/2021,11:11:00,Electron/Curie,4050000,FALSE
Starlink V1 L27,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",5/9/2021,6:42:00,Falcon 9 Block 5,16080000,TRUE
10-Kilometer Test Flight,SpaceX,"Suborbital Pad A, Starbase, Texas, USA",5/5/2021,22:25:00,Starship Prototype,8370000,TRUE
Starlink V1 L25,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",5/4/2021,19:01:00,Falcon 9 Block 5,11880000,TRUE
Starlink V1 L24,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",4/29/2021,3:44:00,Falcon 9 Block 5,15900000,TRUE
