"Year","District","Code","Location","Robbery","Street_robbery","Injury","Agg_assault","Threat","Theft","Car","From_car","Bike","Burglary","Fire","Arson","Damage","Graffiti","Drugs","Local"
2012,"Mitte",10111,"Tiergarten Süd",70,46,586,194,118,2263,18,328,120,68,16,4,273,26,171,1032
2012,"Mitte",10112,"Regierungsviertel",65,29,474,123,142,3203,10,307,170,37,10,4,380,124,98,870
2012,"Mitte",10113,"Alexanderplatz",242,136,1541,454,304,8988,81,792,822,275,49,27,1538,522,435,3108
2012,"Mitte",10114,"Brunnenstraße Süd",52,25,254,60,66,1916,86,192,396,131,14,5,428,122,213,752
2012,"Mitte",10221,"Moabit West",130,51,629,185,199,2470,94,410,325,161,42,22,516,64,259,1403
2012,"Mitte",10222,"Moabit Ost",89,45,549,147,204,2290,63,353,337,90,33,10,392,52,416,1212
2012,"Mitte",10331,"Osloer Straße",120,46,785,223,267,3666,52,429,280,226,40,18,521,72,246,1699
2012,"Mitte",10332,"Brunnenstraße Nord",145,71,675,192,191,2928,76,473,218,252,36,7,495,72,162,1532
2012,"Mitte",10441,"Parkviertel",109,48,783,211,318,2879,77,564,365,157,55,20,568,65,244,1794
2012,"Mitte",10442,"Wedding Zentrum",216,104,1210,426,384,3396,57,424,294,298,54,23,806,87,570,2556
2012,"Mitte",19900,"Bezirk (Mi), nicht zuzuordnen",15,9,435,147,49,2487,6,45,31,0,5,0,263,140,35,587
2012,"Friedrichshain-Kreuzberg",20101,"Südliche Friedrichstadt",138,71,723,222,263,2928,52,500,321,219,46,13,700,102,351,1784
2012,"Friedrichshain-Kreuzberg",20202,"Tempelhofer Vorstadt",180,88,932,274,241,5170,90,595,913,390,58,21,915,194,397,2271
2012,"Friedrichshain-Kreuzberg",20303,"nördliche Luisenstadt",112,70,504,153,126,2330,24,186,311,115,31,10,456,82,168,1115
2012,"Friedrichshain-Kreuzberg",20304,"südliche Luisenstadt",109,82,395,138,101,1932,35,226,347,150,27,11,441,129,423,963
2012,"Friedrichshain-Kreuzberg",20405,"Karl-Marx-Allee-Nord",58,34,235,61,55,1242,71,206,185,56,15,5,356,46,23,625
2012,"Friedrichshain-Kreuzberg",20407,"Karl-Marx-Allee-Süd",86,57,471,123,105,2725,46,242,299,59,22,7,537,87,167,1040
2012,"Friedrichshain-Kreuzberg",20506,"Frankfurter Allee Nord",34,16,265,83,80,1528,55,117,286,59,48,15,534,84,50,824
2012,"Friedrichshain-Kreuzberg",20508,"Frankfurter Allee Süd FK",140,80,865,276,159,3588,62,291,616,166,67,22,1171,272,256,2086
2012,"Friedrichshain-Kreuzberg",29900,"Bezirk (Fh-Kb), nicht zuzuordnen",11,6,223,53,23,607,1,17,7,0,0,1,389,315,18,293
2012,"Pankow",30101,"Buch",16,6,154,45,48,1035,32,190,199,21,18,6,191,35,31,323
2012,"Pankow",30202,"Blankenfelde/Niederschönhausen",12,4,136,27,54,782,37,179,148,69,26,14,215,31,11,337
2012,"Pankow",30203,"Buchholz",9,3,71,13,38,456,21,69,56,38,10,1,114,7,16,182
2012,"Pankow",30304,"Karow",3,1,44,6,32,481,11,85,183,19,10,6,118,24,4,151
2012,"Pankow",30307,"Blankenburg/Heinersdorf/Märchenland",7,1,74,9,21,898,14,160,149,55,12,4,154,9,16,161
2012,"Pankow",30405,"Schönholz/Wilhelmsruh/Rosenthal",23,10,79,24,26,599,17,138,111,82,7,1,143,19,20,229
2012,"Pankow",30406,"Pankow Zentrum",33,11,212,62,83,2089,60,220,511,61,13,5,382,101,35,811
2012,"Pankow",30408,"Pankow Süd",21,9,204,35,67,1235,56,170,388,50,10,7,298,78,24,616
2012,"Pankow",30509,"Weißensee",34,15,308,78,99,1537,46,192,219,93,18,11,486,152,54,838
2012,"Pankow",30510,"Weißensee Ost",20,8,103,23,50,610,20,105,74,23,4,1,205,32,18,334
2012,"Pankow",30611,"Prenzlauer Berg Nordwest",80,32,228,68,83,1716,95,176,406,78,19,8,339,113,85,766
2012,"Pankow",30612,"Prenzlauer Berg Nord",30,10,159,33,60,1870,86,146,407,67,5,0,282,75,33,582
2012,"Pankow",30613,"Helmholtzplatz",23,6,189,47,52,1215,41,74,283,99,9,3,261,100,29,614
2012,"Pankow",30614,"Prenzlauer Berg Ost",60,28,240,72,79,2063,57,216,289,61,19,9,439,131,51,714
2012,"Pankow",30715,"Prenzlauer Berg Südwest",18,12,344,92,71,2016,52,223,381,149,10,2,536,192,34,996
2012,"Pankow",30716,"Prenzlauer Berg Süd",16,6,166,30,81,1393,116,186,326,127,15,4,409,84,53,672
2012,"Pankow",39900,"Bezirk (Pk), nicht zuzuordnen",5,4,79,23,19,315,9,24,9,0,2,1,150,111,8,115
2012,"Charlottenburg-Wilmersdorf",40101,"Charlottenburg-Nord",41,14,278,73,129,1006,70,304,60,99,9,2,245,5,159,740
2012,"Charlottenburg-Wilmersdorf",40202,"Heerstrasse",21,9,213,93,36,579,37,155,58,51,7,2,141,36,31,353
2012,"Charlottenburg-Wilmersdorf",40203,"Westend",40,12,207,48,117,1974,57,282,170,112,7,2,317,36,38,662
2012,"Charlottenburg-Wilmersdorf",40304,"Schloß Charlottenburg",41,12,243,55,90,1140,31,133,288,88,9,3,231,23,44,616
2012,"Charlottenburg-Wilmersdorf",40305,"Mierendorffplatz",32,12,165,46,61,893,31,211,148,38,12,5,150,18,111,413
2012,"Charlottenburg-Wilmersdorf",40306,"Otto-Suhr-Allee",53,15,421,113,128,2273,37,292,429,113,15,6,436,95,112,952
