Date and Time of initial call,Date and time of Ranger response,Borough,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
11/9/2018 9:00,11/9/2018 10:15,Brooklyn,Bushwick Inlet,Bushwick Inlet Park,Chinese Silky Chicken,Employee,Exotic,Healthy,1.25,Adult,Birds,1-1-1642034010,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,46854
11/30/2018 11:00,11/30/2018 13:45,Manhattan,Inwood Hill Park,M & O HQ District 12,Chicken,Employee,Domestic,Healthy,1,Adult,Birds,1-1-1647471950,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,48438
11/10/2018 15:00,11/10/2018 15:10,Manhattan,Inwood Hill Park,Dykman Ball Fields,Chicken,Employee,Domestic,Healthy,1.5,Adult,Birds,1-1-1642034151,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,46961
9/4/2018 14:30,9/4/2018 15:50,Staten Island,Ocean Breeze Track & Field Athletic Complex,Father Capodanno and Seaview,Rock Dove,Employee,Native,Healthy,2.5,Adult,Birds,1-1-1613258011,Animal Care Center,1,TRUE,FALSE,,,FALSE,FALSE,40608
6/9/2019 9:30,6/9/2019 10:00,Brooklyn,Parade Ground,Prospect Park Parade Grounds near Tennis Center,Chicken,Central,Domestic,Healthy,3,Adult,Domestic,1-1-1730643971,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,65352
1/6/2019 14:30,1/6/2019 14:40,Brooklyn,Van Dyke Playground,Handball court fence,Cat,Public,Domestic,Healthy,1,Adult,Domestic,1-1-1666257767,Animal Care Center,1,FALSE,FALSE,,,TRUE,FALSE,52003
1/1/2019 11:00,1/1/2019 11:00,Brooklyn,Marine Park,Nature Center Driveway,Chicken,Public,Domestic,Healthy,1,Adult,Domestic,1-1-1664216971,Animal Care Center,3,FALSE,FALSE,,,FALSE,FALSE,"51650, 51652, 51653"
12/16/2018 9:20,12/16/2018 9:45,Brooklyn,Marcy Playground,Bleachers near ballfields along Myrtle Avenue.,Cat,Central,Domestic,Healthy,1.5,Adult,Domestic,1-1-1658260357,Animal Care Center,2,FALSE,FALSE,,,FALSE,FALSE,"50616, 50617"
11/8/2018 13:30,11/8/2018 13:45,Brooklyn,Prospect Park,Prospect Park Audubon Center,Rabbit,"Conservancies/""Friends of"" Groups",Domestic,Healthy,0.5,Adult,Domestic,,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,46780
9/26/2018 13:13,9/26/2018 14:51,Brooklyn,Jacob Joffe Fields,By the playground,Chicken,Public,Domestic,Healthy,1.5,Adult,Domestic,,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,42611
7/30/2018 9:00,7/30/2018 10:30,Brooklyn,Fort Greene Park,"North East corner of park, near corner of Myrtle and St. Edwards",Cat,Employee,Domestic,Healthy,2,Adult,Domestic,1-1-1596491810,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,43984
8/26/2018 12:30,8/26/2018 12:45,Manhattan,Central Park,Conservatory Garden 105th St. and 5th Ave.,Dog,Employee,Domestic,Healthy,0.75,Adult,Domestic,1-1-1606769440,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,39503
4/14/2019 12:25,4/14/2019 12:25,Queens,Highland Park,Near entrance to path through Basin 2,Cockatiel,Observed by Ranger,Domestic,Healthy,1.75,Adult,Domestic,1-1-1703221094,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,59971
4/8/2019 13:15,4/8/2019 13:17,Queens,Rockaway Beach 48 Street,On the sand in the plover site,Dog,Employee,Domestic,Healthy,2.25,Adult,Domestic,1-1-1-705059331,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,76392
3/26/2019 12:00,3/26/2019 13:00,Queens,Roy Wilkins Recreation Center,Vicinity of Roy Wilkins Rec Ctr,Dog,Employee,Domestic,Healthy,2.5,Adult,Domestic,1-1-1694760721,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,58241
2/28/2019 9:05,2/28/2019 9:05,Queens,Park Of The Americas,41st Ave and 104th St,Dog,Central,Domestic,Healthy,1.25,Adult,Domestic,1-1-1688121140,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,55941
