name_location,website,boro,address_area,latitude,longitude,type,color,hov_txt
Mary Mitchell Center ,http://themarymitchellfyc.org/,Bronx,"2007 Mapes Ave, Bronx 10460",40.844772,-73.887226,compost,#ff00ff,"compost<br>Name: Mary Mitchell Center <br>Address: 2007 Mapes Ave, Bronx 10460"
Bronx Borough Hall Greenmarket,http://www.grownyc.org/compost/locations,Bronx,"Grand Concourse and 161 St, Bronx, NY, 10451",40.8269197,-73.9225039,compost,#ff00ff,"compost<br>Name: Bronx Borough Hall Greenmarket<br>Address: Grand Concourse and 161 St, Bronx, NY, 10451"
Compost drop off BronxWorks ,http://www.grownyc.org/compost/locations,Bronx,1130 Grand Concourse,40.8326398,-73.9187735,compost,#ff00ff,compost<br>Name: Compost drop off BronxWorks <br>Address: 1130 Grand Concourse
"Learn it, Grow it, Eat it Youthmarket",http://www.grownyc.org/compost/locations,Bronx,McKinley Sq. at 169th St. & Boston Road,40.8312021,-73.9004133,compost,#ff00ff,"compost<br>Name: Learn it, Grow it, Eat it Youthmarket<br>Address: McKinley Sq. at 169th St. & Boston Road"
Parkchester Greenmarket,http://www.grownyc.org/compost/locations,Bronx,"White Plains Rd & Westchester Ave, Bronx, NY 10472",40.833022,-73.8627284,compost,#ff00ff,"compost<br>Name: Parkchester Greenmarket<br>Address: White Plains Rd & Westchester Ave, Bronx, NY 10472"
Poe Park Greenmarket,http://www.grownyc.org/compost/locations,Bronx,"E. 192 St. btwn Grand Concourse and Valentine, Bronx, NY, 10468",40.8641072,-73.8950656,compost,#ff00ff,"compost<br>Name: Poe Park Greenmarket<br>Address: E. 192 St. btwn Grand Concourse and Valentine, Bronx, NY, 10468"
Compost drop off Lehman College,http://www.lehman.edu/administration/sustainability/food-scrap-drop-off.php,Bronx,Lehman Quad near Shuster Hall,40.8745635,-73.8916183,compost,#ff00ff,compost<br>Name: Compost drop off Lehman College<br>Address: Lehman Quad near Shuster Hall
Compost drop off 170 Farmstand,https://newsettlement.org/food/170farmstand/,Bronx,Townsend Ave & 170 St,40.839961,-73.916663,compost,#ff00ff,compost<br>Name: Compost drop off 170 Farmstand<br>Address: Townsend Ave & 170 St
Kelly Street Garden,https://www.facebook.com/kellyst.garden/,Bronx,924 Kelly Street,40.820403,-73.895686,compost,#ff00ff,compost<br>Name: Kelly Street Garden<br>Address: 924 Kelly Street
Project H.O.P.E. Fresh Food Box,https://www.grownyc.org/compost/locations,Bronx,854 Hunts Point Ave,40.818032,-73.888644,compost,#ff00ff,compost<br>Name: Project H.O.P.E. Fresh Food Box<br>Address: 854 Hunts Point Ave
Compost drop off We Stay-Nos Quedamos ,https://www.grownyc.org/compost/locations,Bronx,754 Melrose Avenue,40.82127,-73.91537,compost,#ff00ff,compost<br>Name: Compost drop off We Stay-Nos Quedamos <br>Address: 754 Melrose Avenue
La Familia Verde Farmer's Market,https://www.grownyc.org/compost/locations; http://www.lafamiliaverde.org/,Bronx,"E Tremont Ave, between Lafontaine and Arthur Aves, Bronx 10457",40.846452,-73.894096,compost,#ff00ff,"compost<br>Name: La Familia Verde Farmer's Market<br>Address: E Tremont Ave, between Lafontaine and Arthur Aves, Bronx 10457"
Compost drop off Burnside Ave,https://www.grownyc.org/compost-go,Bronx,"Burnside Ave, Jerome Ave - SW Corner",40.8534,-73.9077,compost,#ff00ff,"compost<br>Name: Compost drop off Burnside Ave<br>Address: Burnside Ave, Jerome Ave - SW Corner"
Compost on-the-go,https://www.grownyc.org/compost-go,Bronx,"138th, Brook Ave - NW Corner",40.80766,-73.9193,compost,#ff00ff,"compost<br>Name: Compost on-the-go<br>Address: 138th, Brook Ave - NW Corner"
Compost on-the-go,https://www.grownyc.org/compost-go,Bronx,"149th St, Melrose, & 3rd Ave - N Corner",40.81622,-73.9176,compost,#ff00ff,"compost<br>Name: Compost on-the-go<br>Address: 149th St, Melrose, & 3rd Ave - N Corner"
Compost on-the-go,https://www.grownyc.org/compost-go,Bronx,"161st, River Ave - NE Corner",40.82805,-73.9257,compost,#ff00ff,"compost<br>Name: Compost on-the-go<br>Address: 161st, River Ave - NE Corner"
Compost on-the-go,https://www.grownyc.org/compost-go,Bronx,"Grand Concourse, 149th Street - SE Corner",40.81844,-73.9272,compost,#ff00ff,"compost<br>Name: Compost on-the-go<br>Address: Grand Concourse, 149th Street - SE Corner"
Compost drop off Fordham Road,https://www.grownyc.org/compost-go,Bronx,E Fordham Road & Jerome Ave - SE Corner,40.862707,-73.901042,compost,#ff00ff,compost<br>Name: Compost drop off Fordham Road<br>Address: E Fordham Road & Jerome Ave - SE Corner
Fordham Plaza Greenmarket,https://www.grownyc.org/greenmarket/bronx/fordham,Bronx,E Fordham Rd btw Webster Ave & Third Ave - S,40.86115,-73.8908,compost,#ff00ff,compost<br>Name: Fordham Plaza Greenmarket<br>Address: E Fordham Rd btw Webster Ave & Third Ave - S
Bainbridge Avenue Community Garden,,Bronx,"2980 Bainbridge Avenue, Bronx, NY 10458",40.87094,-73.883947,compost,#ff00ff,"compost<br>Name: Bainbridge Avenue Community Garden<br>Address: 2980 Bainbridge Avenue, Bronx, NY 10458"
