Entity,Code,Year,Annual number of AI systems by domain
Biology,,1950,0
Biology,,1952,0
Biology,,1954,0
Biology,,1955,0
Biology,,1956,0
Biology,,1957,0
Biology,,1959,0
Biology,,1960,0
Biology,,1961,0
Biology,,1962,0
Biology,,1968,0
Biology,,1970,0
Biology,,1974,0
Biology,,1975,0
Biology,,1977,0
Biology,,1979,0
Biology,,1980,0
Biology,,1981,0
Biology,,1982,0
Biology,,1983,0
Biology,,1984,0
Biology,,1986,0
Biology,,1987,0
Biology,,1988,0
Biology,,1989,0
Biology,,1990,0
Biology,,1991,0
Biology,,1992,0
Biology,,1993,0
Biology,,1994,0
Biology,,1995,0
Biology,,1996,0
Biology,,1997,0
Biology,,1998,0
Biology,,1999,0
Biology,,2000,0
Biology,,2001,0
Biology,,2002,0
Biology,,2003,0
Biology,,2004,0
Biology,,2005,1
Biology,,2006,0
Biology,,2007,0
Biology,,2008,0
Biology,,2009,0
Biology,,2010,0
Biology,,2011,0
Biology,,2012,0
Biology,,2013,0
Biology,,2014,0
Biology,,2015,0
Biology,,2016,1
Biology,,2017,0
Biology,,2018,0
Biology,,2019,1
Biology,,2020,4
Biology,,2021,8
Biology,,2022,10
Biology,,2023,9
Games,,1950,0
Games,,1952,0
Games,,1954,0
Games,,1955,0
Games,,1956,0
Games,,1957,0
Games,,1959,1
Games,,1960,0
Games,,1961,0
Games,,1962,0
Games,,1968,2
Games,,1970,0
Games,,1974,0
Games,,1975,0
Games,,1977,0
Games,,1979,0
Games,,1980,0
Games,,1981,0
Games,,1982,0
Games,,1983,1
Games,,1984,0
Games,,1986,0
Games,,1987,0
Games,,1988,0
Games,,1989,0
Games,,1990,0
Games,,1991,0
Games,,1992,1
Games,,1993,0
Games,,1994,0
Games,,1995,0
Games,,1996,0
Games,,1997,0
Games,,1998,0
Games,,1999,0
Games,,2000,0
Games,,2001,0
Games,,2002,0
Games,,2003,0
Games,,2004,0
Games,,2005,0
Games,,2006,0
Games,,2007,0
Games,,2008,0
Games,,2009,0
Games,,2010,0
Games,,2011,0
Games,,2012,0
Games,,2013,1
Games,,2014,2
Games,,2015,3
Games,,2016,2
