Program,Year,Period,State,ANSI,Affected by,Pct of Colonies Impacted,state_code
SURVEY,2019,JAN THRU MAR,Alabama,1,Disease,1.8,AL
SURVEY,2019,JAN THRU MAR,Alabama,1,Other,3.1,AL
SURVEY,2019,JAN THRU MAR,Alabama,1,Pesticides,0.3,AL
SURVEY,2019,JAN THRU MAR,Alabama,1,Pests_excl_Varroa,22.7,AL
SURVEY,2019,JAN THRU MAR,Alabama,1,Unknown,9,AL
SURVEY,2019,JAN THRU MAR,Alabama,1,Varroa_mites,27.2,AL
SURVEY,2018,JAN THRU MAR,Alabama,1,Disease,1.9,AL
SURVEY,2018,JAN THRU MAR,Alabama,1,Other,8.6,AL
SURVEY,2018,JAN THRU MAR,Alabama,1,Pesticides,14.9,AL
SURVEY,2018,JAN THRU MAR,Alabama,1,Pests_excl_Varroa,30.2,AL
SURVEY,2018,JAN THRU MAR,Alabama,1,Unknown,4.5,AL
SURVEY,2018,JAN THRU MAR,Alabama,1,Varroa_mites,29.2,AL
SURVEY,2018,APR THRU JUN,Alabama,1,Disease,1.3,AL
SURVEY,2018,APR THRU JUN,Alabama,1,Other,9.4,AL
SURVEY,2018,APR THRU JUN,Alabama,1,Pesticides,14.4,AL
SURVEY,2018,APR THRU JUN,Alabama,1,Pests_excl_Varroa,27.3,AL
SURVEY,2018,APR THRU JUN,Alabama,1,Unknown,2.1,AL
SURVEY,2018,APR THRU JUN,Alabama,1,Varroa_mites,25.2,AL
SURVEY,2018,JUL THRU SEP,Alabama,1,Disease,0.7,AL
SURVEY,2018,JUL THRU SEP,Alabama,1,Other,7.8,AL
SURVEY,2018,JUL THRU SEP,Alabama,1,Pesticides,14.6,AL
SURVEY,2018,JUL THRU SEP,Alabama,1,Pests_excl_Varroa,69.4,AL
SURVEY,2018,JUL THRU SEP,Alabama,1,Unknown,6.8,AL
SURVEY,2018,JUL THRU SEP,Alabama,1,Varroa_mites,77.5,AL
SURVEY,2018,OCT THRU DEC,Alabama,1,Disease,1.3,AL
SURVEY,2018,OCT THRU DEC,Alabama,1,Other,3.4,AL
SURVEY,2018,OCT THRU DEC,Alabama,1,Pesticides,1.5,AL
SURVEY,2018,OCT THRU DEC,Alabama,1,Pests_excl_Varroa,20.5,AL
SURVEY,2018,OCT THRU DEC,Alabama,1,Unknown,7.5,AL
SURVEY,2018,OCT THRU DEC,Alabama,1,Varroa_mites,20.6,AL
SURVEY,2017,JAN THRU MAR,Alabama,1,Disease,0.2,AL
SURVEY,2017,JAN THRU MAR,Alabama,1,Other,6.7,AL
SURVEY,2017,JAN THRU MAR,Alabama,1,Pesticides,3.2,AL
SURVEY,2017,JAN THRU MAR,Alabama,1,Pests_excl_Varroa,9.8,AL
SURVEY,2017,JAN THRU MAR,Alabama,1,Unknown,9.3,AL
SURVEY,2017,JAN THRU MAR,Alabama,1,Varroa_mites,19.9,AL
SURVEY,2017,APR THRU JUN,Alabama,1,Disease,0,AL
SURVEY,2017,APR THRU JUN,Alabama,1,Other,9.4,AL
SURVEY,2017,APR THRU JUN,Alabama,1,Pesticides,4.2,AL
SURVEY,2017,APR THRU JUN,Alabama,1,Pests_excl_Varroa,13.6,AL
SURVEY,2017,APR THRU JUN,Alabama,1,Unknown,5.3,AL
SURVEY,2017,APR THRU JUN,Alabama,1,Varroa_mites,17.9,AL
SURVEY,2017,JUL THRU SEP,Alabama,1,Disease,0,AL
SURVEY,2017,JUL THRU SEP,Alabama,1,Other,7.5,AL
SURVEY,2017,JUL THRU SEP,Alabama,1,Pesticides,35.4,AL
SURVEY,2017,JUL THRU SEP,Alabama,1,Pests_excl_Varroa,22.1,AL
SURVEY,2017,JUL THRU SEP,Alabama,1,Unknown,3.9,AL
SURVEY,2017,JUL THRU SEP,Alabama,1,Varroa_mites,69.5,AL
SURVEY,2017,OCT THRU DEC,Alabama,1,Disease,8.8,AL
SURVEY,2017,OCT THRU DEC,Alabama,1,Other,1.7,AL
SURVEY,2017,OCT THRU DEC,Alabama,1,Pesticides,9.5,AL
SURVEY,2017,OCT THRU DEC,Alabama,1,Pests_excl_Varroa,10.1,AL
SURVEY,2017,OCT THRU DEC,Alabama,1,Unknown,5.2,AL
SURVEY,2017,OCT THRU DEC,Alabama,1,Varroa_mites,22.3,AL
