id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22610532,No disponible,155443398,Luis,,Benito Juárez,19.36556,-99.15626,Private room,49991,2,0,,,4,0
30043309,Rombo IV,207171317,Casa,,Miguel Hidalgo,19.40059,-99.25531,Entire home/apt,47792,2,0,,,1,364
32946121,BALENCIAGA at LOMAS,21661414,Jorge,,Miguel Hidalgo,19.42126,-99.20434,Entire home/apt,39993,1,0,,,1,365
23100799,Historical Palace in Centro,103716258,César Y Carolina,,Cuauhtémoc,19.4334,-99.13256,Entire home/apt,36705,1,1,3/23/2019,0.32,1,285
29333380,DEPARTAMENTO SEMI AMUEBLADO 222 TORRE 1,220979508,Victor,,Cuauhtémoc,19.429,-99.16136,Entire home/apt,35003,29,0,,,1,364
29258852,Polanco Deluxe,210139395,Paulette,,Miguel Hidalgo,19.43548,-99.18621,Entire home/apt,34411,2,14,5/27/2019,1.76,3,171
21471248,"New, Private and Fully Equipped Centrical Apt 1",29942496,Felipe,,Miguel Hidalgo,19.39586,-99.24048,Entire home/apt,32537,2,24,6/21/2019,1.19,6,340
32156446,Se renta departamento con amenidades,241225512,Alfredo,,Benito Juárez,19.37648,-99.15854,Entire home/apt,29000,1,0,,,1,365
21577118,Cozy Centrical fully Equipped  one Bedroom Apt 3,29942496,Felipe,,Miguel Hidalgo,19.394,-99.23923,Entire home/apt,28943,2,18,2/11/2019,1.14,6,252
10261077,Charming 1900's House for Events,5974590,Chris,,Cuauhtémoc,19.40176,-99.16663,Entire home/apt,28675,1,2,5/28/2017,0.06,16,364
15423429,Habitación con excelente paisaje,98850558,Tania Anahi,,Iztapalapa,19.37241,-99.07494,Private room,28675,5,0,,,1,365
17980798,Excelente ubicación WTC,73623367,Hector,,Benito Juárez,19.39607,-99.17516,Private room,28675,1,0,,,2,365
25225454,An amazing place to gather in the heart of Mexico,179081031,Julian,,Coyoacán,19.34096,-99.16598,Private room,28675,1,1,2/23/2019,0.25,6,89
26304957,Suite las aguilas,180372174,Victor,,Álvaro Obregón,19.34228,-99.24865,Shared room,28675,1,0,,,1,178
15075511,Polanco Group Stays | from 6 to 12 pax,10764020,Kike,,Miguel Hidalgo,19.42982,-99.19179,Entire home/apt,26764,1,0,,,44,351
5152753,Charming apt near w hotel Mexico,21751095,Logan,,Miguel Hidalgo,19.4337,-99.19181,Entire home/apt,25005,6,10,9/20/2015,0.19,1,365
31392401,Departamento en renta AMORES,235129694,Emiliana,,Benito Juárez,19.3972,-99.162,Entire home/apt,25005,1,0,,,1,365
958470,Studio with Bath in Etiopia,5215017,Javier,,Benito Juárez,19.39332,-99.16233,Shared room,24298,1,0,,,1,365
6871835,WTC México Napoles.,36014559,Jorge,,Benito Juárez,19.39443,-99.17394,Entire home/apt,23973,1,40,6/22/2017,0.82,1,114
35711916,El Patio 77 Boutique B&B,87973,Diego,,Cuauhtémoc,19.44246,-99.16373,Private room,22998,1,0,,,9,300
18021063,cuarto tranquilo en el sur del DF,69092379,Eduardo Froylan,,Xochimilco,19.28494,-99.10893,Private room,22940,1,0,,,1,365
22901028,Large groups (from 8 to 40 guests) at Condesa.,61276494,Caste,,Cuauhtémoc,19.4147,-99.17995,Entire home/apt,22940,3,0,,,7,282
19751363,Precioso departamento en la Roma Norte,38931744,Sergio,,Cuauhtémoc,19.42011,-99.16347,Entire home/apt,21870,2,45,4/20/2019,2.88,1,172
24173793,Casa Teo by Enrique Olvera,176268926,CASA TEO By Enrique Olvera,,Miguel Hidalgo,19.43459,-99.18628,Entire home/apt,21793,3,16,5/26/2019,1.57,3,58
22087718,"Luxurious & New Penthouse 9,200 ft2 Best location",161352023,Jennifer,,Miguel Hidalgo,19.43563,-99.19459,Entire home/apt,21392,2,0,,,2,360
28034464,12 habitaciones en una bella casa con jardines,70937648,Victor,,Cuauhtémoc,19.44915,-99.16132,Entire home/apt,19996,1,0,,,16,198
32412597,ROOF 44,84611483,Adrian,,Benito Juárez,19.40039,-99.16168,Entire home/apt,19996,1,2,5/21/2019,1.5,1,360
10765942,,55677877,Humberto Enrique,,Miguel Hidalgo,19.40031,-99.17431,Private room,19117,1,0,,,1,365
18532676,Recámara práctica. Metro cercano,128664843,Juan,,Azcapotzalco,19.49605,-99.19432,Private room,19117,1,0,,,1,365
22547371,Condesa´s 8BR/8BA in 4 Apts @same building,61276494,Caste,,Cuauhtémoc,19.41496,-99.1796,Entire home/apt,19117,2,1,1/9/2019,0.18,7,309
26042640,Gigantic ! 4 Bedrooms,10764020,Kike,,Cuauhtémoc,19.42056,-99.17203,Entire home/apt,19117,1,2,1/7/2019,0.35,44,365
27632458,Casa Doña Carola,4132232,Casas Los Dones,,Coyoacán,19.3477,-99.17518,Entire home/apt,19117,2,0,,,7,312
31800544,¡Bienvenido a su casa en La Ciudad de México!,21210485,Jessica,,Tlalpan,19.27647,-99.219,Entire home/apt,18008,1,1,2/23/2019,0.25,1,179
35733703,Tranquilo y Amplio Departamento,267131488,Georgina,,Benito Juárez,19.39438,-99.15322,Entire home/apt,17588,3,0,,,2,365
14664559,Polanco | 2 Apartments 1 Building,10764020,Kike,,Miguel Hidalgo,19.42694,-99.19295,Entire home/apt,17205,1,2,5/4/2018,0.13,44,358
26601700,"Mexico City - Condesa, Private Room 2",12807218,Marco,,Cuauhtémoc,19.40667,-99.16917,Private room,16249,2,1,2/25/2019,0.25,2,83
31559627,Downtown CDMX plush for up to 50 ppl,4448934,John,,Cuauhtémoc,19.43895,-99.13475,Entire home/apt,15294,2,0,,,45,333
1839523,Room in Mexico City,9614284,José Luis,,Venustiano Carranza,19.41978,-99.09689,Private room,15007,1,0,,,1,0
22390066,Have Rooftop BBQs with Views Across a Trendy Neighborhood,61276494,Caste,,Cuauhtémoc,19.41501,-99.17983,Entire home/apt,14452,2,4,4/28/2019,0.38,7,217
12865834,Ciudad de Mexico State of the Art HOUSE in Polanco,42940416,Enrique,,Miguel Hidalgo,19.43311,-99.19925,Entire home/apt,14338,7,1,2/27/2019,0.25,1,365
21798352,"Amazing renewed 20th century house in ""La Roma""",158854169,Gabriel,,Cuauhtémoc,19.41277,-99.15607,Entire home/apt,14338,1,57,6/20/2019,2.94,1,282
35907796,Rento apartamento completamente amueblado x mes.,270083501,Omar,,Benito Juárez,19.3777,-99.14329,Entire home/apt,14204,1,0,,,1,86
34751621,Casa de lujo con alberca cerca de Condesa y Roma,102255150,Marco Antonio,,Benito Juárez,19.39464,-99.16002,Entire home/apt,13994,1,0,,,1,325
34977990,HOSPEDAJE GRUPOS GRANDES PARA 25 PERSONAS 30 MAX !,229245001,Carlos,,Venustiano Carranza,19.41846,-99.07796,Entire home/apt,13994,1,0,,,8,364
22385638,The BLUE house- Huge house 22 pax  with PATIO,8961760,Cristy,,Cuauhtémoc,19.41214,-99.1733,Entire home/apt,13764,2,23,5/27/2019,1.41,5,349
13084548,"CDMX Group Stay 12pax, 6 bedrooms.",10764020,Kike,,Miguel Hidalgo,19.42951,-99.19233,Entire home/apt,13382,1,14,2/18/2019,0.41,44,351
27202703,OM HOME—Renovated '50s Home Above Condesa Yoga School,3057917,Marcos,,Cuauhtémoc,19.40397,-99.17056,Entire home/apt,13382,2,20,6/19/2019,1.87,6,320
27675432,7BR/7BA House in Condesa. Air Conditioning.,208877264,Zamora 117,,Cuauhtémoc,19.41463,-99.17793,Entire home/apt,13382,2,11,6/10/2019,2.73,15,290
34712540,"Downtown Suite, 2 BDR, 6 Pax + Private Terrace",261774954,Angélica,,Cuauhtémoc,19.43539,-99.15393,Private room,13382,1,0,,,1,0
18373824,Rento Departamento a 900 m Antara,49735631,Jorge,,Miguel Hidalgo,19.44404,-99.19566,Entire home/apt,13152,2,42,5/17/2019,1.65,15,324
24608395,Chihuahua,162501288,Benjamín,,Cuauhtémoc,19.41933,-99.15576,Private room,13114,3,1,6/16/2018,0.08,1,364
24768799,Walking from Six Flags! English fluently spoken,175338710,Eric,,Tlalpan,19.29146,-99.21837,Entire home/apt,12866,2,4,4/20/2019,0.51,2,323
22262730,6BR/6BA+ Roofgarden in 3 apartments @ Condesa,3149134,Abril,,Cuauhtémoc,19.41219,-99.18083,Entire home/apt,12560,3,9,3/25/2019,0.58,6,268
16913174,Apartamento con 3 recamaras 1 baño,112925957,Sofia,,Cuauhtémoc,19.41436,-99.17564,Private room,12426,1,0,,,2,180
23311871,Amplias Habitaciones en ciudad de mexico,94025865,Laura,,Cuauhtémoc,19.43416,-99.16505,Private room,12120,1,9,5/21/2019,1.21,2,267
29990568,Departamento en excelente zona,225445582,Katia,,Benito Juárez,19.40224,-99.15632,Entire home/apt,12005,1,0,,,1,177
20633864,✮Condesa Studio safe + centric location❤,53165048,Héctor,,Cuauhtémoc,19.41262,-99.17731,Entire home/apt,11853,2,121,6/13/2019,5.48,5,314
24151639,Live an Artistic Experience in High Design House,131935733,Deco,,Cuauhtémoc,19.42074,-99.15916,Entire home/apt,11853,1,17,5/27/2019,1.34,14,241
15145820,La Casita de Coyoacán (Casa completa 21 huéspedes),96060539,La Casita De Coyoacán,,Coyoacán,19.35012,-99.15169,Entire home/apt,11585,1,14,5/12/2019,0.91,1,312
22329567,La Condesa: huge an incredible house. Best area!,8995867,Abdeel,,Cuauhtémoc,19.41358,-99.17369,Entire home/apt,11470,2,5,5/19/2019,0.38,7,330
27675796,6BR/6BA in 5 Private Units at Condesa house.,208877264,Zamora 117,,Cuauhtémoc,19.41575,-99.17948,Entire home/apt,11470,2,3,2/18/2019,0.58,15,295
30065506,Selina Mexico City Apartment 202,225934240,Selina,,Cuauhtémoc,19.42775,-99.14257,Entire home/apt,11470,7,3,2/24/2019,0.67,21,310
30107534,Selina Mexico City Deluxe Apartment 204,225934240,Selina,,Cuauhtémoc,19.42644,-99.14114,Entire home/apt,11470,7,0,,,21,312
