Year,Team,Record,Winning Percentage
2016,Celtics,25-15,0.625
2015,Celtics,48-34,0.585
2014,Celtics,40-42,0.488
2013,Celtics,25-57,0.305
2012,Celtics,41-40,0.506
2011,Celtics,39-27,0.591
2010,Celtics,56-26,0.683
2009,Celtics,50-32,0.61
2008,Celtics,62-20,0.756
2007,Celtics,66-16,0.805
2006,Celtics,24-58,0.293
2005,Celtics,33-49,0.402
2004,Celtics,45-37,0.549
2003,Celtics,36-46,0.439
2002,Celtics,44-38,0.537
2001,Celtics,49-33,0.598
2000,Celtics,36-46,0.439
1999,Celtics,35-47,0.427
1998,Celtics,19-31,0.38
1997,Celtics,36-46,0.439
1996,Celtics,15-67,0.183
1995,Celtics,33-49,0.402
1994,Celtics,35-47,0.427
1993,Celtics,32-50,0.39
1992,Celtics,48-34,0.585
1991,Celtics,51-31,0.622
1990,Celtics,56-26,0.683
1989,Celtics,52-30,0.634
1988,Celtics,42-40,0.512
1987,Celtics,57-25,0.695
1986,Celtics,59-23,0.72
1985,Celtics,67-15,0.817
1984,Celtics,63-19,0.768
1983,Celtics,62-20,0.756
1982,Celtics,56-26,0.683
1981,Celtics,63-19,0.768
1980,Celtics,62-20,0.756
1979,Celtics,61-21,0.744
1978,Celtics,29-53,0.354
1977,Celtics,32-50,0.39
1976,Celtics,44-38,0.537
1975,Celtics,54-28,0.659
1974,Celtics,60-22,0.732
1973,Celtics,56-26,0.683
1972,Celtics,68-14,0.829
1971,Celtics,56-26,0.683
1970,Celtics,44-38,0.537
1969,Celtics,34-48,0.415
1968,Celtics,48-34,0.585
1967,Celtics,54-28,0.659
1966,Celtics,60-21,0.741
1965,Celtics,54-26,0.675
1964,Celtics,62-18,0.775
1963,Celtics,59-21,0.738
1962,Celtics,58-22,0.725
1961,Celtics,60-20,0.75
1960,Celtics,57-22,0.722
1959,Celtics,59-16,0.787
1958,Celtics,52-20,0.722
1957,Celtics,49-23,0.681
1956,Celtics,44-28,0.611
1955,Celtics,39-33,0.542
1954,Celtics,36-36,0.5
1953,Celtics,42-30,0.583
1952,Celtics,46-25,0.648
1951,Celtics,39-27,0.591
1950,Celtics,39-30,0.565
1949,Celtics,22-46,0.324
1948,Celtics,25-35,0.417
1947,Celtics,20-28,0.417
1946,Celtics,22-38,0.367
2016,Hawks,23-17,0.575
2015,Hawks,48-34,0.585
2014,Hawks,60-22,0.732
2013,Hawks,38-44,0.463
2012,Hawks,44-38,0.537
2011,Hawks,40-26,0.606
2010,Hawks,44-38,0.537
2009,Hawks,53-29,0.646
2008,Hawks,47-35,0.573
2007,Hawks,37-45,0.451
2006,Hawks,30-52,0.366
2005,Hawks,26-56,0.317
2004,Hawks,13-69,0.159
2003,Hawks,28-54,0.341
2002,Hawks,35-47,0.427
2001,Hawks,33-49,0.402
2000,Hawks,25-57,0.305
1999,Hawks,28-54,0.341
1998,Hawks,31-19,0.62
1997,Hawks,50-32,0.61
1996,Hawks,56-26,0.683
1995,Hawks,46-36,0.561
1994,Hawks,42-40,0.512
1993,Hawks,57-25,0.695
1992,Hawks,43-39,0.524
1991,Hawks,38-44,0.463
1990,Hawks,43-39,0.524
1989,Hawks,41-41,0.5
1988,Hawks,52-30,0.634
1987,Hawks,50-32,0.61
1986,Hawks,57-25,0.695
1985,Hawks,50-32,0.61
1984,Hawks,34-48,0.415
1983,Hawks,40-42,0.488
1982,Hawks,43-39,0.524
1981,Hawks,42-40,0.512
1980,Hawks,31-51,0.378
1979,Hawks,50-32,0.61
1978,Hawks,46-36,0.561
1977,Hawks,41-41,0.5
1976,Hawks,31-51,0.378
1975,Hawks,29-53,0.354
1974,Hawks,31-51,0.378
1973,Hawks,35-47,0.427
1972,Hawks,46-36,0.561
1971,Hawks,36-46,0.439
1970,Hawks,36-46,0.439
1969,Hawks,48-34,0.585
1968,Hawks,48-34,0.585
1967,Hawks,56-26,0.683
1966,Hawks,39-42,0.481
1965,Hawks,36-44,0.45
1964,Hawks,45-35,0.563
1963,Hawks,46-34,0.575
1962,Hawks,48-32,0.6
1961,Hawks,29-51,0.363
1960,Hawks,51-28,0.646
1959,Hawks,46-29,0.613
1958,Hawks,49-23,0.681
1957,Hawks,41-31,0.569
1956,Hawks,34-38,0.472
1955,Hawks,33-39,0.458
1954,Hawks,26-46,0.361
1953,Hawks,21-51,0.292
1952,Hawks,27-44,0.38
1951,Hawks,17-49,0.258
1950,Blackhawks,25-43,0.368
1949,Blackhawks,29-35,0.453
2016,Nets,Sep-33,0.214
2015,Nets,21-61,0.256
2014,Nets,38-44,0.463
2013,Nets,44-38,0.537
2012,Nets,49-33,0.598
2011,Nets,22-44,0.333
2010,Nets,24-58,0.293
2009,Nets,Dec-70,0.146
2008,Nets,34-48,0.415
2007,Nets,34-48,0.415
2006,Nets,41-41,0.5
2005,Nets,49-33,0.598
2004,Nets,42-40,0.512
2003,Nets,47-35,0.573
2002,Nets,49-33,0.598
2001,Nets,52-30,0.634
2000,Nets,26-56,0.317
1999,Nets,31-51,0.378
1998,Nets,16-34,0.32
1997,Nets,43-39,0.524
1996,Nets,26-56,0.317
1995,Nets,30-52,0.366
1994,Nets,30-52,0.366
1993,Nets,45-37,0.549
1992,Nets,43-39,0.524
1991,Nets,40-42,0.488
1990,Nets,26-56,0.317
1989,Nets,17-65,0.207
1988,Nets,26-56,0.317
1987,Nets,19-63,0.232
1986,Nets,24-58,0.293
1985,Nets,39-43,0.476
1984,Nets,42-40,0.512
1983,Nets,45-37,0.549
1982,Nets,49-33,0.598
1981,Nets,44-38,0.537
1980,Nets,24-58,0.293
1979,Nets,34-48,0.415
1978,Nets,37-45,0.451
1977,Nets,24-58,0.293
1976,Nets,22-60,0.268
2016,Hornets,22-21,0.512
2015,Hornets,48-34,0.585
2014,Hornets,33-49,0.402
2013,Bobcats,43-39,0.524
2012,Bobcats,21-61,0.256
2011,Bobcats,Jul-59,0.106
2010,Bobcats,34-48,0.415
2009,Bobcats,44-38,0.537
2008,Bobcats,35-47,0.427
2007,Bobcats,32-50,0.39
2006,Bobcats,33-49,0.402
2005,Bobcats,26-56,0.317
2004,Bobcats,18-64,0.22
2001,Hornets,44-38,0.537
2000,Hornets,46-36,0.561
1999,Hornets,49-33,0.598
1998,Hornets,26-24,0.52
1997,Hornets,51-31,0.622
1996,Hornets,54-28,0.659
1995,Hornets,41-41,0.5
1994,Hornets,50-32,0.61
1993,Hornets,41-41,0.5
1992,Hornets,44-38,0.537
1991,Hornets,31-51,0.378
1990,Hornets,26-56,0.317
1989,Hornets,19-63,0.232
1988,Hornets,20-62,0.244
2016,Bulls,21-23,0.477
2015,Bulls,42-40,0.512
2014,Bulls,50-32,0.61
2013,Bulls,48-34,0.585
2012,Bulls,45-37,0.549
2011,Bulls,50-16,0.758
2010,Bulls,62-20,0.756
2009,Bulls,41-41,0.5
2008,Bulls,41-41,0.5
2007,Bulls,33-49,0.402
2006,Bulls,49-33,0.598
2005,Bulls,41-41,0.5
2004,Bulls,47-35,0.573
2003,Bulls,23-59,0.28
2002,Bulls,30-52,0.366
2001,Bulls,21-61,0.256
2000,Bulls,15-67,0.183
1999,Bulls,17-65,0.207
1998,Bulls,13-37,0.26
1997,Bulls,62-20,0.756
1996,Bulls,69-13,0.841
1995,Bulls,72-10,0.878
1994,Bulls,47-35,0.573
1993,Bulls,55-27,0.671
1992,Bulls,57-25,0.695
1991,Bulls,67-15,0.817
1990,Bulls,61-21,0.744
1989,Bulls,55-27,0.671
1988,Bulls,47-35,0.573
1987,Bulls,50-32,0.61
1986,Bulls,40-42,0.488
1985,Bulls,30-52,0.366
1984,Bulls,38-44,0.463
1983,Bulls,27-55,0.329
1982,Bulls,28-54,0.341
1981,Bulls,34-48,0.415
1980,Bulls,45-37,0.549
1979,Bulls,30-52,0.366
1978,Bulls,31-51,0.378
1977,Bulls,40-42,0.488
1976,Bulls,44-38,0.537
1975,Bulls,24-58,0.293
1974,Bulls,47-35,0.573
1973,Bulls,54-28,0.659
1972,Bulls,51-31,0.622
1971,Bulls,57-25,0.695
1970,Bulls,51-31,0.622
1969,Bulls,39-43,0.476
1968,Bulls,33-49,0.402
1967,Bulls,29-53,0.354
1966,Bulls,33-48,0.407
2016,Cavaliers,30-12,0.714
2015,Cavaliers,57-25,0.695
2014,Cavaliers,53-29,0.646
2013,Cavaliers,33-49,0.402
2012,Cavaliers,24-58,0.293
2011,Cavaliers,21-45,0.318
2010,Cavaliers,19-63,0.232
2009,Cavaliers,61-21,0.744
2008,Cavaliers,66-16,0.805
2007,Cavaliers,45-37,0.549
2006,Cavaliers,50-32,0.61
2005,Cavaliers,50-32,0.61
2004,Cavaliers,42-40,0.512
2003,Cavaliers,35-47,0.427
2002,Cavaliers,17-65,0.207
2001,Cavaliers,29-53,0.354
2000,Cavaliers,30-52,0.366
1999,Cavaliers,32-50,0.39
1998,Cavaliers,22-28,0.44
1997,Cavaliers,47-35,0.573
1996,Cavaliers,42-40,0.512
1995,Cavaliers,47-35,0.573
1994,Cavaliers,43-39,0.524
1993,Cavaliers,47-35,0.573
1992,Cavaliers,54-28,0.659
1991,Cavaliers,57-25,0.695
1990,Cavaliers,33-49,0.402
1989,Cavaliers,42-40,0.512
1988,Cavaliers,57-25,0.695
1987,Cavaliers,42-40,0.512
1986,Cavaliers,31-51,0.378
1985,Cavaliers,29-53,0.354
1984,Cavaliers,36-46,0.439
1983,Cavaliers,28-54,0.341
1982,Cavaliers,23-59,0.28
1981,Cavaliers,15-67,0.183
1980,Cavaliers,28-54,0.341
1979,Cavaliers,37-45,0.451
1978,Cavaliers,30-52,0.366
1977,Cavaliers,43-39,0.524
1976,Cavaliers,43-39,0.524
1975,Cavaliers,49-33,0.598
1974,Cavaliers,40-42,0.488
1973,Cavaliers,29-53,0.354
1972,Cavaliers,32-50,0.39
1971,Cavaliers,23-59,0.28
1970,Cavaliers,15-67,0.183
2016,Mavericks,15-29,0.341
2015,Mavericks,42-40,0.512
2014,Mavericks,50-32,0.61
2013,Mavericks,49-33,0.598
2012,Mavericks,41-41,0.5
2011,Mavericks,36-30,0.545
2010,Mavericks,57-25,0.695
2009,Mavericks,55-27,0.671
2008,Mavericks,50-32,0.61
2007,Mavericks,51-31,0.622
2006,Mavericks,67-15,0.817
2005,Mavericks,60-22,0.732
2004,Mavericks,58-24,0.707
2003,Mavericks,52-30,0.634
2002,Mavericks,60-22,0.732
2001,Mavericks,57-25,0.695
2000,Mavericks,53-29,0.646
1999,Mavericks,40-42,0.488
1998,Mavericks,19-31,0.38
1997,Mavericks,20-62,0.244
1996,Mavericks,24-58,0.293
1995,Mavericks,26-56,0.317
1994,Mavericks,36-46,0.439
1993,Mavericks,13-69,0.159
1992,Mavericks,Nov-71,0.134
1991,Mavericks,22-60,0.268
1990,Mavericks,28-54,0.341
1989,Mavericks,47-35,0.573
1988,Mavericks,38-44,0.463
1987,Mavericks,53-29,0.646
1986,Mavericks,55-27,0.671
1985,Mavericks,44-38,0.537
1984,Mavericks,44-38,0.537
1983,Mavericks,43-39,0.524
1982,Mavericks,38-44,0.463
1981,Mavericks,28-54,0.341
1980,Mavericks,15-67,0.183
2016,Nuggets,18-25,0.419
2015,Nuggets,33-49,0.402
2014,Nuggets,30-52,0.366
2013,Nuggets,36-46,0.439
2012,Nuggets,57-25,0.695
2011,Nuggets,38-28,0.576
2010,Nuggets,50-32,0.61
2009,Nuggets,53-29,0.646
2008,Nuggets,54-28,0.659
2007,Nuggets,50-32,0.61
2006,Nuggets,45-37,0.549
2005,Nuggets,44-38,0.537
2004,Nuggets,49-33,0.598
2003,Nuggets,43-39,0.524
2002,Nuggets,17-65,0.207
2001,Nuggets,27-55,0.329
2000,Nuggets,40-42,0.488
1999,Nuggets,35-47,0.427
1998,Nuggets,14-36,0.28
1997,Nuggets,Nov-71,0.134
1996,Nuggets,21-61,0.256
1995,Nuggets,35-47,0.427
1994,Nuggets,41-41,0.5
1993,Nuggets,42-40,0.512
1992,Nuggets,36-46,0.439
1991,Nuggets,24-58,0.293
1990,Nuggets,20-62,0.244
1989,Nuggets,43-39,0.524
1988,Nuggets,44-38,0.537
1987,Nuggets,54-28,0.659
1986,Nuggets,37-45,0.451
1985,Nuggets,47-35,0.573
1984,Nuggets,52-30,0.634
1983,Nuggets,38-44,0.463
1982,Nuggets,45-37,0.549
1981,Nuggets,46-36,0.561
1980,Nuggets,37-45,0.451
1979,Nuggets,30-52,0.366
1978,Nuggets,47-35,0.573
1977,Nuggets,48-34,0.585
1976,Nuggets,50-32,0.61
2016,Pistons,21-24,0.467
2015,Pistons,44-38,0.537
2014,Pistons,32-50,0.39
2013,Pistons,29-53,0.354
2012,Pistons,29-53,0.354
2011,Pistons,25-41,0.379
2010,Pistons,30-52,0.366
2009,Pistons,27-55,0.329
2008,Pistons,39-43,0.476
2007,Pistons,59-23,0.72
2006,Pistons,53-29,0.646
2005,Pistons,64-18,0.78
2004,Pistons,54-28,0.659
2003,Pistons,54-28,0.659
2002,Pistons,50-32,0.61
2001,Pistons,50-32,0.61
2000,Pistons,32-50,0.39
1999,Pistons,42-40,0.512
1998,Pistons,29-21,0.58
1997,Pistons,37-45,0.451
1996,Pistons,54-28,0.659
1995,Pistons,46-36,0.561
1994,Pistons,28-54,0.341
1993,Pistons,20-62,0.244
1992,Pistons,40-42,0.488
1991,Pistons,48-34,0.585
1990,Pistons,50-32,0.61
1989,Pistons,59-23,0.72
1988,Pistons,63-19,0.768
1987,Pistons,54-28,0.659
1986,Pistons,52-30,0.634
1985,Pistons,46-36,0.561
1984,Pistons,46-36,0.561
1983,Pistons,49-33,0.598
1982,Pistons,37-45,0.451
1981,Pistons,39-43,0.476
1980,Pistons,21-61,0.256
1979,Pistons,16-66,0.195
1978,Pistons,30-52,0.366
1977,Pistons,38-44,0.463
1976,Pistons,44-38,0.537
1975,Pistons,36-46,0.439
1974,Pistons,40-42,0.488
1973,Pistons,52-30,0.634
1972,Pistons,40-42,0.488
1971,Pistons,26-56,0.317
1970,Pistons,45-37,0.549
1969,Pistons,31-51,0.378
1968,Pistons,32-50,0.39
1967,Pistons,40-42,0.488
1966,Pistons,30-51,0.37
1965,Pistons,22-58,0.275
1964,Pistons,31-49,0.388
1963,Pistons,23-57,0.288
1962,Pistons,34-46,0.425
1961,Pistons,37-43,0.463
1960,Pistons,34-45,0.43
1959,Pistons,30-45,0.4
1958,Pistons,28-44,0.389
1957,Pistons,33-39,0.458
1956,Pistons,34-38,0.472
1955,Pistons,37-35,0.514
1954,Pistons,43-29,0.597
1953,Pistons,40-32,0.556
1952,Pistons,36-33,0.522
1951,Pistons,29-37,0.439
1950,Pistons,32-36,0.471
1949,Pistons,40-28,0.588
1948,Pistons,22-38,0.367
2016,Warriors,38-6,0.864
