Barcode,File Name,Year,Period,Slaves,Slave Name,Middle Name,Surname,Alias,Gender,Age,Physical Description,Spouse's Name,Child(ren),Parent(s),Enslaver_Buyer,Enslaver's Alias,"Prior Enslaver's Name, if applicable / Trafficker",Locality,Source
1147037,_0004_0001_0001-0002,1762,1760-1780,1,Nan,,,,F,,,,,,William Stamps,,John Farrar,Goochland County,"Goochland County (Va.) Free Negro and Slave Records, 1726-1867"
1147037,_0004_0001_0001-0002,1762,1760-1780,1,Jane,,,,F,,,,,,William Stamps,,John Farrar,Goochland County,"Goochland County (Va.) Free Negro and Slave Records, 1726-1867"
1147037,_0004_0001_0001-0002,1762,1760-1780,1,George,,,,M,,,,,,William Stamps,,John Farrar,Goochland County,"Goochland County (Va.) Free Negro and Slave Records, 1726-1867"
1147037,_0004_0001_0001-0002,1762,1760-1780,1,Olle,,,,M,,,,,,William Stamps,,John Farrar,Goochland County,"Goochland County (Va.) Free Negro and Slave Records, 1726-1867"
1156114,_0003_0001_0001-0002,1764,1760-1780,1,Odah,,,,F,,,,,,James Daniel,,John Yarrington,Middlesex County,"Middlesex County (Va.) Free Negro and Slave Records, 1764-1802"
1156114,_0003_0001_0001-0002,1764,1760-1780,1,Bristow,,,,M,,,,,,James Daniel,,John Yarrington,Middlesex County,"Middlesex County (Va.) Free Negro and Slave Records, 1764-1802"
1156114,_0003_0001_0001-0002,1764,1760-1780,1,Essea,,,,M,,,,,,James Daniel,,John Yarrington,Middlesex County,"Middlesex County (Va.) Free Negro and Slave Records, 1764-1802"
7756482,_0001_0001_0001-0003,1766,1760-1780,1,Parrott,,,,M,,,,,,David Ross,,William Pledge Sr,Goochland County,"Goochland County (Va.) Deeds, 1766-1843"
7756482,_0001_0001_0001-0003,1766,1760-1780,1,Ned,,,,M,,,,,,David Ross,,William Pledge Sr,Goochland County,"Goochland County (Va.) Deeds, 1766-1843"
7756482,_0001_0001_0001-0003,1766,1760-1780,1,Flora,,,,Unknown,,,,,,David Ross,,William Pledge Sr,Goochland County,"Goochland County (Va.) Deeds, 1766-1843"
7756482,_0001_0001_0001-0003,1766,1760-1780,1,Phillis,,,,Unknown,,,,,,David Ross,,William Pledge Sr,Goochland County,"Goochland County (Va.) Deeds, 1766-1843"
7756482,_0001_0001_0001-0003,1766,1760-1780,1,Cloe,,,,Unknown,,,,,,David Ross,,William Pledge Sr,Goochland County,"Goochland County (Va.) Deeds, 1766-1843"
7756482,_0001_0001_0001-0003,1766,1760-1780,1,Jane,,,,Unknown,,,,,,David Ross,,William Pledge Sr,Goochland County,"Goochland County (Va.) Deeds, 1766-1843"
7756482,_0001_0001_0001-0003,1766,1760-1780,1,Jamie,,,,Unknown,,,,,,David Ross,,William Pledge Sr,Goochland County,"Goochland County (Va.) Deeds, 1766-1843"
7756482,_0001_0001_0001-0003,1766,1760-1780,1,Robin,,,,Unknown,,,,,,David Ross,,William Pledge Sr,Goochland County,"Goochland County (Va.) Deeds, 1766-1843"
1188995,_0007_0003_0001-0002,1767,1760-1780,1,Sam,,,,M,,,,,,Richard Silvester,,James Lockhart,Norfolk County,"Norfolk County (Va.) Free Negro and Slave Records, 1718-1862"
1188995,_0007_0004_0001-0002,1768,1760-1780,1,Unidentified,,,,Unknown,,,,,,"John Taylor, Nickols Creekmur, John Williams",,"Christean Warren, deceased",Norfolk County,"Norfolk County (Va.) Free Negro and Slave Records, 1718-1862"
1147037,_0004_0002_0001-0002,1768,1760-1780,1,Dorcus,,,,F,,,,,,Robert Payne; Archer Payne,,John King,Goochland County,"Goochland County (Va.) Free Negro and Slave Records, 1726-1867"
1147037,_0004_0002_0001-0002,1768,1760-1780,1,Will,,,,M,,,,,,Robert Payne; Archer Payne,,John King,Goochland County,"Goochland County (Va.) Free Negro and Slave Records, 1726-1867"
1133721,_0013_0002_0001-0002,1770,1760-1780,1,Pleasant,,,,F,,,,Rose; Levern,,John Milby; Daniel Sulivan,,Francis Darby,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133721,_0013_0002_0001-0002,1770,1760-1780,1,Rose,,,,F,,,,,Pleasant,John Milby; Daniel Sulivan,,Francis Darby,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133721,_0013_0002_0001-0002,1770,1760-1780,1,Levern,,,,M,,,,,Pleasant,John Milby; Daniel Sulivan,,Francis Darby,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1147037,_0004_0003_0001-0001,1777,1760-1780,1,Nuney,,,,F,,,,,,John K.,,John Pryor,Goochland County,"Goochland County (Va.) Free Negro and Slave Records, 1726-1867"
1156114,_0003_0002_0001-0002,1777,1760-1780,1,Ned,,,,M,,,,,,Thomas Stiff,,William Stiff,Middlesex County,"Middlesex County (Va.) Free Negro and Slave Records, 1764-1802"
7741628,_0001_0002_0001-0002,1782,1781-1800,1,Sall,,,,F,,,,,,Battan Dobbins,,Elizabeth LittlePage,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
1133721,_0024_0001_0001-0003,1784,1781-1800,1,Esther,,,,F,,,,Bridgett; Soloman; Newberry,,George Dunton,,Edward Revell,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133721,_0024_0001_0001-0003,1784,1781-1800,1,Bridgett,,,,Unknown,,,,,Esther,George Dunton,,Edward Revell,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
