Date,YEAR,MONTH,Bldg #,Side,SpeciesCode,Common Name,Deaths
10/19/2013,2013,OCT,twelve,E,MODO,Mourning Dove ,1
10/22/2013,2013,OCT,seventeen,C,EATO,Eastern Towhee ,1
10/23/2013,2013,OCT,ten,D,HETH,Hermit Thrush ,1
10/27/2013,2013,OCT,seven,B,GCKI,Golden-crowned Kinglet ,1
10/28/2013,2013,OCT,nine,D,GRCA,Gray Catbird ,1
10/28/2013,2013,OCT,eleven,B,unk,unknown,1
10/28/2013,2013,OCT,fifteen,B,CACH,Carolina Chickadee ,1
10/28/2013,2013,OCT,fifteen,B,WBNU,White-breasted Nuthatch ,1
10/28/2013,2013,OCT,twenty,A,unk,unknown,1
10/31/2013,2013,OCT,seven,B,MODO,Mourning Dove ,1
11/1/2013,2013,NOV,four,C,WTSP,White-throated Sparrow ,1
11/4/2013,2013,NOV,eleven,D,FOSP,Fox Sparrow ,1
11/4/2013,2013,NOV,eleven,C,unk,unknown,1
11/5/2013,2013,NOV,sixteen,A,HETH,Hermit Thrush ,1
11/5/2013,2013,NOV,sixteen,D,SOSP,Song Sparrow ,1
11/7/2013,2013,NOV,three,C,GCKI,Golden-crowned Kinglet ,1
11/7/2013,2013,NOV,twelve,C,DEJU,Dark-eyed Junco ,1
11/8/2013,2013,NOV,eleven,C,WTSP,White-throated Sparrow ,1
11/11/2013,2013,NOV,twenty-four,C,unk,unknown,1
11/13/2013,2013,NOV,eleven,B,INBU,Indigo Bunting ,1
11/14/2013,2013,NOV,one,B,GCKI,Golden-crowned Kinglet ,1
11/14/2013,2013,NOV,three,B,NOCA,Northern Cardinal ,1
11/15/2013,2013,NOV,eight,C,WTSP,White-throated Sparrow ,1
11/25/2013,2013,NOV,eleven,A,unk,unknown,1
12/3/2013,2013,DEC,sixteen,D,DEJU,Dark-eyed Junco ,1
12/11/2013,2013,DEC,seven,D,GCKI,Golden-crowned Kinglet ,1
12/16/2013,2013,DEC,four,A,DEJU,Dark-eyed Junco ,1
1/9/2014,2014,JAN,seven,C,GCKI,Golden-crowned Kinglet ,1
2/3/2014,2014,FEB,one,D,EATO,Eastern Towhee ,1
2/20/2014,2014,FEB,seven,E,unk,unknown,1
2/26/2014,2014,FEB,twenty-four,C,RCKI,Ruby-crowned Kinglet ,1
3/12/2014,2014,MAR,twenty-one,A,DEJU,Dark-eyed Junco ,1
3/12/2014,2014,MAR,twenty-one,A,EABL,Eastern Bluebird ,1
3/16/2014,2014,MAR,twenty-one,D,WTSP,White-throated Sparrow ,1
3/18/2014,2014,MAR,one,B,AMRO,American Robin ,1
3/19/2014,2014,MAR,eleven,D,AMRO,American Robin ,1
3/20/2014,2014,MAR,sixteen,D,SOSP,Song Sparrow ,1
3/24/2014,2014,MAR,one,A,MODO,Mourning Dove ,1
3/24/2014,2014,MAR,one,B,unk,unknown,1
3/24/2014,2014,MAR,four,C,DEJU,Dark-eyed Junco ,1
3/31/2014,2014,MAR,two,D,AMRO,American Robin ,1
4/2/2014,2014,APR,twenty-one,A,EUST,European Starling ,1
4/3/2014,2014,APR,seven,C,AMRO,American Robin ,1
4/4/2014,2014,APR,twenty-three,B,DEJU,Dark-eyed Junco ,1
4/6/2014,2014,APR,nine,B,SAVS,Savannah Sparrow ,1
4/6/2014,2014,APR,fifteen,F,unk,unknown,1
4/8/2014,2014,APR,fifteen,E,unk,unknown,1
4/14/2014,2014,APR,one,C,BRTH,Brown Thrasher ,1
4/14/2014,2014,APR,four,A,AMRO,American Robin ,1
4/15/2014,2014,APR,twelve,F,AMRO,American Robin ,1
4/16/2014,2014,APR,sixteen,A,MODO,Mourning Dove ,1
4/17/2014,2014,APR,nine,D,DEJU,Dark-eyed Junco ,1
4/17/2014,2014,APR,twenty-one,E,unk,unknown,1
4/18/2014,2014,APR,four,B,AMRO,American Robin ,1
4/18/2014,2014,APR,twenty-one,E,CEDW,Cedar Waxwing ,1
4/21/2014,2014,APR,eleven,B,unk,unknown,1
4/22/2014,2014,APR,fifteen,F,EABL,Eastern Bluebird ,1
4/22/2014,2014,APR,twenty,B,AMRO,American Robin ,1
4/23/2014,2014,APR,eleven,D,unk,unknown,1
4/25/2014,2014,APR,eleven,B,RTHU,Ruby-throated Hummingbird ,1
4/26/2014,2014,APR,eleven,C,RTHU,Ruby-throated Hummingbird ,1
4/28/2014,2014,APR,one,A,MODO,Mourning Dove ,1
4/28/2014,2014,APR,twelve,C,AMGO,American Goldfinch ,1
4/28/2014,2014,APR,fourteen,B,RTHU,Ruby-throated Hummingbird ,1
4/29/2014,2014,APR,two,B,YRWA,Yellow-rumped Warbler ,1
4/29/2014,2014,APR,four,C,unk,unknown,1
5/1/2014,2014,MAY,eleven,B,GRCA,Gray Catbird ,1
5/1/2014,2014,MAY,sixteen,D,GRCA,Gray Catbird ,1
5/1/2014,2014,MAY,seventeen,B,GRCA,Gray Catbird ,1
5/5/2014,2014,MAY,twenty,A,INBU,Indigo Bunting ,1
5/5/2014,2014,MAY,twenty-one,E,RWBL,Red-winged Blackbird ,1
5/5/2014,2014,MAY,twenty-four,A,GRCA,Gray Catbird ,1
5/5/2014,2014,MAY,twenty-seven,A,WTSP,White-throated Sparrow ,1
5/7/2014,2014,MAY,fifteen,A,RTHU,Ruby-throated Hummingbird ,1
5/7/2014,2014,MAY,sixteen,B,MODO,Mourning Dove ,1
5/7/2014,2014,MAY,twenty-four,C,GRCA,Gray Catbird ,1
5/8/2014,2014,MAY,seven,A,AMRO,American Robin ,1
5/8/2014,2014,MAY,twelve,C,AMGO,American Goldfinch ,1
5/8/2014,2014,MAY,fourteen,C,HETH,Hermit Thrush ,1
5/9/2014,2014,MAY,one,B,GRCA,Gray Catbird ,1
5/9/2014,2014,MAY,twelve,B,YBCU,Yellow-billed Cuckoo ,1
5/14/2014,2014,MAY,fifteen,G,GRCA,Gray Catbird ,1
5/14/2014,2014,MAY,twenty,A,GRCA,Gray Catbird ,1
5/19/2014,2014,MAY,one,B,NOFL,Northern Flicker ,1
5/19/2014,2014,MAY,ten,D,AMRO,American Robin ,1
5/19/2014,2014,MAY,eleven,B,unk,unknown,1
5/19/2014,2014,MAY,twelve,B,RTHU,Ruby-throated Hummingbird ,1
5/21/2014,2014,MAY,nine,D,YBCU,Yellow-billed Cuckoo ,1
5/21/2014,2014,MAY,twenty,B,AMGO,American Goldfinch ,1
5/26/2014,2014,MAY,ten,C,COYE,Common Yellowthroat ,1
5/29/2014,2014,MAY,twelve,B,AMRE,American Redstart ,1
5/29/2014,2014,MAY,twelve,F,YBCU,Yellow-billed Cuckoo ,1
5/29/2014,2014,MAY,fourteen,B,EUST,European Starling ,1
5/29/2014,2014,MAY,fourteen,D,NOCA,Northern Cardinal ,1
5/29/2014,2014,MAY,thirty,B,AMGO,American Goldfinch ,1
5/29/2014,2014,MAY,thirty,C,YBCU,Yellow-billed Cuckoo ,1
6/2/2014,2014,JUN,twelve,B,CEDW,Cedar Waxwing ,1
6/2/2014,2014,JUN,fourteen,B,GCFL,Great Crested Flycatcher ,1
6/4/2014,2014,JUN,twenty,A,MODO,Mourning Dove ,1
6/4/2014,2014,JUN,twenty-four,A,HOFI,House Finch ,1
6/15/2014,2014,JUN,nine,A,SOSP,Song Sparrow ,1
6/15/2014,2014,JUN,twenty,B,unk,unknown,1
6/25/2014,2014,JUN,twenty,D,unk,unknown,1
6/25/2014,2014,JUN,twenty-seven,C,NOMO,Northern Mockingbird ,1
7/2/2014,2014,JUL,one,B,MODO,Mourning Dove ,1
7/2/2014,2014,JUL,twelve,D,AMRO,American Robin ,1
7/2/2014,2014,JUL,twelve,B,GRCA,Gray Catbird ,1
7/2/2014,2014,JUL,sixteen,B,OVEN,Ovenbird ,1
7/7/2014,2014,JUL,two,B,AMRO,American Robin ,1
7/7/2014,2014,JUL,three,D,LOWA,Louisiana Waterthrush ,1
7/7/2014,2014,JUL,ten,F,AMRO,American Robin ,1
7/7/2014,2014,JUL,twelve,D,OVEN,Ovenbird ,1
7/7/2014,2014,JUL,fourteen,B,HOFI,House Finch ,1
7/13/2014,2014,JUL,three,C,unk,unknown,1
7/13/2014,2014,JUL,four,B,unk,unknown,1
7/13/2014,2014,JUL,ten,E,NOCA,Northern Cardinal ,1
7/14/2014,2014,JUL,two,B,unk,unknown,1
