Hotelid,userid,reviewtext,Date,NoOfReaders,HelpfulToNoOfreaders,Value_rating,Rooms_rating,Location_rating,Cleanliness_rating,Checkin_rating,Service_rating,Businessservice_rating,AverageOverallRatingOfHotel,AveragePricing
hotel_101,hotel_2225,"Just An Average stay This was just an average stay, with nothing standing out. If the weather is good, I would recommend eating at the 13 Coins Restaurant which is a short walk from the Marriott, versus eating at the hotel restaurant. There is also a 7 Eleven about a block away if one needs other things. This is a typical Marriott, where they charge you for everything, including the Internet. What bothered me most was when I had to leave at 4:30am, and was waiting for my ride in the lobby, there was no staff around, and anyone could have walked into the place. It's not a bad place, but nothing stands out as being above average either.",13-Dec-08,0,0,4,4,1,4,4,4,3,3.5,$245 
hotel_101,hotel_5079,"go elsewhere The place is hugely overpriced and mis-managed.Better places to stay are the Hilton or Radisson, both of which are in the same airport area.I arrived and had to walk down endless corridors before finding out my key did not work. Finally got another room, other people's hairs in the bathtub. Gross, small, old-school and pricey.Yuk!",2-Dec-08,0,0,2,4,3,3,1,2,2,3.5,$245 
hotel_101,hotel_8440,"I Won't Go Back I stayed at the hotel 11/14/08 for 2 nights. I booked the package through Marriotts web site. The package incuded a deluxe room, free parking and a gas card. When we checked in we were told our room was not ready but they could give a handicapped room. I asked to look at the room. It was on the first floor facing the street and parking lot. I went back and said we would wait for our room. We came back 2 hours later and they gave me keys to room 199 which was 3 rooms away from the room we originally looked at, again facing the street and parking lot. I went back to the front desk and said I booked a deluxe room which was supposed to overlook the pool and be on a higher floor. I was told deluxe and standard rooms are the same. I was getting nowhere with the front desk. I went back to my 1st floor room and called the phone number on my marriott rewards card and explained the problem to them. I was told they would have a manager call me in my room. After no call I went to the managers office and talked to one of the managers and she said to me you want a deluxe room for the price you paid? I said yes that is what the package offers and I did not create the package I just bought Marriotts package. She then told me the package did not offer a deluxe room but a standard room. I told her that supposedly they are the same from what the front desk tells me. I told her that I had called the hotel directly before i booked and asked about the rooms and was told a deluxe room was a higher floor facing the pool. I then showed her my reservation confirmation which said deluxe room on it. The manager said well nobody else has complained. I told the manager that I could have stayed at the Hilton or Doubletree down the street cheaper and I will check out unless I get the room I paid for. Finally she says well your right I will get another room. I did get another room still on the first floor but facing the pool. The hotel was not very busy and we should have gotten the room we paid for which we never did. Bait and Switch at its best. I will stay at the Hilton or Doubletree down the street on my future visits to Seattle area. The room was okay very dark, small bathroom. The bed very comfortable. Old T.V. no flat screens.",18-Nov-08,0,0,2,4,3,4,2,3,1,3.5,$245 
hotel_101,hotel_4592,Good weekend stay My wife and I stay here quite regularly when we visit Seattle to see a football game. The shuttle from the airport is always on time and operates almost 24 hours a day. The rooms are typical Marriott and always clean and functional. The restaurant is good with some very good items and others quite normal. If there is a large convention in the hotel (which occurs quite regularly on weekends) be careful where your room is(stay away from pool side). The hotel is old but has been remodeled very recently but the noise in the hallways and especially around the pool can be very annoying. Standard complaint is the charge for internet usage.,19-Oct-08,0,0,5,5,6,6,5,5,3,3.5,$245 
hotel_101,hotel_5901,"Great airport stay Lovely indoor pool area, looks like a lodge. Staff was friendly and helpful. Room was clean, very comfortable and spacious, with minimal noise from outside (you could hear planes, but only if you really listened for them). The breakfast buffet was good value with great coffee (Starbucks), but the omelet chef did not have the slightest clue as to what he was doing. I got more of a scramble than an omelet, and he might have put all of three spinach leaves in the whole thing, which cooked down to nothing. I booked a cars eat free package which included parking and a $25 gas card - if they still have this deal it is worth it. Overall a very good experience.",13-Oct-08,0,0,5,6,6,6,6,1,6,3.5,$245 
hotel_101,hotel_4367,"Great Place!!!! We did a seminar here and the place was great. Beautiful indoor atrium with swimming pool, hot tub etc. Guest rooms very clean, quiet and comfortable. Beds were heavenly.Setup and support for our seminar was superb.Only negative I can think of is that their breakfast buffet was ridiculously overpriced, but otherwise the bar and restaurant was excellent.",24-Sep-08,0,0,5,5,5,5,5,5,5,3.5,$245 
hotel_101,hotel_3619,"No Free Internet? Wow, that irritates me! This hotel is amazing. I love the rooms, I love the fitness center, and I really love the pool area. It is a huge pool with two hot tubs that are actually, hot. I know this sounds odd but the hotel smells amazing. The staff was helpful and there are some restaurants in the area. One gripe, and it's a big one. The Internet. Will you please explain to me why the more expensive hotel chains charge for wireless but motels like Comfort Inn, and La Quinta, give complimentary internet? It is the number one complaint that I have against the whole Marriott chain. Although I do realize that some of the Marriott brands (Fairfield, Courtyard) offer the complimentary internet, I just believe that for $150 a night you should receive free internet! Overall, a very nice Marriott, with exceptionally clean rooms!",30-Aug-08,0,0,1,1,1,1,1,1,1,3.5,$245 
hotel_101,hotel_8210,"good business hotel stayed here one night on business.I selected this hotel simply because the workshop that I was attending was held there. Seemed expensive, at ~$250/night, so I'd shop around if I were returning to the area. The hotel is about one mile from the airport, so very convenient in that regard. A complimentary shuttle runs every 15 minutes, and this is also a plus. My room (and based on what I saw, the other standard rooms) was not very big, but was well-appointed: luxurious king bed, chest of drawers, armchair with footstool, desk with work chair, Starbucks in-room coffee. The bathroom and amenities were nice. The room was clean and reasonably quiet. I did not bring my laptop, so can't comment on the internet connection, however, there is a business center with 2 computer stations where travelers can check email, etc, no charge. There is also a kiosk especially for doing airline web check-in so you can print your boarding pass, a nice touch. The hotel has an atrium, where the pool and jacuzzis are located. It is quite nice, with trees. The fitness room was better than I encounter at most hotels. They had a selection of cardio equipment: bikes, treadmills, elliptical trainers, plus some weight machines and free weights. There is a somewhat pricey cafe in the hotel. I had breakfast and lunch there. The food and service were good. There does not seem to be any other place to eat within walking distance. The staff were nice and courteous. Overall, I would recommend this hotel to a business traveler.",19-Aug-08,0,0,1,1,1,1,1,1,1,3.5,$245 
hotel_101,hotel_7802,Parking is a shakedown       Parking Card Readers Don't Work,29-Jul-08,0,0,3,4,6,5,4,2,3,3.5,$245 
hotel_101,hotel_7928,"Wow! This place was amazing! We booked it solely because of its proximity to the airport (a 5 minute shuttle ride) and were dazzled when we checked in. The whole place is done up to look like a lodge. Beautiful wood beams everywhere. The pool was enormous. Our room was small, but beauiful, and a terrific bargain. I'd like to stay there again, for longer this time.",12-Jun-08,0,0,6,6,6,6,6,6,6,3.5,$245 
hotel_101,hotel_4210,"Nice and Comfortable The rooms here were very comfortable. The bed was awesome; attractively made-up and super comfy. I do agree that the halls/elevator set-up is a little tricky, but asides from that small detail, I had a pleasant stay. I ate one meal in the main restaurant as well and it was quite good. It took a little while to get our food, but we were the first customers after they opened for lunch, so they probably had to turn on the stoves and stuff.",6-Jun-08,1,1,5,6,1,6,5,5,4,3.5,$245 
hotel_101,hotel_4248,Great Airport Hotel       Desk area,13-Apr-08,1,1,5,6,6,6,6,6,5,3.5,$245 
hotel_101,hotel_2549,"Great short stay! Arrived in the middle of the night after hours of delay at airports. Staff was very welcoming, refunded us the $ we had to pay for a cab from airport since shuttle was not available at those hours. Was also given a discounted rate since we would be departing in a few hours. The rooms were very nice, wonderful beds, nice bathrooms. Service and food choices in the hotel restaurant were excellent. Didn't get a chance to use the pool, but it looked fantastic. Shuttle driver back to airport in the morning was friendly, helpful and efficient. We were recharged and ready to continue our trip after a horrible start!",27-Mar-08,1,1,1,1,1,1,1,1,1,3.5,$245 
hotel_101,hotel_9373,"Recommended. Nice Lobby. 1. Overall ImpressionsAn aging Marriott with small rooms, small bathrooms, and a nice big lobby area. In fact, the lobby with its stonework and beams is the most interesting part of the Marriott SEATAC Airport (SEA). 2. LayoutYes, this is that ancient one with ONE elevator .... 3. BedsVery pleasant and soft. 4. BathroomsUnremarkable.Tiny. 5. RestaurantsNice cold beer at the bar in the lobby. 6. Front deskAccurate, pleasant and well-trained 7. Charges (internet, parking, etc)No charges for internet access.",14-Mar-08,1,1,4,4,6,6,6,6,6,3.5,$245 
hotel_101,hotel_1608,Nice Marriot       View of my king bed room,16-Nov-07,1,1,4,5,5,5,4,1,1,3.5,$245 
hotel_101,hotel_6939,"Good hotel, charges for internet access The Marriott Airport Seattle is a reasonable choice in the Sea-Tac area. I paid about $189 per night. The shuttle is generally quick to and from the airport and I encourage its use rather taxi service which can be very spotty in Seattle. My room was in the second floor but in the back of the hotel such that I had a very long walk no matter which way I took to the room. The interior is nice and check in was very quick.Breakfast was good in the restaurant, if not a bit pricey. Drink service in the bar was fine, no complaints. I can imagine that it must get very noisy in the lobby when the crowd is hanging out in thebar. I guess Marriott has a new program where guests are now charged for internet service. Its $9.95 at this hotel, but can be had for free at the business center near the check-in counters. There are two internet PCs and one boarding pass access PC.Personally, the ability to sit in my room and check my personal or work email is nice and I am not sure how many takers will pay extra for the access. And I am hoping not to get nickel and dimed for that.I can offer four stars as the overall quality was good.",30-Oct-07,1,1,4,5,5,5,5,5,4,3.5,$245 
hotel_101,hotel_3976,"Small but adequate rooms If you have an early morning flight to catch, this is a good choice as it is right at the airport. It has been recently renovated so the rooms are new and clean. The room service was fast and efficient and the food was good. The negatives were that our room was very small and the bathroom was the smallest I've encountered in many years. Hardly room to turn around and I'm a small person. However, the countertops were granite, which was nice. Also there is only one elevator, which seemed odd for a hotel of this size. You may self park or valet park, both for a fee. Would not recommend for an extended stay, but it is fine for a one visit.",12-Oct-07,0,0,4,4,6,5,6,4,1,3.5,$245 
hotel_101,hotel_2851,"Better than average, some noisy rooms I have stayed at this hotel a few times inthe last several months. The first stay was not the best, but the subsequent ones got better, and they have obviously taken some of the notes on the comment cards seriously.The hotel is located near SeaTac with a frequent shuttle. There is a tower, 8-9 floors high, and an atrium area that is about 3-4 floors high. Note, the tower rooms really have no view although some are advertised as having Mt. Rainier views. (Maybe before the trees grew!) Regardless of where you are, in the tower youwill be looking at the roof/ventilation or the roof/associate entrance. Avoid rooms ending in X16 and X18 as these are a bit noisy when the trucks show up. Odd numbered tower rooms will be a little noisy from the AC but frankly it wasn't as bad!The bathrooms are small, and double double rooms are a little crowded. King rooms seem bigger and have a chair and ottoman. All have been redone very recently but don't have the big flat screen TVs. The desk is pretty roomy and there is a cabinet and 2 small drawers...not the greatest storage.Rooms in the atrium area are noisier for some reason. Aside from the noise from the pool (and functions if there are any being held near the pool), it seems that the walls are thinner....last time, I actually thought someone left a cellphone in my room it was ringing so loudly.Food in the hotel is good-could be better. It is a bit pricy. The restaurant is due to be redone 1st quarter 2008. Desserts however, were tasty, and since I had some issues with my meals, they were free! Try the chocolate cake, it is VERY good! The lobby/bar are nice but the music is a lot too loud! One of the songs played has some sort of random spoken sounds...very disconcerting!Internet is part of the $9.95 wired for business package so if you don;t make calls, it's too expensive. I don't know when Marriott will get it through their brains...STOP CHARGING FOR INTERNET! There is a business center with 2 computers and an ethernet cable that you can use for free. Also, you can get free use of internet in the concierge lounge.There are only a couple other dining choices in walking distance (Dennys and 13 coins-which I think is also too expensive.) Other than that, and restaurants in other hotels, you need a car or a cab. Self parking is $16 per day, valet is $22-very high, but it's the norm for cities!Be careful in the shower...tubs can get slippery (I fell). I was able to get a rubber mat, but I also informed the GM and several other people of the situation, and that housekeeping needs to rinse carefully.The hotel is very clean. I even noticed a housekeeper vacuuming the rock wall outside of the restaurant. The staff was friendly, remembering me by name, and by my luggage-which seems to go someplace else when I come to Seattle!Seems that this is also a popular hotel with cruisers as there were a large number of folks heading off to Alaska on Vision of the Seas...maybe this is a Royal Caribbean pre-cruise hotel.Some people hate the pacific northwest design of the hotel-the lobby looks like a lodge. Frankly, I think it is appropriate for the area. There are plenty of places inthe area, but all in all this hotel is nice for flyers or anyone needing to be out inthe SeaTac area. It's about 30-45 minutes to downtown and you can hop on a bus at the airport (I also think there is a stop at the end of the hill) or drive. Also, tours can be arranged-many of which will pick up at airport area hotels.Give it a try!",31-Aug-07,6,6,1,5,5,5,6,5,4,3.5,$245 
hotel_101,hotel_7897,"Ordinary Although it is highly rated in these reviews, and you pay a premium price compared with other airport hotels, there is nothing special about this hotel other than its proximity to SEATAC. If you are thinking of staying here, pay attention to the Trip Advisor comments about the hideous views of HVAC equipment from the windows on one whole side of the hotel. Although my room was on the top floor of the building, the view looked like an industrial site, just because of all the equipment on the roof of a lower wing of the building. The room itself was spacious, the bed was comfortable, and the bathroom was functional. But during a rainstorm in the middle of the night, the ceiling leaked. The club lounge, for which I had paid extra, was about as modest as any I've ever seen. But it did have good food at breakfast. The best part of the hotel in my experience was its restaurant. The room itself was extremely ordinary, looking like a roadside restaurant on a freeway, but the food and the service were first-rate. Bottom line: I slept well here. But even though I collect Marriott points, I don't think I'd return to this hotel.",18-Jul-07,4,4,3,4,3,5,4,1,5,3.5,$245 
hotel_101,hotel_3297,"Awesome for early AM flight Wow! what a suprise. We stayed at the this property for one night (July 3) with my wife and two children (4 and 18 months). Check in was faster than I have ever experienced and had a newly renovated room on the 7th floor overlooking the airport (the parking garage actually). Room was larger than I expected (two double beds) and had plenty of room for the porta crib. The bellmen were very helpful with bags and even set the crib up for us. My Son and I went swimming and a had a great time. The beds were super comfortable and we slept well (very quiet). The hotel was not busy (very slow) but I don't think that would change if it was busy.Check out was very efficient. The shuttle comes every 15 minutes, and is less than five minutes from the airport.We will definatly stay here again if we have an early AM flight.Great job on this property Marriott. I'm a big fan.",13-Jul-07,1,1,6,6,6,6,6,6,6,3.5,$245 
hotel_101,hotel_5463,"Good Stay Spent two nights there in Jun. The hotel is very close to the airport and the shuttle runs about every 15 mins and is free. The room was clean with a very comfortable bed and linens. Although somewhat small it was very functional. The lobby seemed very noisy although the room was very quiet. I didn't eat in the restaurant but room service was good and quick. It seemed to take forever to get to my room, they seem to be very spread out.",4-Jul-07,0,0,5,5,4,5,5,5,1,3.5,$245 
hotel_101,hotel_9766,"Great Staff We stayed overnight the last week of May, flying out in the morning. We had no problem leaving our car except, when we checked in they asked for our AAA card. Evidently the rate we got for park, sleep and fly was for AAA members only. This was not an option or even mentioned on their web reservation form. The front desk quickly recognized this as their error and we were off to our super comfy room. We had a great dinner in the restaurant. Super efficient drop off on departure day and much quicker pick up then some other hotels we have used in the past. One tiny little thing on our way back was the guy who picked us up stopped to pick up his take out dinner before he dropped us back at the hotel. That was kind of weird!! Overall the experience was good and the hotel was great.",14-Jun-07,1,1,6,6,4,6,6,6,1,3.5,$245 
