Season,Season type,Referee,Games,Total fouls,Shooting,Personal,Loose ball,Personal take,Offensive charge,Offensive,Kicked ball,Technical,Defensive goaltending,Shooting block,Defensive 3 seconds,Delay of game,Personal block,Flagrant 1,Away from play,Double technical,Clear path,Double personal,Inbound foul,Delay technical,Lane violation,Jump ball violation,Flagrant 2,Hanging technical,Unsportsmanlike technical,Taunting technical,Excess timeout technical,Double lane,Too many players technical
2016-17,Playoffs,Bennie Adams,3,48,18,20,0,1,0,3,0,1,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Playoffs,Bill Kennedy,8,101,42,40,6,1,2,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Playoffs,Bill Spooner,5,47,18,15,5,2,0,2,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Playoffs,Brent Barnaky,1,13,5,2,0,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Playoffs,Brian Forte,4,55,24,19,0,4,0,4,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Playoffs,Courtney Kirkland,4,58,33,16,1,1,0,3,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Playoffs,Dan Crawford,14,250,83,79,26,9,5,13,3,8,4,5,2,4,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Playoffs,David Guthrie,5,68,32,18,3,4,3,3,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Playoffs,Derrick Collins,4,70,27,18,3,0,2,4,3,1,2,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Playoffs,Derrick Stafford,11,155,70,40,6,5,5,13,2,0,2,6,0,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
